"","Subject","Matching","Identity","RT_ms","RT_sec","ACC","blocktype"
"51",16127635,"Matching","Self",735,0.735,1,1
"52",16127635,"Matching","Self",686,0.686,1,1
"53",16127635,"Matching","Self",887,0.887,1,1
"54",16127635,"Matching","Self",434,0.434,0,1
"55",16127635,"Matching","Friend",261,0.261,0,1
"56",16127635,"Matching","Friend",406,0.406,1,1
"57",16127635,"Matching","Friend",538,0.538,0,1
"58",16127635,"Matching","Friend",277,0.277,1,1
"59",16127635,"Matching","Friend",754,0.754,1,1
"60",16127635,"Matching","Friend",602,0.602,1,1
"61",16127635,"Matching","Friend",686,0.686,1,1
"62",16127635,"Matching","Friend",517,0.517,0,1
"63",16127635,"Matching","Friend",304,0.304,1,1
"64",16127635,"Matching","Friend",1085,1.085,0,2
"65",16127635,"Matching","Friend",412,0.412,1,2
"66",16127635,"Matching","Friend",529,0.529,1,2
"67",16127635,"Matching","Friend",555,0.555,1,2
"68",16127635,"Matching","Friend",482,0.482,1,2
"69",16127635,"Matching","Friend",545,0.545,1,2
"70",16127635,"Matching","Friend",551,0.551,1,2
"71",16127635,"Matching","Friend",999,0.999,1,2
"72",16127635,"Matching","Friend",719,0.719,0,2
"73",16127635,"Matching","Friend",628,0.628,1,2
"74",16127635,"Matching","Friend",1015,1.015,0,2
"75",16127635,"Matching","Friend",623,0.623,0,2
"76",16127635,"Matching","Friend",680,0.68,1,2
"77",16127635,"Matching","Friend",530,0.53,1,2
"78",16127635,"Matching","Friend",825,0.825,1,2
"79",16127635,"Matching","Friend",621,0.621,1,2
"80",16127635,"Matching","Friend",750,0.75,1,2
"81",16127635,"Matching","Friend",828,0.828,1,2
"82",16127635,"Matching","Friend",513,0.513,1,2
"83",16127635,"Matching","Friend",445,0.445,0,2
"84",16127635,"Matching","Friend",641,0.641,1,2
"85",16127635,"Matching","Friend",515,0.515,1,2
"86",16127635,"Matching","Friend",773,0.773,1,2
"87",16127635,"Matching","Friend",383,0.383,1,2
"88",16127635,"Matching","Friend",616,0.616,1,2
"89",16127635,"Matching","Friend",735,0.735,1,2
"90",16127635,"Matching","Friend",686,0.686,0,2
"91",16127635,"Matching","Friend",274,0.274,1,2
"92",16127635,"Matching","Friend",495,0.495,0,1
"93",16127635,"Matching","Friend",531,0.531,0,1
"94",16127635,"Matching","Friend",523,0.523,1,1
"95",16127635,"Matching","Friend",559,0.559,0,1
"96",16127635,"Matching","Friend",756,0.756,0,1
"97",16127635,"Matching","Friend",852,0.852,0,1
"98",16127635,"Matching","Friend",612,0.612,0,1
"99",16127635,"Matching","Friend",574,0.574,1,1
"100",16127635,"Matching","Friend",642,0.642,1,1
"101",16127635,"Matching","Friend",574,0.574,0,1
"102",16127635,"Matching","Stranger",247,0.247,0,1
"103",16127635,"Matching","Stranger",263,0.263,0,1
"104",16127635,"Matching","Stranger",886,0.886,0,1
"105",16127635,"Matching","Stranger",698,0.698,1,1
"106",16127635,"Matching","Stranger",372,0.372,1,1
"107",16127635,"Matching","Stranger",598,0.598,0,1
"108",16127635,"Matching","Stranger",447,0.447,1,1
"109",16127635,"Matching","Stranger",893,0.893,0,1
"110",16127635,"Matching","Stranger",599,0.599,1,1
"111",16127635,"Matching","Stranger",1106,1.106,0,1
"112",16127635,"Matching","Stranger",268,0.268,0,1
"113",16127635,"Matching","Stranger",260,0.26,1,1
"114",16127635,"Matching","Stranger",370,0.37,1,1
"115",16127635,"Matching","Stranger",249,0.249,0,1
"116",16127635,"Matching","Stranger",258,0.258,0,1
"117",16127635,"Matching","Stranger",366,0.366,0,1
"118",16127635,"Matching","Stranger",574,0.574,1,1
"119",16127635,"Matching","Stranger",572,0.572,0,2
"120",16127635,"Matching","Stranger",1156,1.156,1,2
"121",16127635,"Matching","Stranger",957,0.957,0,2
"122",16127635,"Matching","Stranger",632,0.632,1,2
"123",16127635,"Matching","Stranger",753,0.753,1,2
"124",16127635,"Matching","Stranger",1105,1.105,1,2
"125",16127635,"Matching","Stranger",602,0.602,1,2
"126",16127635,"Matching","Stranger",727,0.727,1,2
"127",16127635,"Matching","Stranger",608,0.608,1,2
"128",16127635,"Matching","Stranger",565,0.565,1,2
"129",16127635,"Matching","Stranger",957,0.957,1,2
"130",16127635,"Matching","Stranger",646,0.646,1,2
"131",16127635,"Matching","Stranger",617,0.617,1,2
"132",16127635,"Matching","Stranger",497,0.497,0,2
"133",16127635,"Matching","Stranger",589,0.589,1,2
"134",16127635,"Matching","Stranger",475,0.475,1,2
"135",16127635,"Matching","Stranger",693,0.693,1,2
"136",16127635,"Matching","Stranger",561,0.561,1,2
"137",16127635,"Matching","Stranger",480,0.48,1,2
"138",16127635,"Matching","Stranger",530,0.53,1,2
"139",16127635,"Matching","Stranger",646,0.646,1,2
"140",16127635,"Matching","Stranger",634,0.634,1,2
"141",16127635,"Matching","Stranger",687,0.687,1,2
"142",16127635,"Matching","Stranger",606,0.606,1,2
"143",16127635,"Matching","Stranger",616,0.616,1,2
"144",16127635,"Matching","Stranger",554,0.554,1,2
"145",16127635,"Matching","Stranger",582,0.582,1,2
"146",16127635,"Matching","Stranger",281,0.281,0,2
"147",16127635,"Matching","Stranger",532,0.532,1,2
"148",16127635,"Matching","Stranger",1107,1.107,1,1
"149",16127635,"Matching","Stranger",550,0.55,1,1
"150",16127635,"Matching","Stranger",1015,1.015,1,1
"151",16127635,"Matching","Stranger",938,0.938,1,1
"152",16127635,"Matching","Stranger",993,0.993,1,1
