participant,Matching,rt,corr
19,Matching,428.4162614,1
19,Matching,516.6769307,1
19,Matching,673.5371239,1
19,Matching,600.6734185,1
19,Matching,1068.446172,1
19,Matching,515.3056998,1
19,Matching,463.2331692,1
19,Matching,520.6973981,1
19,Matching,590.1118908,1
19,Matching,491.7574171,1
19,Matching,600.1823731,1
19,Matching,836.8026577,1
19,Matching,498.7334833,1
19,Nonmatching,860.6221899,1
19,Nonmatching,983.0536786,1
19,Nonmatching,597.1460752,1
19,Nonmatching,637.6470439,1
19,Nonmatching,1290.063219,1
19,Nonmatching,550.0635989,1
19,Nonmatching,670.6395186,0
19,Nonmatching,613.1739188,1
19,Nonmatching,935.3791159,1
19,Nonmatching,937.9041959,0
19,Nonmatching,4412.250981,1
19,Nonmatching,835.928509,1
19,Nonmatching,691.1204401,1
19,Nonmatching,677.3646232,1
19,Nonmatching,809.2650007,1
19,Nonmatching,610.4117185,1
19,Nonmatching,690.7426082,1
19,Nonmatching,750.538405,1
19,Nonmatching,692.9352414,0
19,Nonmatching,863.4245917,1
1,Matching,712.677059,1
1,Matching,622.931665,0
1,Matching,1048.494518,1
1,Matching,549.016614,1
1,Matching,570.387675,1
1,Matching,470.657717,1
1,Matching,499.6717749,1
1,Matching,560.796431,1
1,Matching,518.894586,1
1,Matching,1091.910001,1
1,Matching,557.4007218,1
1,Matching,578.631629,1
1,Matching,763.6620339,1
1,Matching,458.4116631,0
1,Matching,509.0940329,1
1,Matching,466.126112,1
1,Matching,458.883259,1
1,Matching,529.7979491,1
1,Matching,465.7667289,1
1,Matching,629.594435,1
1,Nonmatching,707.824887,1
1,Nonmatching,500.827668,1
1,Nonmatching,499.318372,1
1,Nonmatching,511.2040369,1
1,Nonmatching,617.172031,1
1,Nonmatching,568.4581921,1
1,Nonmatching,548.663738,1
1,Nonmatching,595.087101,1
1,Nonmatching,556.928237,1
1,Nonmatching,527.208728,0
1,Nonmatching,511.7663189,1
1,Nonmatching,514.0631278,1
1,Nonmatching,826.734391,1
1,Nonmatching,882.101703,0
1,Nonmatching,638.7947218,1
1,Nonmatching,539.3576261,1
1,Nonmatching,516.818312,1
1,Nonmatching,977.0332319,1
1,Nonmatching,589.3577579,1
1,Nonmatching,552.5086741,1
20,Matching,958.1283629,1
20,Matching,492.1832159,1
20,Matching,543.0352651,1
20,Matching,463.8507497,1
20,Matching,662.4091212,1
