"","Subject","Age","Gender","Handedness","Shape","Label","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Response","RT_ms","RT_sec","ACC"
"23",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",765,0.765,1
"24",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",666,0.666,1
"25",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",742,0.742,1
"26",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",700,0.7,1
"27",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",645,0.645,1
"28",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",651,0.651,1
"29",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",751,0.751,1
"30",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",803,0.803,1
"31",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",662,0.662,1
"32",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","m",787,0.787,1
"33",1,29,"female","right","C.bmp","friend","Self","Self","Self","Nonmatching","n",624,0.624,0
"34",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",596,0.596,1
"35",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",596,0.596,1
"36",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",574,0.574,1
"37",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",568,0.568,1
"38",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",546,0.546,1
"39",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",681,0.681,1
"40",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",506,0.506,1
"41",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",536,0.536,1
"42",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",780,0.78,1
"43",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",415,0.415,1
"44",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",781,0.781,1
"45",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",585,0.585,1
"46",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",664,0.664,1
"47",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",645,0.645,1
"48",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",676,0.676,1
"49",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",584,0.584,1
"50",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",457,0.457,1
"51",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",489,0.489,1
"52",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",593,0.593,1
"53",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",855,0.855,1
"54",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",605,0.605,1
"55",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",478,0.478,1
"56",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",676,0.676,1
"57",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",590,0.59,1
"58",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",723,0.723,1
"59",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",599,0.599,1
"60",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",703,0.703,1
"61",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",686,0.686,1
"62",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",802,0.802,1
"63",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",590,0.59,1
"64",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",625,0.625,1
"65",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",631,0.631,1
"66",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",523,0.523,1
"67",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",897,0.897,1
"68",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",804,0.804,1
"69",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",606,0.606,1
"70",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",638,0.638,1
"71",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",587,0.587,1
"72",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",653,0.653,1
"73",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",584,0.584,1
"74",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",650,0.65,1
"75",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",625,0.625,1
"76",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",636,0.636,1
"77",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",577,0.577,1
"78",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",546,0.546,1
"79",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",665,0.665,1
"80",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",613,0.613,1
"81",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",1011,1.011,1
"82",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",644,0.644,1
"83",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",580,0.58,1
"84",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",671,0.671,1
"85",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",586,0.586,1
"86",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",570,0.57,1
"87",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",630,0.63,1
"88",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",562,0.562,1
"89",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",582,0.582,1
"90",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",840,0.84,1
"91",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",600,0.6,1
"92",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",1027,1.027,1
"93",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",815,0.815,1
"94",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",642,0.642,1
"95",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",634,0.634,1
"96",1,29,"female","right","C.bmp","self","Self","Self","Self","Matching","n",884,0.884,1
"97",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",1021,1.021,1
"98",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",877,0.877,1
"99",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",910,0.91,1
"100",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",617,0.617,1
"101",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",947,0.947,1
"102",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",725,0.725,1
"103",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","n",710,0.71,0
"104",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",759,0.759,1
"105",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","",0,0,0
"106",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",671,0.671,1
"107",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",870,0.87,1
"108",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","",0,0,0
"109",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",669,0.669,1
"110",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",887,0.887,1
"111",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",735,0.735,1
"112",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",861,0.861,1
"113",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",580,0.58,1
"114",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",661,0.661,1
"115",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",808,0.808,1
"116",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",746,0.746,1
"117",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",666,0.666,1
"118",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",635,0.635,1
"119",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",710,0.71,1
"120",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",717,0.717,1
"121",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",734,0.734,1
"122",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",893,0.893,1
"123",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",712,0.712,1
"124",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",796,0.796,1
"125",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",569,0.569,1
"126",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",861,0.861,1
"127",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",1058,1.058,1
"128",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",613,0.613,1
"129",1,29,"female","right","C.bmp","stranger","Self","Self","Self","Nonmatching","m",614,0.614,1
"130",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",947,0.947,1
"131",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",922,0.922,1
"132",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","m",855,0.855,0
"133",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",641,0.641,1
"134",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",715,0.715,1
"135",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",585,0.585,1
"136",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",845,0.845,1
"137",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","m",692,0.692,0
"138",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","m",878,0.878,0
"139",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",901,0.901,1
"140",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","m",962,0.962,0
"141",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","m",877,0.877,0
"142",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",574,0.574,1
"143",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",912,0.912,1
"144",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",625,0.625,1
"145",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","m",772,0.772,0
"146",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","m",712,0.712,0
"147",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",883,0.883,1
"148",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",796,0.796,1
"149",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","",0,0,0
"150",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",519,0.519,1
"151",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",715,0.715,1
"152",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",840,0.84,1
"153",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",761,0.761,1
"154",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",988,0.988,1
"155",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",685,0.685,1
"156",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",879,0.879,1
"157",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",707,0.707,1
"158",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",786,0.786,1
"159",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",673,0.673,1
"160",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",954,0.954,1
"161",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",686,0.686,1
"162",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",828,0.828,1
"163",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",877,0.877,1
"164",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",774,0.774,1
"165",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",812,0.812,1
"166",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",722,0.722,1
"167",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",610,0.61,1
"168",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",776,0.776,1
"169",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","m",765,0.765,0
"170",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",551,0.551,1
"171",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",898,0.898,1
"172",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",649,0.649,1
"173",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",629,0.629,1
"174",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",818,0.818,1
"175",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",857,0.857,1
"176",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",649,0.649,1
"177",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",844,0.844,1
"178",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",973,0.973,1
"179",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",1041,1.041,1
"180",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",751,0.751,1
"181",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",1043,1.043,1
"182",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",734,0.734,1
"183",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",674,0.674,1
"184",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",552,0.552,1
"185",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","m",817,0.817,0
"186",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",669,0.669,1
"187",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",702,0.702,1
"188",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",687,0.687,1
"189",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",784,0.784,1
"190",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",720,0.72,1
"191",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",735,0.735,1
"192",1,29,"female","right","H.bmp","friend","Friend","Friend","Close","Matching","n",844,0.844,1
"193",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",645,0.645,1
"194",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",716,0.716,1
"195",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","n",513,0.513,0
"196",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",996,0.996,1
"197",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","n",716,0.716,0
"198",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","n",807,0.807,0
"199",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",654,0.654,1
"200",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",680,0.68,1
"201",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","",0,0,0
"202",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",741,0.741,1
"203",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",712,0.712,1
"204",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",666,0.666,1
"205",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",756,0.756,1
"206",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",710,0.71,1
"207",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",677,0.677,1
"208",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",707,0.707,1
"209",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",649,0.649,1
"210",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",755,0.755,1
"211",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",749,0.749,1
"212",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",663,0.663,1
"213",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",736,0.736,1
"214",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",674,0.674,1
"215",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",688,0.688,1
"216",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",615,0.615,1
"217",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","n",1073,1.073,0
"218",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","n",665,0.665,0
"219",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",964,0.964,1
"220",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",891,0.891,1
"221",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",654,0.654,1
"222",1,29,"female","right","H.bmp","self","Friend","Friend","Close","Nonmatching","m",698,0.698,1
"223",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",709,0.709,1
"224",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","n",614,0.614,0
"225",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","n",877,0.877,0
"226",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","n",692,0.692,0
"227",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",754,0.754,1
"228",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",1069,1.069,1
"229",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",858,0.858,1
"230",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","",0,0,0
"231",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",719,0.719,1
"232",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",913,0.913,1
"233",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","n",777,0.777,0
"234",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","n",761,0.761,0
"235",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",683,0.683,1
"236",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",1021,1.021,1
"237",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","n",834,0.834,0
"238",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",703,0.703,1
"239",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","",0,0,0
"240",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",893,0.893,1
"241",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","n",734,0.734,0
"242",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",758,0.758,1
"243",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",947,0.947,1
"244",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","",0,0,0
"245",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","n",627,0.627,0
"246",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","",0,0,0
"247",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",816,0.816,1
"248",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","n",972,0.972,0
"249",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",923,0.923,1
"250",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",902,0.902,1
"251",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","m",807,0.807,1
"252",1,29,"female","right","H.bmp","stranger","Friend","Friend","Close","Nonmatching","n",1028,1.028,0
"253",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","n",862,0.862,0
"254",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","n",560,0.56,0
"255",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","n",567,0.567,0
"256",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","n",762,0.762,0
"257",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","n",1003,1.003,0
"258",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",1051,1.051,1
"259",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",1011,1.011,1
"260",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","n",831,0.831,0
"261",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",709,0.709,1
"262",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","n",750,0.75,0
"263",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",752,0.752,1
"264",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",932,0.932,1
"265",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",1089,1.089,1
"266",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",855,0.855,1
"267",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",971,0.971,1
"268",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","n",783,0.783,0
"269",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",725,0.725,1
"270",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",790,0.79,1
"271",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",1038,1.038,1
"272",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",676,0.676,1
"273",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",698,0.698,1
"274",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","n",863,0.863,0
"275",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",947,0.947,1
"276",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","n",829,0.829,0
"277",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",736,0.736,1
"278",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",1021,1.021,1
"279",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","",0,0,0
"280",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",909,0.909,1
"281",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","m",723,0.723,1
"282",1,29,"female","right","O.bmp","friend","Stranger","Stranger","Stranger","Nonmatching","n",781,0.781,0
"283",1,29,"female","right","O.bmp","self","Stranger","Stranger","Stranger","Nonmatching","m",650,0.65,1
"284",1,29,"female","right","O.bmp","self","Stranger","Stranger","Stranger","Nonmatching","m",752,0.752,1
"285",1,29,"female","right","O.bmp","self","Stranger","Stranger","Stranger","Nonmatching","m",707,0.707,1
"286",1,29,"female","right","O.bmp","self","Stranger","Stranger","Stranger","Nonmatching","m",607,0.607,1
"287",1,29,"female","right","O.bmp","self","Stranger","Stranger","Stranger","Nonmatching","m",902,0.902,1
"288",1,29,"female","right","O.bmp","self","Stranger","Stranger","Stranger","Nonmatching","m",891,0.891,1
"289",1,29,"female","right","O.bmp","self","Stranger","Stranger","Stranger","Nonmatching","m",720,0.72,1
"290",1,29,"female","right","O.bmp","self","Stranger","Stranger","Stranger","Nonmatching","m",614,0.614,1
"291",1,29,"female","right","O.bmp","self","Stranger","Stranger","Stranger","Nonmatching","m",764,0.764,1
"292",1,29,"female","right","O.bmp","self","Stranger","Stranger","Stranger","Nonmatching","m",770,0.77,1
"293",1,29,"female","right","O.bmp","self","Stranger","Stranger","Stranger","Nonmatching","n",676,0.676,0
