"","Subject","Block","Trial","Gender","Age","Handedness","First_Language","Matching","Origin_Identity","Phase","Shape","Label","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Response","RT_sec","ACC","RT_ms","English_Identity","Standarlized_Identity"
"60",1,1,40,"Male",26,"r","Hungarian","Mismatch","We","EXPERIMENT","They","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.10014335,1,1100.14335,"We","Group-Self"
"61",1,1,41,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","They","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.050163465,1,1050.163465,"You","Stranger"
"62",1,1,42,"Male",26,"r","Hungarian","Mismatch","They","EXPERIMENT","We","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.050170176,1,1050.170176,"They","Group-Stranger"
"63",1,1,43,"Male",26,"r","Hungarian","Match","We","EXPERIMENT","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.900130243,1,900.130243,"We","Group-Self"
"64",1,1,44,"Male",26,"r","Hungarian","Match","Self","EXPERIMENT","Self","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.750185455,1,750.185455,"Self","Self"
"65",1,1,45,"Male",26,"r","Hungarian","Match","We","EXPERIMENT","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.7835796,1,783.5796,"We","Group-Self"
"66",1,1,46,"Male",26,"r","Hungarian","Match","We","EXPERIMENT","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.66684972,1,666.84972,"We","Group-Self"
"67",1,1,47,"Male",26,"r","Hungarian","Match","You","EXPERIMENT","You","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",1.100189146,1,1100.189146,"You","Stranger"
"68",1,1,48,"Male",26,"r","Hungarian","Mismatch","They","EXPERIMENT","We","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.016845121,1,1016.845121,"They","Group-Stranger"
"69",1,1,49,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","Self","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.200156813,1,1200.156813,"You","Stranger"
"70",1,1,50,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",1.016832092,1,1016.832092,"They","Group-Stranger"
"71",1,1,51,"Male",26,"r","Hungarian","Match","You","EXPERIMENT","You","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",1.066820663,1,1066.820663,"You","Stranger"
