"","Subject","Gender","Age","Handedness","First_Language","Matching","Identity","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Shape","Label","Response","RT_sec","ACC","Subjcet"
"90",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.767,1,1
"91",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.667,1,1
"92",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.917,1,1
"93",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.6,1,1
"94",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.65,1,1
"95",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.883,1,1
"96",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.767,1,1
"97",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.784,1,1
"98",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.567,1,1
"99",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.767,1,1
"100",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.8,1,1
"101",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.734,1,1
"102",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.717,1,1
"103",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.784,1,1
"104",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.65,1,1
"105",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.65,1,1
"106",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.717,1,1
"107",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.734,1,1
"108",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","m",1.4,0,1
"109",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",1.317,1,1
"110",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",1.167,1,1
"111",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",1.267,1,1
"112",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",1.067,1,1
"113",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",1.1,1,1
"114",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",1.067,1,1
"115",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",0.884,1,1
"116",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",1.033,1,1
"117",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",1.283,1,1
"118",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",0.867,1,1
"119",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",0.85,1,1
