"","Subject","Age","Gender","Handedness","Shape","Identity","Matching","Response","RT_ms","ACC","RT_sec","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"53",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,579,1,0.579,"1920*1080",NA,NA,NA,"black","60cm",NA
"54",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,432,1,0.432,"1920*1080",NA,NA,NA,"black","60cm",NA
"55",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,709,1,0.709,"1920*1080",NA,NA,NA,"black","60cm",NA
"56",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,735,1,0.735,"1920*1080",NA,NA,NA,"black","60cm",NA
"57",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,370,1,0.37,"1920*1080",NA,NA,NA,"black","60cm",NA
"58",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,360,1,0.36,"1920*1080",NA,NA,NA,"black","60cm",NA
"59",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,914,1,0.914,"1920*1080",NA,NA,NA,"black","60cm",NA
"60",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,664,1,0.664,"1920*1080",NA,NA,NA,"black","60cm",NA
"61",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",1,365,0,0.365,"1920*1080",NA,NA,NA,"black","60cm",NA
"62",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,555,1,0.555,"1920*1080",NA,NA,NA,"black","60cm",NA
"63",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,1000,1,1,"1920*1080",NA,NA,NA,"black","60cm",NA
"64",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,920,1,0.92,"1920*1080",NA,NA,NA,"black","60cm",NA
"65",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,367,1,0.367,"1920*1080",NA,NA,NA,"black","60cm",NA
"66",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,632,1,0.632,"1920*1080",NA,NA,NA,"black","60cm",NA
"67",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,696,1,0.696,"1920*1080",NA,NA,NA,"black","60cm",NA
"68",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,576,1,0.576,"1920*1080",NA,NA,NA,"black","60cm",NA
"69",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,468,1,0.468,"1920*1080",NA,NA,NA,"black","60cm",NA
"70",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,551,1,0.551,"1920*1080",NA,NA,NA,"black","60cm",NA
"71",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,540,1,0.54,"1920*1080",NA,NA,NA,"black","60cm",NA
"72",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,793,1,0.793,"1920*1080",NA,NA,NA,"black","60cm",NA
"73",2832782,22,"Mujer","Diestro","circulo","amigo","Nonmatching",1,506,1,0.506,"1920*1080",NA,NA,NA,"black","60cm",NA
"74",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,580,1,0.58,"1920*1080",NA,NA,NA,"black","60cm",NA
"75",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,310,1,0.31,"1920*1080",NA,NA,NA,"black","60cm",NA
"76",2832782,22,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,543,1,0.543,"1920*1080",NA,NA,NA,"black","60cm",NA
"77",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,482,1,0.482,"1920*1080",NA,NA,NA,"black","60cm",NA
