"Subject","Age","Gender","Handedness","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Session","RT_ms","RT_sec","ACC"
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",653,0.653,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",526,0.526,0
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",619,0.619,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",748,0.748,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",684,0.684,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",530,0.53,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",843,0.843,0
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",559,0.559,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",626,0.626,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",638,0.638,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",1202,1.202,3
1,"22","f","R","Matching","Self","Self","Self","Self","1",785,0.785,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",786,0.786,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",782,0.782,0
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",691,0.691,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",482,0.482,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",828,0.828,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",1008,1.008,3
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",704,0.704,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",680,0.68,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",531,0.531,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",527,0.527,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",612,0.612,0
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",548,0.548,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",591,0.591,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",491,0.491,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",556,0.556,0
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",632,0.632,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",608,0.608,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",784,0.784,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",871,0.871,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",751,0.751,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",545,0.545,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",522,0.522,0
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",838,0.838,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",545,0.545,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",700,0.7,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",917,0.917,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",558,0.558,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",732,0.732,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",513,0.513,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",882,0.882,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",634,0.634,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",652,0.652,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",629,0.629,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",535,0.535,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",682,0.682,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",636,0.636,0
1,"22","f","R","Matching","Self","Self","Self","Self","1",485,0.485,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",723,0.723,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",680,0.68,0
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",764,0.764,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",898,0.898,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",847,0.847,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",662,0.662,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",1038,1.038,3
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",694,0.694,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",671,0.671,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",844,0.844,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",678,0.678,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",605,0.605,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",893,0.893,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",579,0.579,0
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",603,0.603,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",518,0.518,0
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",1074,1.074,3
1,"22","f","R","Matching","Self","Self","Self","Self","1",630,0.63,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",540,0.54,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",571,0.571,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",521,0.521,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",663,0.663,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",631,0.631,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",772,0.772,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",758,0.758,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",662,0.662,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",662,0.662,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",581,0.581,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",433,0.433,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",676,0.676,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",620,0.62,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",598,0.598,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",929,0.929,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",858,0.858,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",659,0.659,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",703,0.703,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",684,0.684,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",553,0.553,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",665,0.665,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",634,0.634,0
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",810,0.81,0
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",756,0.756,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",686,0.686,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",777,0.777,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",610,0.61,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",470,0.47,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",682,0.682,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",722,0.722,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",635,0.635,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",468,0.468,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",728,0.728,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",766,0.766,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",634,0.634,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",618,0.618,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",786,0.786,0
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",664,0.664,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",770,0.77,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",587,0.587,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",948,0.948,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",748,0.748,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",691,0.691,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",651,0.651,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",519,0.519,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",839,0.839,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",600,0.6,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",625,0.625,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",548,0.548,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",798,0.798,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",752,0.752,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",624,0.624,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",767,0.767,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",526,0.526,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",610,0.61,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",528,0.528,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",553,0.553,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",712,0.712,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",547,0.547,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",548,0.548,0
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",634,0.634,0
1,"22","f","R","Matching","Self","Self","Self","Self","1",789,0.789,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",678,0.678,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",734,0.734,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",754,0.754,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",654,0.654,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",619,0.619,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",642,0.642,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",859,0.859,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",700,0.7,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",499,0.499,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",561,0.561,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",658,0.658,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",913,0.913,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",632,0.632,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",667,0.667,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",497,0.497,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",845,0.845,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",696,0.696,0
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","1",713,0.713,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",398,0.398,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",748,0.748,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",855,0.855,0
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","1",741,0.741,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",447,0.447,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",807,0.807,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",990,0.99,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",688,0.688,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",726,0.726,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",695,0.695,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",526,0.526,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",631,0.631,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",1010,1.01,3
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","1",668,0.668,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",641,0.641,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","1",854,0.854,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","1",690,0.69,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","1",768,0.768,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","1",745,0.745,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",749,0.749,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","1",527,0.527,1
1,"22","f","R","Matching","Self","Self","Self","Self","1",802,0.802,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","2",630,0.63,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",718,0.718,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",719,0.719,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",506,0.506,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","2",790,0.79,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","2",523,0.523,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",522,0.522,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","2",575,0.575,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",617,0.617,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","2",551,0.551,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","2",606,0.606,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",515,0.515,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","2",569,0.569,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",546,0.546,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","2",583,0.583,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","2",567,0.567,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","2",555,0.555,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",485,0.485,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","2",641,0.641,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",577,0.577,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","2",581,0.581,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",546,0.546,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","2",649,0.649,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","2",523,0.523,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","2",543,0.543,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",557,0.557,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","2",680,0.68,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","2",717,0.717,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",593,0.593,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",487,0.487,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",581,0.581,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","2",520,0.52,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","2",603,0.603,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",565,0.565,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","2",559,0.559,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",692,0.692,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","2",738,0.738,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","2",719,0.719,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",825,0.825,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","2",673,0.673,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","2",626,0.626,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",556,0.556,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",569,0.569,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",607,0.607,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","2",690,0.69,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","2",550,0.55,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","2",563,0.563,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","2",647,0.647,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",696,0.696,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","2",792,0.792,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","2",645,0.645,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","2",702,0.702,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","2",540,0.54,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",506,0.506,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","2",587,0.587,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",690,0.69,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",679,0.679,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","2",726,0.726,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","2",581,0.581,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",608,0.608,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",693,0.693,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",578,0.578,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","2",903,0.903,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","2",527,0.527,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","2",546,0.546,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",499,0.499,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",553,0.553,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","2",756,0.756,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","2",580,0.58,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","2",535,0.535,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","2",853,0.853,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",503,0.503,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","2",693,0.693,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","2",609,0.609,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",802,0.802,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",739,0.739,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","2",722,0.722,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",538,0.538,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","2",491,0.491,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","2",574,0.574,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",645,0.645,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","2",557,0.557,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","2",608,0.608,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","2",792,0.792,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",764,0.764,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","2",527,0.527,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","2",561,0.561,1
1,"22","f","R","Nonmatching","Close","Stranger","Stranger","Stranger","2",649,0.649,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","2",527,0.527,1
1,"22","f","R","Matching","Self","Self","Self","Self","2",674,0.674,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","2",588,0.588,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",695,0.695,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",546,0.546,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","2",512,0.512,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","2",653,0.653,1
1,"22","f","R","Nonmatching","Stranger","Self","Self","Self","2",587,0.587,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","2",589,0.589,1
1,"22","f","R","Nonmatching","Stranger","Friend","Friend","Close","2",604,0.604,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","2",876,0.876,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","2",660,0.66,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","2",773,0.773,1
1,"22","f","R","Nonmatching","Self","Friend","Friend","Close","2",779,0.779,1
1,"22","f","R","Matching","Stranger","Stranger","Stranger","Stranger","2",849,0.849,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","2",394,0.394,1
1,"22","f","R","Nonmatching","Self","Stranger","Stranger","Stranger","2",583,0.583,1
1,"22","f","R","Nonmatching","Close","Self","Self","Self","2",629,0.629,1
1,"22","f","R","Matching","Close","Friend","Friend","Close","2",543,0.543,1
