Shape,Label,Condition,ShapeLoc,resp,rt,WeShape,TheyShape,AloneShape,SelfShape,corr,trialinBlock,Block,Handedness,First Language,Participant Number,Gender,Age,Training/Experiment,Outlier,Self/Other,Identity Label,Shapetype,Pronountype
We,They,Mismatch,Top,m,1.33345822,STAR,DIAMOND,CIRCLE,TRIANGLE,1,3,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
They,They,Match,Top,n,1.600170788,STAR,DIAMOND,CIRCLE,TRIANGLE,1,4,1,r,Hungarian,1,Male,26,EXPERIMENT,1,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
We,We,Match,Top,n,1.316803391,STAR,DIAMOND,CIRCLE,TRIANGLE,1,5,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
Self,Self,Match,Bottom,n,0.783448923,STAR,DIAMOND,CIRCLE,TRIANGLE,1,6,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
Self,Self,Match,Top,n,1.200329733,STAR,DIAMOND,CIRCLE,TRIANGLE,1,7,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
You,We,Mismatch,Bottom,m,1.416847647,STAR,DIAMOND,CIRCLE,TRIANGLE,1,8,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,SINGULARSHAPE,PLURALLABEL
Self,Self,Match,Top,n,0.933523993,STAR,DIAMOND,CIRCLE,TRIANGLE,1,9,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
You,You,Match,Top,m,1.400156497,STAR,DIAMOND,CIRCLE,TRIANGLE,0,10,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
We,We,Match,Top,n,1.000142521,STAR,DIAMOND,CIRCLE,TRIANGLE,1,11,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
They,We,Mismatch,Top,m,1.25016157,STAR,DIAMOND,CIRCLE,TRIANGLE,1,12,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
Self,Self,Match,Bottom,n,0.700116741,STAR,DIAMOND,CIRCLE,TRIANGLE,1,13,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
Self,They,Mismatch,Top,m,0.933531889,STAR,DIAMOND,CIRCLE,TRIANGLE,1,14,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,SINGULARSHAPE,PLURALLABEL
You,You,Match,Bottom,n,1.316752857,STAR,DIAMOND,CIRCLE,TRIANGLE,1,15,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
We,We,Match,Bottom,n,0.966780749,STAR,DIAMOND,CIRCLE,TRIANGLE,1,16,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
You,Self,Mismatch,Top,m,0.98350072,STAR,DIAMOND,CIRCLE,TRIANGLE,1,17,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
You,They,Mismatch,Bottom,m,1.150154424,STAR,DIAMOND,CIRCLE,TRIANGLE,1,18,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,PLURALLABEL
We,We,Match,Top,n,1.033511399,STAR,DIAMOND,CIRCLE,TRIANGLE,1,19,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
You,Self,Mismatch,Top,m,0.916826526,STAR,DIAMOND,CIRCLE,TRIANGLE,1,20,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
We,We,Match,Top,n,0.966849049,STAR,DIAMOND,CIRCLE,TRIANGLE,1,21,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
They,They,Match,Top,n,1.200137468,STAR,DIAMOND,CIRCLE,TRIANGLE,1,22,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
Self,We,Mismatch,Top,m,1.166744112,STAR,DIAMOND,CIRCLE,TRIANGLE,1,23,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,PLURALLABEL
We,Self,Mismatch,Bottom,m,1.316875638,STAR,DIAMOND,CIRCLE,TRIANGLE,1,24,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,SINGULARLABEL
You,You,Match,Bottom,n,1.166801358,STAR,DIAMOND,CIRCLE,TRIANGLE,1,25,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
You,We,Mismatch,Top,m,0.900133796,STAR,DIAMOND,CIRCLE,TRIANGLE,1,26,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,SINGULARSHAPE,PLURALLABEL
They,Self,Mismatch,Top,m,0.96682773,STAR,DIAMOND,CIRCLE,TRIANGLE,1,27,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,PLURALSHAPE,SINGULARLABEL
Self,Self,Match,Bottom,n,0.900142087,STAR,DIAMOND,CIRCLE,TRIANGLE,1,28,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
We,Self,Mismatch,Bottom,m,1.133492488,STAR,DIAMOND,CIRCLE,TRIANGLE,1,29,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,SINGULARLABEL
You,We,Mismatch,Top,m,1.533465011,STAR,DIAMOND,CIRCLE,TRIANGLE,1,30,1,r,Hungarian,1,Male,26,EXPERIMENT,1,OTHERSHAPE,SELFLABEL,SINGULARSHAPE,PLURALLABEL
You,You,Match,Bottom,n,1.266816794,STAR,DIAMOND,CIRCLE,TRIANGLE,1,31,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
Self,Self,Match,Bottom,n,0.916817446,STAR,DIAMOND,CIRCLE,TRIANGLE,1,32,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
We,They,Mismatch,Top,m,1.350134763,STAR,DIAMOND,CIRCLE,TRIANGLE,1,33,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
We,We,Match,Bottom,n,0.933543733,STAR,DIAMOND,CIRCLE,TRIANGLE,1,34,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
They,They,Match,Top,n,1.100011883,STAR,DIAMOND,CIRCLE,TRIANGLE,1,35,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
You,They,Mismatch,Top,m,0.96679891,STAR,DIAMOND,CIRCLE,TRIANGLE,1,36,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,PLURALLABEL
You,We,Mismatch,Bottom,m,0.96680799,STAR,DIAMOND,CIRCLE,TRIANGLE,1,37,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,SINGULARSHAPE,PLURALLABEL
Self,We,Mismatch,Bottom,m,0.933469906,STAR,DIAMOND,CIRCLE,TRIANGLE,1,38,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,PLURALLABEL
You,You,Match,Top,n,1.066810004,STAR,DIAMOND,CIRCLE,TRIANGLE,1,39,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
They,We,Mismatch,Bottom,m,1.10014335,STAR,DIAMOND,CIRCLE,TRIANGLE,1,40,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
They,You,Mismatch,Top,m,1.050163465,STAR,DIAMOND,CIRCLE,TRIANGLE,1,41,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,SINGULARLABEL
We,They,Mismatch,Bottom,m,1.050170176,STAR,DIAMOND,CIRCLE,TRIANGLE,1,42,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
We,We,Match,Bottom,n,0.900130243,STAR,DIAMOND,CIRCLE,TRIANGLE,1,43,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
Self,Self,Match,Top,n,0.750185455,STAR,DIAMOND,CIRCLE,TRIANGLE,1,44,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
We,We,Match,Bottom,n,0.7835796,STAR,DIAMOND,CIRCLE,TRIANGLE,1,45,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
We,We,Match,Top,n,0.66684972,STAR,DIAMOND,CIRCLE,TRIANGLE,1,46,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
You,You,Match,Bottom,n,1.100189146,STAR,DIAMOND,CIRCLE,TRIANGLE,1,47,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
We,They,Mismatch,Bottom,m,1.016845121,STAR,DIAMOND,CIRCLE,TRIANGLE,1,48,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
Self,You,Mismatch,Bottom,m,1.200156813,STAR,DIAMOND,CIRCLE,TRIANGLE,1,49,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
They,They,Match,Bottom,n,1.016832092,STAR,DIAMOND,CIRCLE,TRIANGLE,1,50,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
You,You,Match,Top,n,1.066820663,STAR,DIAMOND,CIRCLE,TRIANGLE,1,51,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
We,You,Mismatch,Top,n,1.266806924,STAR,DIAMOND,CIRCLE,TRIANGLE,0,52,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,PLURALSHAPE,SINGULARLABEL
They,You,Mismatch,Bottom,m,0.850192206,STAR,DIAMOND,CIRCLE,TRIANGLE,1,53,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,SINGULARLABEL
They,Self,Mismatch,Top,m,1.016796166,STAR,DIAMOND,CIRCLE,TRIANGLE,1,54,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,PLURALSHAPE,SINGULARLABEL
They,They,Match,Top,n,1.016804062,STAR,DIAMOND,CIRCLE,TRIANGLE,1,55,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
Self,Self,Match,Top,n,0.666796817,STAR,DIAMOND,CIRCLE,TRIANGLE,1,56,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
Self,We,Mismatch,Bottom,m,1.033497976,STAR,DIAMOND,CIRCLE,TRIANGLE,1,57,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,PLURALLABEL
We,Self,Mismatch,Top,m,1.283501628,STAR,DIAMOND,CIRCLE,TRIANGLE,1,58,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,SINGULARLABEL
Self,We,Mismatch,Top,m,1.183496061,STAR,DIAMOND,CIRCLE,TRIANGLE,1,59,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,PLURALLABEL
We,You,Mismatch,Bottom,m,1.166818729,STAR,DIAMOND,CIRCLE,TRIANGLE,1,60,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,PLURALSHAPE,SINGULARLABEL
You,You,Match,Bottom,n,0.883503049,STAR,DIAMOND,CIRCLE,TRIANGLE,1,61,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
They,You,Mismatch,Top,m,0.966845496,STAR,DIAMOND,CIRCLE,TRIANGLE,1,62,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,SINGULARLABEL
We,We,Match,Top,n,0.800170867,STAR,DIAMOND,CIRCLE,TRIANGLE,1,63,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
You,They,Mismatch,Top,m,0.966861288,STAR,DIAMOND,CIRCLE,TRIANGLE,1,64,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,PLURALLABEL
They,They,Match,Top,n,0.983447028,STAR,DIAMOND,CIRCLE,TRIANGLE,1,65,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
We,Self,Mismatch,Top,m,1.266868512,STAR,DIAMOND,CIRCLE,TRIANGLE,1,66,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,SINGULARLABEL
Self,You,Mismatch,Top,m,1.05013425,STAR,DIAMOND,CIRCLE,TRIANGLE,1,67,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
Self,You,Mismatch,Bottom,m,1.016847884,STAR,DIAMOND,CIRCLE,TRIANGLE,1,68,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
You,They,Mismatch,Bottom,m,1.050182415,STAR,DIAMOND,CIRCLE,TRIANGLE,1,69,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,PLURALLABEL
We,You,Mismatch,Bottom,m,0.950172111,STAR,DIAMOND,CIRCLE,TRIANGLE,1,70,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,PLURALSHAPE,SINGULARLABEL
You,You,Match,Top,n,1.033492449,STAR,DIAMOND,CIRCLE,TRIANGLE,1,71,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
We,We,Match,Bottom,n,0.750125446,STAR,DIAMOND,CIRCLE,TRIANGLE,1,72,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
They,You,Mismatch,Bottom,m,0.850114037,STAR,DIAMOND,CIRCLE,TRIANGLE,1,73,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,SINGULARLABEL
You,Self,Mismatch,Bottom,m,0.800165735,STAR,DIAMOND,CIRCLE,TRIANGLE,1,74,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
Self,They,Mismatch,Bottom,m,0.833485658,STAR,DIAMOND,CIRCLE,TRIANGLE,1,75,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,SINGULARSHAPE,PLURALLABEL
You,You,Match,Bottom,n,1.283453858,STAR,DIAMOND,CIRCLE,TRIANGLE,1,76,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
They,Self,Mismatch,Bottom,m,1.100151246,STAR,DIAMOND,CIRCLE,TRIANGLE,1,77,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,PLURALSHAPE,SINGULARLABEL
We,You,Mismatch,Top,m,0.866854537,STAR,DIAMOND,CIRCLE,TRIANGLE,1,78,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,PLURALSHAPE,SINGULARLABEL
They,They,Match,Bottom,n,0.816818985,STAR,DIAMOND,CIRCLE,TRIANGLE,1,79,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
You,Self,Mismatch,Bottom,m,0.81685807,STAR,DIAMOND,CIRCLE,TRIANGLE,1,80,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
Self,They,Mismatch,Top,m,0.833507767,STAR,DIAMOND,CIRCLE,TRIANGLE,1,81,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,SINGULARSHAPE,PLURALLABEL
They,They,Match,Top,m,0.750153082,STAR,DIAMOND,CIRCLE,TRIANGLE,0,82,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
Self,Self,Match,Top,n,0.833517637,STAR,DIAMOND,CIRCLE,TRIANGLE,1,83,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
They,They,Match,Bottom,n,0.800168499,STAR,DIAMOND,CIRCLE,TRIANGLE,1,84,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
Self,Self,Match,Bottom,n,0.733489172,STAR,DIAMOND,CIRCLE,TRIANGLE,1,85,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
You,You,Match,Top,n,0.866829664,STAR,DIAMOND,CIRCLE,TRIANGLE,1,86,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
They,They,Match,Bottom,n,0.766866736,STAR,DIAMOND,CIRCLE,TRIANGLE,1,87,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
They,Self,Mismatch,Bottom,m,1.083475098,STAR,DIAMOND,CIRCLE,TRIANGLE,1,88,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,PLURALSHAPE,SINGULARLABEL
They,They,Match,Bottom,n,0.75015624,STAR,DIAMOND,CIRCLE,TRIANGLE,1,89,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
They,They,Match,Bottom,n,0.533549892,STAR,DIAMOND,CIRCLE,TRIANGLE,1,90,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
Self,You,Mismatch,Top,m,1.016830513,STAR,DIAMOND,CIRCLE,TRIANGLE,1,91,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
We,We,Match,Bottom,n,0.700160563,STAR,DIAMOND,CIRCLE,TRIANGLE,1,92,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
You,You,Match,Top,n,0.850147989,STAR,DIAMOND,CIRCLE,TRIANGLE,1,93,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
They,We,Mismatch,Bottom,m,0.950161057,STAR,DIAMOND,CIRCLE,TRIANGLE,1,94,1,r,Hungarian,1,Male,26,EXPERIMENT,0,OTHERSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
Self,Self,Match,Top,n,0.833500661,STAR,DIAMOND,CIRCLE,TRIANGLE,1,95,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
Self,Self,Match,Bottom,n,0.716831184,STAR,DIAMOND,CIRCLE,TRIANGLE,1,96,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
We,They,Mismatch,Bottom,m,1.066833691,STAR,DIAMOND,CIRCLE,TRIANGLE,1,1,2,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
We,You,Mismatch,Top,m,0.950176059,STAR,DIAMOND,CIRCLE,TRIANGLE,1,2,2,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,PLURALSHAPE,SINGULARLABEL
