VP,age,sex,exp,Studie,SPErt1,SPErt2,SPErt,SPEd,SPEd1,SPEd2,ime1,ine1,mme1,mne1,bme1,bne1,ime2,ine2,mme2,mne2,bme2,bne2,RTim1,RTin1,RTmm1,RTmn1,RTbm1,RTbn1,RTim2,RTin2,RTmm2,RTmn2,RTbm2,RTbn2,SPEreduction,RTin,RTbn,RTmn,ine,bne,mne
14,22,0,1,2,43.3005115089514,51.3876518218623,47.3440816654069,.760157281382804,.106589380735296,1.41372518203031,2,4,2,4,6,2,0,3,6,7,6,3,533.5,722.047619047619,546.130434782609,674.65,607.470588235294,637.458333333333,527.230769230769,639.142857142857,552.736842105263,700.666666666667,604.5,668.190476190476,8.08714031291089,680.595238095238,652.824404761905,687.658333333333,3.5,2.5,5.5
15,23,1,0,2,36.0672727272728,4.20833333333337,20.1378030303031,.634068771120041,.763776682875456,.504360859364627,2,1,1,4,4,8,1,2,7,1,3,2,684.636363636364,790.608695652174,686.68,760.285714285714,754.727272727273,747.5625,669.791666666667,728.5,662,784.863636363636,686,738.217391304348,-31.8589393939394,759.554347826087,742.889945652174,772.574675324675,1.5,5,2.5
16,19,0,0,2,77.8181818181818,148.917619047619,113.3679004329,.334123023833923,-.397911043492079,1.06615709115992,2,6,3,2,4,1,0,4,4,4,7,3,731.272727272727,876.055555555556,782.5,887,835.681818181818,823.478260869565,684.88,791.272727272727,747.095238095238,888.35,920.5,867.6,71.0994372294373,833.664141414141,845.539130434783,887.675,5,2,3
17,18,0,0,2,54.7352818805908,28.91171679198,41.8234993362854,.351054981211368,.527886594311164,.174223368111571,2,2,4,3,5,3,3,3,2,4,4,5,600.913043478261,687.458333333333,617.454545454545,729.9,693.842105263158,733,668.52380952381,768.157894736842,705.45,736.052631578947,689.421052631579,704.375,-25.8235650886108,727.808114035088,718.6875,732.976315789474,2.5,4,3.5
18,20,0,1,2,.886090225563976,-210.446608946609,-104.780259360523,-.502847724166727,-.212092908009607,-.793602540323847,3,4,3,3,5,1,8,6,4,2,2,6,780.55,860.952380952381,705.714285714286,810.695652173913,857.157894736842,828.291666666667,941.444444444444,830.888888888889,748.090909090909,870.363636363636,713.904761904762,908.647058823529,-211.332699172173,845.920634920635,868.469362745098,840.529644268775,5,3.5,2.5
19,19,0,0,2,64.2405347593582,24.1458333333334,44.1931840463458,.591887765188981,.302732485759591,.881043044618372,2,0,0,0,4,4,1,0,1,2,2,3,609.681818181818,728.92,595.08,766.48,752.764705882353,738.65,656.791666666667,777.454545454545,639.791666666667,772.5,722.083333333333,767.15,-40.0947014260249,753.187272727273,752.9,769.49,0,3.5,1
20,21,0,0,2,122.907679738562,162.311036789298,142.60935826393,.420045572624653,.702133416192349,.137957729056956,0,4,6,1,7,1,0,3,1,2,3,0,614.291666666667,823.15,698.222222222222,793.909090909091,776.176470588235,852.565217391304,634.384615384615,951.681818181818,733.391304347826,846.857142857143,860,867.857142857143,39.4033570507356,887.415909090909,860.211180124224,820.383116883117,3.5,.5,1.5
21,20,0,0,2,62.46878483835,106.931428571429,84.7001067048893,.84622881875587,.928285138223142,.764172499288598,0,4,2,5,8,2,1,3,0,4,19,5,567.038461538462,675.428571428571,581.347826086957,663.210526315789,677.666666666667,654,558,614.47619047619,595.72,687.25,734.142857142857,645.95,44.4626437330786,644.952380952381,649.975,675.230263157895,3.5,3.5,4.5
22,19,0,1,2,87.8418803418804,21.0112745098039,54.4265774258421,.353610069192749,.155256556768689,.551963581616809,5,6,7,2,12,7,5,6,8,12,11,5,455,568.210526315789,520.222222222222,511.761904761905,565.461538461538,547.111111111111,523.55,563.0625,528.705882352941,573.071428571429,560.416666666667,560.588235294118,-66.8306058320765,565.636513157895,553.849673202614,542.416666666667,6,6,7
23,21,0,0,2,37.721332316298,26.1790669856459,31.9501996509719,.154137695423693,.640788599871138,-.332513209023752,2,11,6,13,6,13,3,13,1,6,5,13,474.565217391304,580.5,520.684210526316,592.2,503.888888888889,656.222222222222,500.736842105263,598.416666666667,527.681818181818,549.789473684211,526.15,604.333333333333,-11.5422653306521,589.458333333333,630.277777777778,570.994736842105,12,13,9.5
