VP,age,sex,exp,Studie,SPErt1,SPErt2,SPErt,SPEd,SPEd1,SPEd2,ime1,ine1,mme1,mne1,bme1,bne1,ime2,ine2,mme2,mne2,bme2,bne2,RTim1,RTin1,RTmm1,RTmn1,RTbm1,RTbn1,RTim2,RTin2,RTmm2,RTmn2,RTbm2,RTbn2,SPEreduction,RTin,RTbn,RTmn,ine,bne,mne
11,22,1,1,1,55.0357142857143,37.5780632411069,46.3068887634106,-.486557894555108,.431739669050286,.54137612005993,1,6,1,2,3,1,2,3,3,0,2,1,600.458333333333,733.277777777778,620.416666666667,694.291666666667,690.571428571429,763.086956521739,646.95652173913,746.052631578947,663.590909090909,765.5,705.478260869565,771.826086956522,-17.4576510446075,739.665204678363,767.45652173913,729.895833333333,4.5,1,1
12,22,0,0,1,10.7132505175983,48.2133333333333,29.4632919254658,-.79805063622592,.875998283523994,.720102988927846,1,6,2,0,3,0,3,4,0,2,1,5,686.166666666667,860.15,644.521739130435,751.8,749.238095238095,814.434782608696,709.6,867.526315789474,661.96,847.04347826087,853.666666666667,851.052631578947,37.5000828157349,863.838157894737,832.743707093822,799.421739130435,5,2.5,1
13,19,0,1,1,47.6301834130782,-71.1092885375494,-11.7395525622356,-.783150647481451,1.51595834234121,.0503429526216914,5,4,1,0,2,0,2,3,2,3,4,1,691.684210526316,809.142857142857,698.083333333333,841.96,780.545454545455,836.291666666667,867.695652173913,821.47619047619,758.272727272727,807,834.9,808.666666666667,-118.739471950628,815.309523809524,822.479166666667,824.48,3.5,.5,1.5
14,22,0,1,1,158.192536231884,49.9783333333334,104.085434782609,.218392215072332,-.457204541880033,.0204201117353682,0,1,1,0,2,2,1,0,0,0,3,0,630.36,769.08,726.583333333333,797.208333333333,850.521739130435,816.285714285714,641.291666666667,783.217391304348,646.64,758.583333333333,735.9,835.769230769231,-108.214202898551,776.148695652174,826.027472527473,777.895833333333,.5,1,0
15,23,0,0,1,-102.832692307692,7.12547101449275,-47.8536106465997,-.717797193438392,.873798155081486,.561796231795297,12,2,1,2,5,2,1,2,0,2,1,0,771.307692307692,766.04347826087,609,737.454545454545,727.95,807.181818181818,664.608695652174,733.217391304348,575.76,719,767.708333333333,792.208333333333,109.958163322185,749.630434782609,799.695075757576,728.227272727273,2,1,2
16,20,0,1,1,156.080151515152,131.246387959866,143.663269737509,.291108171765332,-.137957729056957,-.444258614473708,0,3,1,0,2,3,0,0,1,0,0,1,581.56,712.409090909091,739.416666666667,735.92,735.863636363636,755.571428571429,545.92,681.28,677.217391304348,677.12,677.115384615385,731.086956521739,-24.8337635552854,696.844545454545,743.329192546584,706.52,1.5,2,0
17,26,0,0,1,192.238275978408,229.119565217391,210.678920597899,.762720072878219,-1.08865571561177,-.436784430144665,0,1,6,1,1,4,1,1,2,2,1,3,867.846153846154,886.333333333333,984.210526315789,1014.625,1135.95833333333,1163.05,679.608695652174,917.5,899.95652173913,883.173913043478,917.5,1100.04347826087,36.8812892389839,901.916666666667,1131.54673913043,948.899456521739,1,3.5,1.5
18,23,0,1,1,210.701739130435,102.547348484848,156.624543807642,.450731578176869,-.339666924558442,-.561796231795297,0,0,0,0,0,2,0,0,2,0,1,0,623.5,724.25,841.36,832.347826086957,827.04347826087,810.952380952381,609.333333333333,624.84,672.136363636364,716.653846153846,751.625,774.16,-108.154390645586,674.545,792.556190476191,774.500836120401,0,1,0
19,19,0,0,1,54.4196741854637,67.7622727272727,61.0909734563682,.118767755939863,.233077543823146,-.470613055702871,4,2,2,4,6,0,1,3,3,3,4,3,775.95,904.090909090909,763.47619047619,843.095238095238,897.263157894737,845.541666666667,734.24,827.142857142857,828.454545454545,883.380952380952,775.55,889.15,13.342598541809,865.616883116883,867.345833333333,863.238095238095,2.5,1.5,3.5
20,21,1,1,1,61.3863636363636,37.3390476190476,49.3627056277056,.413525435221535,-.386441477522974,-.440609392920097,0,1,4,2,0,0,3,0,7,0,1,3,719.416666666667,761.227272727273,792.333333333333,785.761904761905,769.272727272727,785.5,681.380952380952,750,734,768.652173913043,703.44,723.428571428571,-24.047316017316,755.613636363636,754.464285714286,777.207039337474,.5,1.5,1
21,21,1,0,1,89.7819565217392,-19.78,35.0009782608696,.169833462279221,-.561796231795297,.222129307236855,0,0,0,1,2,0,1,0,0,0,0,1,733.625,863.458333333333,786.64,891.565217391304,860.173913043478,954.8,696.64,772.961538461538,656.76,738.739130434783,696.96,803.434782608696,-109.561956521739,818.209935897436,879.117391304348,815.152173913043,0,.5,.5
