"","Subject","Block","Bin","Trial","Age","Gender","Handedness","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Morality","Response","RT_ms","RT_sec","ACC"
"81",7302,1,4,9,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",412.6,0.4126,1
"82",7302,1,4,10,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",500.6,0.5006,1
"83",7302,1,4,11,22,"female","R","immoralSelf","moralSelf","Nonmatching","Self","Self","Self","Bad","n",850.7,0.8507,1
"84",7302,1,4,12,22,"female","R","moralSelf","moralOther","Nonmatching","Self","Self","Self","Good","n",906.9,0.9069,1
"85",7302,1,4,13,22,"female","R","moralOther","moralSelf","Nonmatching","Other","Other","Stranger","Good","n",721,0.721,1
"86",7302,1,4,14,22,"female","R","immoralOther","moralSelf","Nonmatching","Other","Other","Stranger","Bad","n",635.1,0.6351,1
"87",7302,1,4,15,22,"female","R","immoralOther","moralOther","Nonmatching","Other","Other","Stranger","Bad","n",855.3,0.8553,1
"88",7302,1,4,16,22,"female","R","immoralSelf","moralOther","Nonmatching","Self","Self","Self","Bad","n",719.4,0.7194,1
"89",7302,1,4,17,22,"female","R","moralSelf","moralOther","Nonmatching","Self","Self","Self","Good","m",521.4,0.5214,0
"90",7302,1,4,18,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",659.7,0.6597,1
"91",7302,1,4,19,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",809.7,0.8097,1
"92",7302,1,4,20,22,"female","R","immoralOther","moralOther","Nonmatching","Other","Other","Stranger","Bad","n",673.8,0.6738,1
"93",7302,1,4,21,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",534,0.534,1
"94",7302,1,4,22,22,"female","R","moralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Good","n",614.1,0.6141,1
"95",7302,1,4,23,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",646.2,0.6462,1
"96",7302,1,4,24,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",776.3,0.7763,1
"97",7302,1,5,1,22,"female","R","moralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Good","n",696.4,0.6964,1
"98",7302,1,5,2,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","n",880.5,0.8805,0
"99",7302,1,5,3,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",554.6,0.5546,1
"100",7302,1,5,4,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",974.7,0.9747,1
"101",7302,1,5,5,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",614.9,0.6149,1
"102",7302,1,5,6,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",615,0.615,1
"103",7302,1,5,7,22,"female","R","immoralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Bad","m",655.2,0.6552,0
"104",7302,1,5,8,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",655.2,0.6552,1
"105",7302,1,5,9,22,"female","R","immoralOther","moralSelf","Nonmatching","Other","Other","Stranger","Bad","n",599.4,0.5994,1
"106",7302,1,5,10,22,"female","R","moralSelf","immoralSelf","Nonmatching","Self","Self","Self","Good","m",649.5,0.6495,0
"107",7302,1,5,11,22,"female","R","moralOther","immoralOther","Nonmatching","Other","Other","Stranger","Good","n",673.6,0.6736,1
"108",7302,1,5,12,22,"female","R","immoralOther","moralSelf","Nonmatching","Other","Other","Stranger","Bad","n",773.7,0.7737,1
"109",7302,1,5,13,22,"female","R","immoralSelf","moralOther","Nonmatching","Self","Self","Self","Bad","n",733.8,0.7338,1
"110",7302,1,5,14,22,"female","R","moralSelf","immoralOther","Nonmatching","Self","Self","Self","Good","n",734,0.734,1
"111",7302,1,5,15,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",622.1,0.6221,1
"112",7302,1,5,16,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",548.2,0.5482,1
"113",7302,1,5,17,22,"female","R","immoralSelf","moralOther","Nonmatching","Self","Self","Self","Bad","n",592.3,0.5923,1
"114",7302,1,5,18,22,"female","R","moralOther","immoralOther","Nonmatching","Other","Other","Stranger","Good","n",644.5,0.6445,1
"115",7302,1,5,19,22,"female","R","immoralSelf","immoralOther","Nonmatching","Self","Self","Self","Bad","n",438.5,0.4385,1
"116",7302,1,5,20,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",776.6,0.7766,1
"117",7302,1,5,21,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",752.7,0.7527,1
"118",7302,1,5,22,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",516.9,0.5169,1
"119",7302,1,5,23,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",657,0.657,1
"120",7302,1,5,24,22,"female","R","moralSelf","moralOther","Nonmatching","Self","Self","Self","Good","n",809.1,0.8091,1
"121",7302,2,1,1,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",723.3,0.7233,1
"122",7302,2,1,2,22,"female","R","moralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Good","n",917.5,0.9175,1
"123",7302,2,1,3,22,"female","R","immoralSelf","moralOther","Nonmatching","Self","Self","Self","Bad","n",703.6,0.7036,1
"124",7302,2,1,4,22,"female","R","immoralOther","moralOther","Nonmatching","Other","Other","Stranger","Bad","n",677.7,0.6777,1
"125",7302,2,1,5,22,"female","R","immoralSelf","moralOther","Nonmatching","Self","Self","Self","Bad","n",727.8,0.7278,1
"126",7302,2,1,6,22,"female","R","moralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Good","n",696,0.696,1
"127",7302,2,1,7,22,"female","R","immoralOther","moralSelf","Nonmatching","Other","Other","Stranger","Bad","n",840.1,0.8401,1
