"","Subject","Label","Matching","Origin_Identity","English_Identity","Standardized_Idnetity","RT_ms","RT_sec","ACC"
"182",1,"Friend","Matching","Self","Self","Self",705,0.705,1
"183",1,"Friend","Matching","Self","Self","Self",497,0.497,0
"184",1,"Friend","Matching","Self","Self","Self",833,0.833,1
"185",1,"Friend","Matching","Self","Self","Self",855,0.855,1
"186",1,"Friend","Matching","Self","Self","Self",543,0.543,1
"187",1,"Friend","Matching","Self","Self","Self",583,0.583,0
"188",1,"Friend","Matching","Self","Self","Self",339,0.339,1
"189",1,"Friend","Matching","Self","Self","Self",592,0.592,1
"190",1,"Friend","Matching","Self","Self","Self",500,0.5,1
"191",1,"Friend","Matching","Self","Self","Self",598,0.598,1
"192",1,"Self","Nonmatching","Friend","Friend","Close",816,0.816,1
"193",1,"Self","Nonmatching","Friend","Friend","Close",947,0.947,1
"194",1,"Self","Nonmatching","Friend","Friend","Close",916,0.916,1
"195",1,"Self","Nonmatching","Friend","Friend","Close",740,0.74,1
"196",1,"Self","Nonmatching","Friend","Friend","Close",987,0.987,1
"197",1,"Self","Nonmatching","Friend","Friend","Close",822,0.822,0
"198",1,"Self","Nonmatching","Friend","Friend","Close",986,0.986,0
"199",1,"Self","Nonmatching","Friend","Friend","Close",691,0.691,1
"200",1,"Self","Nonmatching","Friend","Friend","Close",695,0.695,1
"201",1,"Self","Nonmatching","Friend","Friend","Close",629,0.629,1
"202",1,"Self","Nonmatching","Friend","Friend","Close",831,0.831,1
"203",1,"Self","Nonmatching","Friend","Friend","Close",558,0.558,1
"204",1,"Self","Nonmatching","Friend","Friend","Close",402,0.402,1
"205",1,"Self","Nonmatching","Friend","Friend","Close",662,0.662,1
"206",1,"Self","Nonmatching","Friend","Friend","Close",968,0.968,1
"207",1,"Self","Nonmatching","Friend","Friend","Close",816,0.816,1
"208",1,"Self","Nonmatching","Friend","Friend","Close",658,0.658,0
"209",1,"Self","Nonmatching","Friend","Friend","Close",932,0.932,0
"210",1,"Self","Nonmatching","Friend","Friend","Close",595,0.595,1
"211",1,"Self","Nonmatching","Friend","Friend","Close",719,0.719,1
"212",1,"Self","Nonmatching","Friend","Friend","Close",704,0.704,1
"213",1,"Self","Nonmatching","Friend","Friend","Close",637,0.637,0
"214",1,"Self","Nonmatching","Friend","Friend","Close",828,0.828,1
"215",1,"Self","Nonmatching","Friend","Friend","Close",695,0.695,1
"216",1,"Friend","Nonmatching","Friend","Friend","Close",774,0.774,1
"217",1,"Friend","Nonmatching","Friend","Friend","Close",674,0.674,1
"218",1,"Friend","Nonmatching","Friend","Friend","Close",594,0.594,1
"219",1,"Friend","Nonmatching","Friend","Friend","Close",537,0.537,1
"220",1,"Friend","Nonmatching","Friend","Friend","Close",655,0.655,1
"221",1,"Friend","Nonmatching","Friend","Friend","Close",893,0.893,1
"222",1,"Friend","Nonmatching","Friend","Friend","Close",761,0.761,1
"223",1,"Friend","Nonmatching","Friend","Friend","Close",1093,1.093,0
"224",1,"Friend","Nonmatching","Friend","Friend","Close",574,0.574,1
"225",1,"Friend","Nonmatching","Friend","Friend","Close",928,0.928,1
"226",1,"Friend","Nonmatching","Friend","Friend","Close",839,0.839,1
"227",1,"Friend","Nonmatching","Friend","Friend","Close",729,0.729,1
"228",1,"Friend","Nonmatching","Friend","Friend","Close",929,0.929,1
"229",1,"Friend","Nonmatching","Friend","Friend","Close",646,0.646,1
"230",1,"Friend","Nonmatching","Friend","Friend","Close",701,0.701,1
"231",1,"Friend","Nonmatching","Friend","Friend","Close",560,0.56,1
"232",1,"Friend","Nonmatching","Friend","Friend","Close",689,0.689,1
"233",1,"Friend","Nonmatching","Friend","Friend","Close",674,0.674,1
"234",1,"Friend","Nonmatching","Friend","Friend","Close",616,0.616,1
"235",1,"Friend","Nonmatching","Friend","Friend","Close",487,0.487,1
"236",1,"Friend","Nonmatching","Friend","Friend","Close",440,0.44,1
"237",1,"Friend","Nonmatching","Friend","Friend","Close",438,0.438,1
"238",1,"Friend","Nonmatching","Friend","Friend","Close",838,0.838,1
"239",1,"Friend","Nonmatching","Friend","Friend","Close",501,0.501,1
"240",1,"Friend","Nonmatching","Friend","Friend","Close",761,0.761,1
"241",1,"Friend","Nonmatching","Friend","Friend","Close",556,0.556,1
"242",1,"Friend","Nonmatching","Friend","Friend","Close",870,0.87,1
"243",1,"Friend","Nonmatching","Friend","Friend","Close",740,0.74,0
"244",1,"Friend","Nonmatching","Friend","Friend","Close",916,0.916,1
