"","Subject","Label","Shape","Matching","Origin_Identity","English_Identity","Standardized_Idnetity","RT_ms","RT_sec","ACC"
"120",1,"Friend","Self","Matching","Self","Self","Self",595,0.595,1
"121",1,"Friend","Self","Matching","Self","Self","Self",335,0.335,1
"122",1,"Friend","Self","Matching","Self","Self","Self",595,0.595,1
"123",1,"Friend","Self","Matching","Self","Self","Self",379,0.379,1
"124",1,"Friend","Self","Matching","Self","Self","Self",534,0.534,1
"125",1,"Friend","Self","Matching","Self","Self","Self",582,0.582,1
"126",1,"Friend","Self","Matching","Self","Self","Self",473,0.473,1
"127",1,"Friend","Self","Matching","Self","Self","Self",287,0.287,1
"128",1,"Friend","Self","Matching","Self","Self","Self",480,0.48,1
"129",1,"Friend","Self","Matching","Self","Self","Self",368,0.368,1
"130",1,"Self","Self","Matching","Self","Self","Self",449,0.449,1
"131",1,"Self","Self","Matching","Self","Self","Self",481,0.481,1
"132",1,"Self","Self","Matching","Self","Self","Self",603,0.603,1
"133",1,"Self","Self","Matching","Self","Self","Self",730,0.73,1
"134",1,"Self","Self","Matching","Self","Self","Self",702,0.702,1
"135",1,"Self","Self","Matching","Self","Self","Self",517,0.517,1
"136",1,"Self","Self","Matching","Self","Self","Self",560,0.56,1
"137",1,"Self","Self","Matching","Self","Self","Self",692,0.692,1
"138",1,"Self","Self","Matching","Self","Self","Self",734,0.734,1
"139",1,"Self","Self","Matching","Self","Self","Self",627,0.627,1
"140",1,"Self","Self","Matching","Self","Self","Self",715,0.715,1
"141",1,"Self","Self","Matching","Self","Self","Self",887,0.887,1
"142",1,"Self","Self","Matching","Self","Self","Self",495,0.495,1
"143",1,"Self","Self","Matching","Self","Self","Self",586,0.586,1
"144",1,"Self","Self","Matching","Self","Self","Self",684,0.684,1
"145",1,"Self","Self","Matching","Self","Self","Self",868,0.868,1
"146",1,"Self","Self","Matching","Self","Self","Self",561,0.561,1
"147",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",289,0.289,0
"148",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",257,0.257,0
"149",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",871,0.871,0
"150",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",249,0.249,0
"151",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",425,0.425,0
"152",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",494,0.494,0
"153",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",540,0.54,0
"154",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",316,0.316,0
"155",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",505,0.505,0
"156",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",791,0.791,0
"157",1,"Self","Friend","Nonmatching","Friend","Friend","Close",554,0.554,0
"158",1,"Self","Friend","Nonmatching","Friend","Friend","Close",690,0.69,0
"159",1,"Self","Friend","Nonmatching","Friend","Friend","Close",516,0.516,0
"160",1,"Self","Friend","Nonmatching","Friend","Friend","Close",505,0.505,0
"161",1,"Self","Friend","Nonmatching","Friend","Friend","Close",473,0.473,0
"162",1,"Self","Friend","Nonmatching","Friend","Friend","Close",245,0.245,0
"163",1,"Self","Friend","Nonmatching","Friend","Friend","Close",512,0.512,0
"164",1,"Self","Friend","Nonmatching","Friend","Friend","Close",547,0.547,0
"165",1,"Self","Friend","Nonmatching","Friend","Friend","Close",502,0.502,0
"166",1,"Self","Friend","Nonmatching","Friend","Friend","Close",534,0.534,0
"167",1,"Self","Friend","Nonmatching","Friend","Friend","Close",517,0.517,0
"168",1,"Self","Friend","Nonmatching","Friend","Friend","Close",615,0.615,0
"169",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",457,0.457,1
"170",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",528,0.528,1
"171",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",429,0.429,1
"172",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",548,0.548,1
"173",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",771,0.771,1
"174",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",688,0.688,1
"175",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",973,0.973,1
"176",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",652,0.652,1
"177",1,"Friend","Friend","Nonmatching","Friend","Friend","Close",544,0.544,1
"178",1,"Self","Friend","Nonmatching","Friend","Friend","Close",631,0.631,1
"179",1,"Self","Friend","Nonmatching","Friend","Friend","Close",509,0.509,1
"180",1,"Self","Friend","Nonmatching","Friend","Friend","Close",777,0.777,1
"181",1,"Self","Friend","Nonmatching","Friend","Friend","Close",340,0.34,1
"182",1,"Self","Friend","Nonmatching","Friend","Friend","Close",467,0.467,1
"183",1,"Self","Friend","Nonmatching","Friend","Friend","Close",413,0.413,1
"184",1,"Self","Friend","Nonmatching","Friend","Friend","Close",502,0.502,1
"185",1,"Self","Friend","Nonmatching","Friend","Friend","Close",466,0.466,1
"186",1,"Self","Friend","Nonmatching","Friend","Friend","Close",661,0.661,1
"187",1,"Self","Friend","Nonmatching","Friend","Friend","Close",712,0.712,1
"188",1,"Self","Friend","Nonmatching","Friend","Friend","Close",840,0.84,1
"189",1,"Self","Friend","Nonmatching","Friend","Friend","Close",710,0.71,1
"190",1,"Self","Friend","Nonmatching","Friend","Friend","Close",811,0.811,1
"191",1,"Self","Friend","Nonmatching","Friend","Friend","Close",607,0.607,1
"192",1,"Self","Friend","Nonmatching","Friend","Friend","Close",980,0.98,1
"193",1,"Self","Friend","Nonmatching","Friend","Friend","Close",536,0.536,1
"194",1,"Self","Friend","Nonmatching","Friend","Friend","Close",472,0.472,1
"195",1,"Self","Friend","Nonmatching","Friend","Friend","Close",638,0.638,1
"196",1,"Self","Friend","Nonmatching","Friend","Friend","Close",1018,1.018,1
"197",1,"Self","Friend","Nonmatching","Friend","Friend","Close",525,0.525,1
"198",1,"Self","Friend","Nonmatching","Friend","Friend","Close",454,0.454,1
"199",1,"Self","Friend","Nonmatching","Friend","Friend","Close",732,0.732,1
"200",1,"Self","Friend","Nonmatching","Friend","Friend","Close",693,0.693,1
"201",1,"Self","Friend","Nonmatching","Friend","Friend","Close",583,0.583,1
"202",1,"Self","Friend","Nonmatching","Friend","Friend","Close",1038,1.038,1
"203",1,"Self","Friend","Nonmatching","Friend","Friend","Close",881,0.881,1
"204",1,"Self","Friend","Nonmatching","Friend","Friend","Close",481,0.481,1
"205",1,"Self","Friend","Nonmatching","Friend","Friend","Close",802,0.802,1
"206",1,"Self","Friend","Nonmatching","Friend","Friend","Close",852,0.852,1
"207",1,"Self","Friend","Nonmatching","Friend","Friend","Close",648,0.648,1
"208",1,"Self","Friend","Nonmatching","Friend","Friend","Close",421,0.421,1
"209",1,"Self","Friend","Nonmatching","Friend","Friend","Close",882,0.882,1
"210",1,"Self","Friend","Nonmatching","Friend","Friend","Close",736,0.736,1
"211",1,"Self","Friend","Nonmatching","Friend","Friend","Close",677,0.677,1
"212",1,"Self","Friend","Nonmatching","Friend","Friend","Close",690,0.69,1
"213",1,"Self","Friend","Nonmatching","Friend","Friend","Close",931,0.931,1
"214",1,"Self","Friend","Nonmatching","Friend","Friend","Close",469,0.469,1
"215",1,"Self","Friend","Nonmatching","Friend","Friend","Close",982,0.982,1
"216",1,"Self","Friend","Nonmatching","Friend","Friend","Close",536,0.536,1
"217",1,"Self","Friend","Nonmatching","Friend","Friend","Close",658,0.658,1
"218",1,"Self","Friend","Nonmatching","Friend","Friend","Close",831,0.831,1
"219",1,"Self","Friend","Nonmatching","Friend","Friend","Close",755,0.755,1
"220",1,"Self","Friend","Nonmatching","Friend","Friend","Close",740,0.74,1
"221",1,"Self","Friend","Nonmatching","Friend","Friend","Close",625,0.625,1
"222",1,"Self","Friend","Nonmatching","Friend","Friend","Close",615,0.615,1
"223",1,"Self","Friend","Nonmatching","Friend","Friend","Close",618,0.618,1
"224",1,"Self","Friend","Nonmatching","Friend","Friend","Close",487,0.487,1
"225",1,"Self","Friend","Nonmatching","Friend","Friend","Close",529,0.529,1
"226",1,"Friend","Self","Nonmatching","Self","Self","Self",277,0.277,0
"227",1,"Friend","Self","Nonmatching","Self","Self","Self",266,0.266,0
"228",1,"Friend","Self","Nonmatching","Self","Self","Self",406,0.406,0
"229",1,"Friend","Self","Nonmatching","Self","Self","Self",352,0.352,0
"230",1,"Friend","Self","Nonmatching","Self","Self","Self",269,0.269,0
"231",1,"Friend","Self","Nonmatching","Self","Self","Self",332,0.332,0
"232",1,"Friend","Self","Nonmatching","Self","Self","Self",532,0.532,0
"233",1,"Friend","Self","Nonmatching","Self","Self","Self",445,0.445,0
"234",1,"Friend","Self","Nonmatching","Self","Self","Self",565,0.565,0
"235",1,"Self","Self","Nonmatching","Self","Self","Self",375,0.375,0
"236",1,"Self","Self","Nonmatching","Self","Self","Self",321,0.321,0
"237",1,"Self","Self","Nonmatching","Self","Self","Self",905,0.905,0
"238",1,"Self","Self","Nonmatching","Self","Self","Self",412,0.412,0
"239",1,"Self","Self","Nonmatching","Self","Self","Self",748,0.748,0
"240",1,"Friend","Self","Nonmatching","Self","Self","Self",254,0.254,1
"241",1,"Friend","Self","Nonmatching","Self","Self","Self",434,0.434,1
"242",1,"Friend","Self","Nonmatching","Self","Self","Self",356,0.356,1
"243",1,"Friend","Self","Nonmatching","Self","Self","Self",361,0.361,1
"244",1,"Friend","Self","Nonmatching","Self","Self","Self",803,0.803,1
"245",1,"Friend","Self","Nonmatching","Self","Self","Self",495,0.495,1
"246",1,"Friend","Self","Nonmatching","Self","Self","Self",244,0.244,1
"247",1,"Friend","Self","Nonmatching","Self","Self","Self",355,0.355,1
"248",1,"Friend","Self","Nonmatching","Self","Self","Self",373,0.373,1
"249",1,"Friend","Self","Nonmatching","Self","Self","Self",394,0.394,1
"250",1,"Friend","Self","Nonmatching","Self","Self","Self",214,0.214,1
"251",1,"Friend","Self","Nonmatching","Self","Self","Self",297,0.297,1
"252",1,"Friend","Self","Nonmatching","Self","Self","Self",369,0.369,1
"253",1,"Friend","Self","Nonmatching","Self","Self","Self",463,0.463,1
"254",1,"Friend","Self","Nonmatching","Self","Self","Self",432,0.432,1
"255",1,"Friend","Self","Nonmatching","Self","Self","Self",429,0.429,1
"256",1,"Friend","Self","Nonmatching","Self","Self","Self",415,0.415,1
"257",1,"Friend","Self","Nonmatching","Self","Self","Self",353,0.353,1
"258",1,"Friend","Self","Nonmatching","Self","Self","Self",754,0.754,1
"259",1,"Friend","Self","Nonmatching","Self","Self","Self",411,0.411,1
"260",1,"Friend","Self","Nonmatching","Self","Self","Self",375,0.375,1
"261",1,"Friend","Self","Nonmatching","Self","Self","Self",483,0.483,1
"262",1,"Friend","Self","Nonmatching","Self","Self","Self",422,0.422,1
"263",1,"Friend","Self","Nonmatching","Self","Self","Self",1009,1.009,1
"264",1,"Friend","Self","Nonmatching","Self","Self","Self",462,0.462,1
"265",1,"Friend","Self","Nonmatching","Self","Self","Self",419,0.419,1
"266",1,"Friend","Self","Nonmatching","Self","Self","Self",566,0.566,1
"267",1,"Friend","Self","Nonmatching","Self","Self","Self",566,0.566,1
"268",1,"Friend","Self","Nonmatching","Self","Self","Self",710,0.71,1
"269",1,"Friend","Self","Nonmatching","Self","Self","Self",799,0.799,1
"270",1,"Friend","Self","Nonmatching","Self","Self","Self",944,0.944,1
"271",1,"Friend","Self","Nonmatching","Self","Self","Self",625,0.625,1
"272",1,"Friend","Self","Nonmatching","Self","Self","Self",511,0.511,1
"273",1,"Friend","Self","Nonmatching","Self","Self","Self",994,0.994,1
"274",1,"Friend","Self","Nonmatching","Self","Self","Self",523,0.523,1
"275",1,"Friend","Self","Nonmatching","Self","Self","Self",871,0.871,1
"276",1,"Friend","Self","Nonmatching","Self","Self","Self",739,0.739,1
"277",1,"Friend","Self","Nonmatching","Self","Self","Self",726,0.726,1
"278",1,"Friend","Self","Nonmatching","Self","Self","Self",444,0.444,1
"279",1,"Friend","Self","Nonmatching","Self","Self","Self",555,0.555,1
"280",1,"Friend","Self","Nonmatching","Self","Self","Self",454,0.454,1
"281",1,"Friend","Self","Nonmatching","Self","Self","Self",593,0.593,1
"282",1,"Friend","Self","Nonmatching","Self","Self","Self",846,0.846,1
"283",1,"Friend","Self","Nonmatching","Self","Self","Self",914,0.914,1
"284",1,"Self","Self","Nonmatching","Self","Self","Self",707,0.707,1
"285",1,"Self","Self","Nonmatching","Self","Self","Self",659,0.659,1
"286",1,"Self","Self","Nonmatching","Self","Self","Self",562,0.562,1
"287",1,"Self","Self","Nonmatching","Self","Self","Self",769,0.769,1
"288",1,"Self","Self","Nonmatching","Self","Self","Self",696,0.696,1
"289",1,"Self","Self","Nonmatching","Self","Self","Self",693,0.693,1
"290",1,"Self","Self","Nonmatching","Self","Self","Self",723,0.723,1
"291",1,"Self","Self","Nonmatching","Self","Self","Self",1008,1.008,1
"292",1,"Self","Self","Nonmatching","Self","Self","Self",979,0.979,1
"293",1,"Self","Self","Nonmatching","Self","Self","Self",391,0.391,1
"294",1,"Self","Self","Nonmatching","Self","Self","Self",899,0.899,1
"295",1,"Self","Self","Nonmatching","Self","Self","Self",644,0.644,1
"296",2,"Self","Friend","Matching","Friend","Friend","Close",559,0.559,0
"297",2,"Self","Friend","Matching","Friend","Friend","Close",630,0.63,0
"298",2,"Self","Friend","Matching","Friend","Friend","Close",501,0.501,0
"299",2,"Self","Friend","Matching","Friend","Friend","Close",659,0.659,0
"300",2,"Self","Friend","Matching","Friend","Friend","Close",388,0.388,0
"301",2,"Self","Friend","Matching","Friend","Friend","Close",476,0.476,0
"302",2,"Self","Friend","Matching","Friend","Friend","Close",259,0.259,0
"303",2,"Self","Friend","Matching","Friend","Friend","Close",515,0.515,0
"304",2,"Self","Friend","Matching","Friend","Friend","Close",367,0.367,0
"305",2,"Self","Friend","Matching","Friend","Friend","Close",367,0.367,0
"306",2,"Self","Friend","Matching","Friend","Friend","Close",712,0.712,0
"307",2,"Self","Friend","Matching","Friend","Friend","Close",626,0.626,0
"308",2,"Self","Friend","Matching","Friend","Friend","Close",376,0.376,0
"309",2,"Self","Friend","Matching","Friend","Friend","Close",219,0.219,0
"310",2,"Self","Friend","Matching","Friend","Friend","Close",394,0.394,0
"311",2,"Self","Friend","Matching","Friend","Friend","Close",480,0.48,0
"312",2,"Friend","Friend","Matching","Friend","Friend","Close",1063,1.063,0
"313",2,"Friend","Friend","Matching","Friend","Friend","Close",551,0.551,0
"314",2,"Friend","Friend","Matching","Friend","Friend","Close",557,0.557,0
"315",2,"Friend","Friend","Matching","Friend","Friend","Close",586,0.586,0
"316",2,"Friend","Friend","Matching","Friend","Friend","Close",572,0.572,0
"317",2,"Friend","Friend","Matching","Friend","Friend","Close",603,0.603,0
"318",2,"Friend","Friend","Matching","Friend","Friend","Close",432,0.432,0
"319",2,"Friend","Friend","Matching","Friend","Friend","Close",521,0.521,0
"320",2,"Friend","Friend","Matching","Friend","Friend","Close",684,0.684,0
"321",2,"Friend","Friend","Matching","Friend","Friend","Close",842,0.842,0
"322",2,"Self","Friend","Matching","Friend","Friend","Close",731,0.731,1
"323",2,"Self","Friend","Matching","Friend","Friend","Close",360,0.36,1
"324",2,"Self","Friend","Matching","Friend","Friend","Close",952,0.952,1
"325",2,"Self","Friend","Matching","Friend","Friend","Close",421,0.421,1
"326",2,"Self","Friend","Matching","Friend","Friend","Close",595,0.595,1
"327",2,"Self","Friend","Matching","Friend","Friend","Close",313,0.313,1
"328",2,"Self","Friend","Matching","Friend","Friend","Close",383,0.383,1
"329",2,"Self","Friend","Matching","Friend","Friend","Close",255,0.255,1
"330",2,"Self","Friend","Matching","Friend","Friend","Close",697,0.697,1
"331",2,"Self","Friend","Matching","Friend","Friend","Close",409,0.409,1
"332",2,"Self","Friend","Matching","Friend","Friend","Close",763,0.763,1
"333",2,"Self","Friend","Matching","Friend","Friend","Close",764,0.764,1
