age,handedness,participant_id,sex,block_order,shape,match,block,responseKey,respRt,respCorr
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.9633714,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.5158727,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,l,0.7645891,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,1.1010329,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.4246055,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.5263148,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.6056604,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.9451783,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.7088262,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.8691326,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,missed,1.5000643,missed
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.6815239,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.454171,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.6145396,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.5900973,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.6900216,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.5285922,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.7251165,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,1.1960862,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.5956347,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.5936122,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.6680237,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.6990006,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.6261459,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.6956655,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,a,0.7001587,0
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.7796359,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.4715677,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,1.1871603,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.7471519,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,a,0.5411404,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.8693412,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.6906485,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.4871006,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.7154004,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.7107205,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.7459529,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.6385805,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.5768668,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,1.1434219,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.5742155,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.5890009,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.7038579,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,1.024823,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.5329212,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.6616936,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.4592977,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.2480137,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.5185523,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.8423944,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.5911362,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.9706801,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.5726786,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.6217084,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.6121254,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.6024616,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,a,0.6903881,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.4490521,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,1.1147878,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.3978106,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.441825,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.7019435,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.5337958,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.8654024,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.5464629,0
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.5550514,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,1.103885,1
