"Subject","Gender","Age","Condition","RT_ms","RT_sec","ACC"
2,"female",27,"nm",851,0.851,1
2,"female",27,"nm",468,0.468,0
2,"female",27,"nm",747,0.747,1
2,"female",27,"nm",650,0.65,1
2,"female",27,"nm",868,0.868,1
2,"female",27,"nm",642,0.642,1
2,"female",27,"nn",453,0.453,0
2,"female",27,"nn",1457,1.457,0
2,"female",27,"nn",1010,1.01,1
2,"female",27,"nn",736,0.736,1
2,"female",27,"nn",1219,1.219,1
2,"female",27,"nn",648,0.648,1
2,"female",27,"nn",593,0.593,1
2,"female",27,"nn",629,0.629,1
2,"female",27,"nn",853,0.853,1
2,"female",27,"nn",626,0.626,1
2,"female",27,"nn",634,0.634,1
2,"female",27,"nn",770,0.77,1
2,"female",27,"nn",813,0.813,0
2,"female",27,"nn",739,0.739,1
2,"female",27,"nn",652,0.652,1
2,"female",27,"nn",660,0.66,1
2,"female",27,"nn",722,0.722,1
2,"female",27,"nn",724,0.724,1
3,"female",35,"bm",832,0.832,1
3,"female",35,"bm",623,0.623,1
3,"female",35,"bm",720,0.72,1
3,"female",35,"bm",966,0.966,1
3,"female",35,"bm",870,0.87,1
3,"female",35,"bm",746,0.746,0
3,"female",35,"bm",754,0.754,0
3,"female",35,"bm",749,0.749,1
3,"female",35,"bm",986,0.986,0
3,"female",35,"bm",873,0.873,1
3,"female",35,"bm",542,0.542,1
3,"female",35,"bm",648,0.648,1
3,"female",35,"bm",1064,1.064,1
3,"female",35,"bm",834,0.834,1
3,"female",35,"bm",728,0.728,1
3,"female",35,"bm",741,0.741,1
3,"female",35,"bm",779,0.779,1
3,"female",35,"bm",595,0.595,1
3,"female",35,"bn",1005,1.005,0
3,"female",35,"bn",843,0.843,1
3,"female",35,"bn",583,0.583,1
3,"female",35,"bn",791,0.791,1
3,"female",35,"bn",655,0.655,1
3,"female",35,"bn",645,0.645,1
3,"female",35,"bn",954,0.954,0
3,"female",35,"bn",1136,1.136,1
3,"female",35,"bn",0,0,0
3,"female",35,"bn",609,0.609,1
3,"female",35,"bn",730,0.73,1
3,"female",35,"bn",682,0.682,1
3,"female",35,"bn",840,0.84,0
