"Subject","Gender","Age","Handedness","Matching","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",572,0.572,1
1,"female",20,"right","Matching","Mutter","Mother","Close",592,0.592,1
1,"female",20,"right","Matching","none","none","NonPerson",483,0.483,1
1,"female",20,"right","Matching","Mutter","Mother","Close",489,0.489,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",528,0.528,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",494,0.494,1
1,"female",20,"right","Matching","none","none","NonPerson",462,0.462,1
1,"female",20,"right","Matching","Ich","Self","Self",615,0.615,1
1,"female",20,"right","Matching","none","none","NonPerson",512,0.512,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",463,0.463,1
1,"female",20,"right","Matching","Mutter","Mother","Close",495,0.495,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",599,0.599,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",393,0.393,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",661,0.661,1
1,"female",20,"right","Matching","Mutter","Mother","Close",525,0.525,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",491,0.491,1
1,"female",20,"right","Matching","Ich","Self","Self",626,0.626,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",651,0.651,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",435,0.435,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",421,0.421,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",575,0.575,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",466,0.466,0
1,"female",20,"right","Matching","Mutter","Mother","Close",578,0.578,1
1,"female",20,"right","Matching","Ich","Self","Self",661,0.661,1
1,"female",20,"right","Matching","Mutter","Mother","Close",477,0.477,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",493,0.493,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",461,0.461,1
1,"female",20,"right","Matching","none","none","NonPerson",502,0.502,1
1,"female",20,"right","Matching","none","none","NonPerson",492,0.492,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",396,0.396,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",568,0.568,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",515,0.515,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",473,0.473,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",433,0.433,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",539,0.539,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",496,0.496,1
1,"female",20,"right","Matching","Ich","Self","Self",655,0.655,1
1,"female",20,"right","Matching","none","none","NonPerson",455,0.455,1
1,"female",20,"right","Matching","Mutter","Mother","Close",392,0.392,1
1,"female",20,"right","Matching","none","none","NonPerson",380,0.38,1
1,"female",20,"right","Matching","Ich","Self","Self",456,0.456,0
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",497,0.497,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",400,0.4,0
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",500,0.5,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",418,0.418,1
1,"female",20,"right","Matching","Mutter","Mother","Close",429,0.429,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",574,0.574,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",458,0.458,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",395,0.395,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",351,0.351,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",484,0.484,1
1,"female",20,"right","Matching","Ich","Self","Self",596,0.596,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",542,0.542,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",603,0.603,1
1,"female",20,"right","Matching","Mutter","Mother","Close",550,0.55,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",442,0.442,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",444,0.444,0
1,"female",20,"right","Nonmatching","Ich","Self","Self",525,0.525,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",483,0.483,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",499,0.499,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",449,0.449,1
1,"female",20,"right","Matching","Ich","Self","Self",418,0.418,0
1,"female",20,"right","Matching","Ich","Self","Self",413,0.413,0
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",472,0.472,1
1,"female",20,"right","Matching","none","none","NonPerson",408,0.408,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",498,0.498,1
1,"female",20,"right","Matching","none","none","NonPerson",385,0.385,1
1,"female",20,"right","Matching","Mutter","Mother","Close",501,0.501,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",364,0.364,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",504,0.504,0
1,"female",20,"right","Matching","none","none","NonPerson",495,0.495,1
1,"female",20,"right","Matching","Mutter","Mother","Close",494,0.494,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",486,0.486,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",461,0.461,1
1,"female",20,"right","Matching","Mutter","Mother","Close",366,0.366,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",483,0.483,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",514,0.514,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",416,0.416,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",515,0.515,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",497,0.497,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",416,0.416,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",458,0.458,1
1,"female",20,"right","Matching","none","none","NonPerson",403,0.403,1
1,"female",20,"right","Matching","Ich","Self","Self",391,0.391,1
1,"female",20,"right","Matching","Ich","Self","Self",410,0.41,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",2434,2.434,1
2,"female",21,"left","Matching","Mutter","Mother","Close",1545,1.545,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",784,0.784,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",440,0.44,1
2,"female",21,"left","Matching","none","none","NonPerson",394,0.394,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",373,0.373,0
2,"female",21,"left","Nonmatching","none","none","NonPerson",426,0.426,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",501,0.501,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",435,0.435,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",341,0.341,1
2,"female",21,"left","Matching","Mutter","Mother","Close",459,0.459,0
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",524,0.524,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",378,0.378,1
2,"female",21,"left","Matching","Ich","Self","Self",455,0.455,0
2,"female",21,"left","Matching","Ich","Self","Self",368,0.368,1
2,"female",21,"left","Matching","none","none","NonPerson",484,0.484,1
2,"female",21,"left","Matching","Mutter","Mother","Close",715,0.715,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",536,0.536,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",653,0.653,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",389,0.389,1
2,"female",21,"left","Matching","Ich","Self","Self",497,0.497,1
2,"female",21,"left","Matching","none","none","NonPerson",544,0.544,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",413,0.413,1
2,"female",21,"left","Matching","Ich","Self","Self",352,0.352,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",446,0.446,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",543,0.543,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",412,0.412,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",439,0.439,1
2,"female",21,"left","Matching","none","none","NonPerson",513,0.513,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",503,0.503,1
2,"female",21,"left","Matching","Mutter","Mother","Close",789,0.789,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",406,0.406,1
2,"female",21,"left","Matching","none","none","NonPerson",337,0.337,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",360,0.36,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",517,0.517,1
2,"female",21,"left","Matching","Ich","Self","Self",507,0.507,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",618,0.618,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",499,0.499,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",474,0.474,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",434,0.434,1
2,"female",21,"left","Matching","Ich","Self","Self",516,0.516,1
2,"female",21,"left","Matching","none","none","NonPerson",417,0.417,1
2,"female",21,"left","Matching","Mutter","Mother","Close",324,0.324,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",579,0.579,1
2,"female",21,"left","Matching","Mutter","Mother","Close",607,0.607,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",409,0.409,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",724,0.724,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",744,0.744,1
2,"female",21,"left","Matching","Ich","Self","Self",421,0.421,1
2,"female",21,"left","Matching","Ich","Self","Self",400,0.4,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",523,0.523,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",568,0.568,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",620,0.62,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",509,0.509,1
2,"female",21,"left","Matching","none","none","NonPerson",435,0.435,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",429,0.429,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",399,0.399,1
2,"female",21,"left","Matching","none","none","NonPerson",450,0.45,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",451,0.451,1
2,"female",21,"left","Matching","Mutter","Mother","Close",396,0.396,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",551,0.551,1
2,"female",21,"left","Matching","Mutter","Mother","Close",476,0.476,0
2,"female",21,"left","Nonmatching","Ich","Self","Self",372,0.372,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",441,0.441,1
2,"female",21,"left","Matching","Mutter","Mother","Close",506,0.506,1
2,"female",21,"left","Matching","Ich","Self","Self",425,0.425,0
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",443,0.443,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",357,0.357,1
2,"female",21,"left","Matching","none","none","NonPerson",411,0.411,0
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",397,0.397,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",392,0.392,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",508,0.508,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",371,0.371,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",616,0.616,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",441,0.441,1
2,"female",21,"left","Matching","Ich","Self","Self",427,0.427,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",389,0.389,0
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",441,0.441,1
2,"female",21,"left","Matching","Mutter","Mother","Close",467,0.467,1
2,"female",21,"left","Matching","none","none","NonPerson",403,0.403,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",510,0.51,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",413,0.413,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",600,0.6,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",482,0.482,1
2,"female",21,"left","Matching","Mutter","Mother","Close",354,0.354,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",566,0.566,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",450,0.45,1
2,"female",21,"left","Matching","none","none","NonPerson",515,0.515,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",545,0.545,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",486,0.486,1
2,"female",21,"left","Matching","none","none","NonPerson",533,0.533,1
2,"female",21,"left","Matching","Mutter","Mother","Close",618,0.618,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",443,0.443,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",445,0.445,1
2,"female",21,"left","Matching","Ich","Self","Self",471,0.471,1
2,"female",21,"left","Matching","Ich","Self","Self",431,0.431,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",564,0.564,1
2,"female",21,"left","Matching","none","none","NonPerson",408,0.408,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",348,0.348,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",409,0.409,0
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",428,0.428,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",591,0.591,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",370,0.37,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",486,0.486,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",558,0.558,1
2,"female",21,"left","Matching","Ich","Self","Self",482,0.482,1
2,"female",21,"left","Matching","Mutter","Mother","Close",666,0.666,1
2,"female",21,"left","Matching","none","none","NonPerson",416,0.416,1
2,"female",21,"left","Matching","Mutter","Mother","Close",611,0.611,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",469,0.469,1
2,"female",21,"left","Matching","Ich","Self","Self",356,0.356,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",322,0.322,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",353,0.353,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",526,0.526,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",332,0.332,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",387,0.387,1
2,"female",21,"left","Matching","none","none","NonPerson",543,0.543,1
2,"female",21,"left","Matching","none","none","NonPerson",460,0.46,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",469,0.469,0
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",485,0.485,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",404,0.404,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",576,0.576,1
2,"female",21,"left","Matching","Mutter","Mother","Close",539,0.539,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",696,0.696,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",358,0.358,1
2,"female",21,"left","Matching","Ich","Self","Self",476,0.476,1
2,"female",21,"left","Matching","Mutter","Mother","Close",564,0.564,1
2,"female",21,"left","Matching","Ich","Self","Self",464,0.464,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",424,0.424,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",482,0.482,1
2,"female",21,"left","Matching","none","none","NonPerson",474,0.474,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",410,0.41,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",349,0.349,0
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",579,0.579,1
2,"female",21,"left","Matching","Ich","Self","Self",438,0.438,1
2,"female",21,"left","Matching","none","none","NonPerson",432,0.432,1
2,"female",21,"left","Nonmatching","Ich","Self","Self",426,0.426,1
2,"female",21,"left","Matching","Mutter","Mother","Close",660,0.66,1
2,"female",21,"left","Matching","Bekannter","Acquaintance","Acquaintance",500,0.5,1
2,"female",21,"left","Nonmatching","none","none","NonPerson",482,0.482,1
2,"female",21,"left","Nonmatching","Mutter","Mother","Close",554,0.554,1
2,"female",21,"left","Matching","Mutter","Mother","Close",542,0.542,1
2,"female",21,"left","Matching","Ich","Self","Self",491,0.491,1
2,"female",21,"left","Nonmatching","Bekannter","Acquaintance","Acquaintance",475,0.475,1
3,"male",20,"right","Nonmatching","none","none","NonPerson",4407,4.407,1
3,"male",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",899,0.899,1
3,"male",20,"right","Matching","Mutter","Mother","Close",791,0.791,1
3,"male",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",632,0.632,1
3,"male",20,"right","Nonmatching","none","none","NonPerson",1289,1.289,1
3,"male",20,"right","Nonmatching","Ich","Self","Self",531,0.531,1
3,"male",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",633,0.633,1
3,"male",20,"right","Matching","Mutter","Mother","Close",929,0.929,1
3,"male",20,"right","Nonmatching","Ich","Self","Self",629,0.629,1
3,"male",20,"right","Matching","Ich","Self","Self",718,0.718,1
3,"male",20,"right","Nonmatching","Mutter","Mother","Close",562,0.562,1
3,"male",20,"right","Nonmatching","Mutter","Mother","Close",1038,1.038,1
3,"male",20,"right","Matching","none","none","NonPerson",1324,1.324,1
3,"male",20,"right","Matching","none","none","NonPerson",1253,1.253,1
3,"male",20,"right","Matching","Ich","Self","Self",665,0.665,1
3,"male",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",720,0.72,1
3,"male",20,"right","Matching","none","none","NonPerson",837,0.837,1
3,"male",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",732,0.732,1
3,"male",20,"right","Nonmatching","none","none","NonPerson",488,0.488,1
3,"male",20,"right","Matching","Mutter","Mother","Close",575,0.575,1
3,"male",20,"right","Nonmatching","Mutter","Mother","Close",475,0.475,1
3,"male",20,"right","Nonmatching","Ich","Self","Self",402,0.402,1
3,"male",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",493,0.493,1
3,"male",20,"right","Matching","Mutter","Mother","Close",493,0.493,1
3,"male",20,"right","Nonmatching","none","none","NonPerson",428,0.428,1
3,"male",20,"right","Matching","Ich","Self","Self",647,0.647,1
3,"male",20,"right","Nonmatching","Mutter","Mother","Close",575,0.575,1
3,"male",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",395,0.395,1
3,"male",20,"right","Matching","none","none","NonPerson",407,0.407,1
3,"male",20,"right","Nonmatching","Ich","Self","Self",530,0.53,1
3,"male",20,"right","Matching","Ich","Self","Self",544,0.544,1
3,"male",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",557,0.557,1
3,"male",20,"right","Matching","Mutter","Mother","Close",434,0.434,1
3,"male",20,"right","Matching","none","none","NonPerson",667,0.667,1
3,"male",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",529,0.529,1
3,"male",20,"right","Nonmatching","Ich","Self","Self",503,0.503,1
3,"male",20,"right","Matching","Ich","Self","Self",398,0.398,0
3,"male",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",673,0.673,1
3,"male",20,"right","Matching","none","none","NonPerson",712,0.712,1
3,"male",20,"right","Nonmatching","none","none","NonPerson",446,0.446,1
3,"male",20,"right","Matching","Ich","Self","Self",591,0.591,1
3,"male",20,"right","Nonmatching","Ich","Self","Self",946,0.946,1
3,"male",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",517,0.517,1
3,"male",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",443,0.443,1
3,"male",20,"right","Nonmatching","Mutter","Mother","Close",412,0.412,1
3,"male",20,"right","Matching","Mutter","Mother","Close",415,0.415,1
3,"male",20,"right","Nonmatching","none","none","NonPerson",673,0.673,1
3,"male",20,"right","Nonmatching","Mutter","Mother","Close",448,0.448,1
3,"male",20,"right","Nonmatching","none","none","NonPerson",949,0.949,1
3,"male",20,"right","Matching","Ich","Self","Self",640,0.64,1
3,"male",20,"right","Nonmatching","Mutter","Mother","Close",648,0.648,1
3,"male",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",768,0.768,1
3,"male",20,"right","Matching","none","none","NonPerson",418,0.418,1
3,"male",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",413,0.413,1
3,"male",20,"right","Nonmatching","none","none","NonPerson",624,0.624,1
3,"male",20,"right","Matching","none","none","NonPerson",370,0.37,1
3,"male",20,"right","Nonmatching","Mutter","Mother","Close",485,0.485,1
3,"male",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",413,0.413,1
3,"male",20,"right","Nonmatching","Ich","Self","Self",496,0.496,1
3,"male",20,"right","Nonmatching","Ich","Self","Self",520,0.52,1
3,"male",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",477,0.477,1
3,"male",20,"right","Matching","Mutter","Mother","Close",398,0.398,1
3,"male",20,"right","Matching","Ich","Self","Self",417,0.417,0
3,"male",20,"right","Matching","Mutter","Mother","Close",595,0.595,1
3,"male",20,"right","Matching","none","none","NonPerson",526,0.526,1
3,"male",20,"right","Matching","Mutter","Mother","Close",388,0.388,1
3,"male",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",368,0.368,1
3,"male",20,"right","Nonmatching","Ich","Self","Self",509,0.509,1
3,"male",20,"right","Nonmatching","Mutter","Mother","Close",539,0.539,1
3,"male",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",488,0.488,1
3,"male",20,"right","Matching","Ich","Self","Self",431,0.431,0
3,"male",20,"right","Matching","Mutter","Mother","Close",433,0.433,1
3,"male",20,"right","Nonmatching","none","none","NonPerson",515,0.515,1
3,"male",20,"right","Matching","none","none","NonPerson",481,0.481,1
3,"male",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",600,0.6,1
3,"male",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",458,0.458,1
3,"male",20,"right","Nonmatching","Ich","Self","Self",499,0.499,1
3,"male",20,"right","Nonmatching","Mutter","Mother","Close",594,0.594,1
3,"male",20,"right","Nonmatching","none","none","NonPerson",893,0.893,1
3,"male",20,"right","Matching","Ich","Self","Self",514,0.514,1
3,"male",20,"right","Matching","Ich","Self","Self",591,0.591,1
3,"male",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",514,0.514,1
3,"male",20,"right","Matching","Ich","Self","Self",536,0.536,1
3,"male",20,"right","Nonmatching","none","none","NonPerson",437,0.437,1
3,"male",20,"right","Nonmatching","Ich","Self","Self",495,0.495,1
3,"male",20,"right","Matching","none","none","NonPerson",526,0.526,1
3,"male",20,"right","Matching","Mutter","Mother","Close",476,0.476,1
3,"male",20,"right","Nonmatching","Ich","Self","Self",356,0.356,1
3,"male",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",506,0.506,1
3,"male",20,"right","Matching","Mutter","Mother","Close",489,0.489,1
3,"male",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",600,0.6,1
