"","Subject","Shape","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Group","RT_ms","RT_sec","ACC"
"15163",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15164",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15165",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15166",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15167",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15168",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15169",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15170",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15171",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15172",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15173",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15174",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15175",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15176",44,"Friend","Nonmatching","Friend","Friend","Close","1",NA,NA,NA
"15177",44,"Friend","Nonmatching","Friend","Friend","Close","1",0,0,0
"15178",44,"Friend","Nonmatching","Friend","Friend","Close","1",797,0.797,1
"15179",44,"Friend","Nonmatching","Friend","Friend","Close","1",809,0.809,1
"15180",44,"Friend","Nonmatching","Friend","Friend","Close","1",603,0.603,0
"15181",44,"Friend","Nonmatching","Friend","Friend","Close","1",517,0.517,0
"15182",44,"Friend","Nonmatching","Friend","Friend","Close","1",672,0.672,0
"15183",44,"Friend","Nonmatching","Friend","Friend","Close","1",717,0.717,0
"15184",44,"Friend","Nonmatching","Friend","Friend","Close","1",657,0.657,1
"15185",44,"Friend","Nonmatching","Friend","Friend","Close","1",0,0,0
"15186",44,"Friend","Nonmatching","Friend","Friend","Close","1",642,0.642,0
"15187",44,"Friend","Nonmatching","Friend","Friend","Close","1",628,0.628,0
"15188",44,"Friend","Nonmatching","Friend","Friend","Close","1",544,0.544,1
"15189",44,"Friend","Nonmatching","Friend","Friend","Close","1",898,0.898,0
"15190",44,"Friend","Nonmatching","Friend","Friend","Close","1",0,0,0
"15191",44,"Friend","Nonmatching","Friend","Friend","Close","1",587,0.587,0
"15192",44,"Friend","Nonmatching","Friend","Friend","Close","1",498,0.498,0
"15193",44,"Friend","Nonmatching","Friend","Friend","Close","1",601,0.601,1
"15194",44,"Friend","Nonmatching","Friend","Friend","Close","1",411,0.411,1
"15195",44,"Friend","Nonmatching","Friend","Friend","Close","1",0,0,0
"15196",44,"Friend","Nonmatching","Friend","Friend","Close","1",699,0.699,0
"15197",44,"Friend","Nonmatching","Friend","Friend","Close","1",652,0.652,1
"15198",44,"Friend","Nonmatching","Friend","Friend","Close","1",476,0.476,1
"15199",44,"Friend","Nonmatching","Friend","Friend","Close","1",729,0.729,1
"15200",44,"Friend","Nonmatching","Friend","Friend","Close","1",776,0.776,1
"15201",44,"Friend","Nonmatching","Friend","Friend","Close","1",326,0.326,0
"15202",44,"Friend","Nonmatching","Friend","Friend","Close","1",365,0.365,1
"15203",44,"Friend","Nonmatching","Friend","Friend","Close","1",338,0.338,1
"15204",44,"Friend","Nonmatching","Friend","Friend","Close","1",114,0.114,1
"15205",44,"Friend","Nonmatching","Friend","Friend","Close","1",495,0.495,1
"15206",44,"Friend","Nonmatching","Friend","Friend","Close","1",510,0.51,0
"15207",44,"Friend","Nonmatching","Friend","Friend","Close","1",445,0.445,0
"15208",44,"Friend","Nonmatching","Friend","Friend","Close","1",881,0.881,1
"15209",44,"Friend","Nonmatching","Friend","Friend","Close","1",754,0.754,1
"15210",44,"Friend","Nonmatching","Friend","Friend","Close","1",560,0.56,1
"15211",44,"Friend","Nonmatching","Friend","Friend","Close","1",400,0.4,0
"15212",44,"Friend","Nonmatching","Friend","Friend","Close","1",503,0.503,1
"15213",44,"Friend","Nonmatching","Friend","Friend","Close","1",573,0.573,1
"15214",44,"Friend","Nonmatching","Friend","Friend","Close","1",604,0.604,1
"15215",44,"Friend","Nonmatching","Friend","Friend","Close","1",636,0.636,1
"15216",44,"Friend","Nonmatching","Friend","Friend","Close","1",555,0.555,0
"15217",44,"Friend","Nonmatching","Friend","Friend","Close","1",719,0.719,1
"15218",44,"Friend","Nonmatching","Friend","Friend","Close","1",485,0.485,1
"15219",44,"Friend","Nonmatching","Friend","Friend","Close","1",549,0.549,1
"15220",44,"Friend","Nonmatching","Friend","Friend","Close","1",381,0.381,1
"15221",44,"Friend","Nonmatching","Friend","Friend","Close","1",762,0.762,1
"15222",44,"Friend","Nonmatching","Friend","Friend","Close","1",0,0,0
"15223",44,"Friend","Nonmatching","Friend","Friend","Close","1",384,0.384,0
"15224",44,"Friend","Nonmatching","Friend","Friend","Close","1",316,0.316,1
"15225",44,"Friend","Nonmatching","Friend","Friend","Close","1",544,0.544,0
"15226",44,"Friend","Nonmatching","Friend","Friend","Close","1",535,0.535,1
"15227",44,"Friend","Nonmatching","Friend","Friend","Close","1",822,0.822,1
"15228",44,"Friend","Nonmatching","Friend","Friend","Close","1",512,0.512,0
"15229",44,"Friend","Nonmatching","Friend","Friend","Close","1",237,0.237,1
"15230",44,"Friend","Nonmatching","Friend","Friend","Close","1",338,0.338,0
"15231",44,"Friend","Nonmatching","Friend","Friend","Close","1",446,0.446,0
"15232",44,"Friend","Nonmatching","Friend","Friend","Close","1",418,0.418,0
"15233",44,"Friend","Nonmatching","Friend","Friend","Close","1",402,0.402,1
"15234",44,"Friend","Nonmatching","Friend","Friend","Close","1",499,0.499,0
"15235",44,"Friend","Nonmatching","Friend","Friend","Close","1",604,0.604,0
"15236",44,"Friend","Nonmatching","Friend","Friend","Close","1",754,0.754,0
"15237",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15238",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15239",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15240",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15241",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15242",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15243",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15244",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15245",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15246",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15247",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15248",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15249",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15250",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15251",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15252",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15253",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15254",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15255",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15256",44,"Self","Nonmatching","Self","Self","Self","1",NA,NA,NA
"15257",44,"Self","Nonmatching","Self","Self","Self","1",613,0.613,1
"15258",44,"Self","Nonmatching","Self","Self","Self","1",476,0.476,1
"15259",44,"Self","Nonmatching","Self","Self","Self","1",704,0.704,1
"15260",44,"Self","Nonmatching","Self","Self","Self","1",550,0.55,1
"15261",44,"Self","Nonmatching","Self","Self","Self","1",622,0.622,1
"15262",44,"Self","Nonmatching","Self","Self","Self","1",812,0.812,1
"15263",44,"Self","Nonmatching","Self","Self","Self","1",528,0.528,0
"15264",44,"Self","Nonmatching","Self","Self","Self","1",605,0.605,1
"15265",44,"Self","Nonmatching","Self","Self","Self","1",677,0.677,0
"15266",44,"Self","Nonmatching","Self","Self","Self","1",541,0.541,1
"15267",44,"Self","Nonmatching","Self","Self","Self","1",547,0.547,1
"15268",44,"Self","Nonmatching","Self","Self","Self","1",566,0.566,1
"15269",44,"Self","Nonmatching","Self","Self","Self","1",1031,1.031,0
"15270",44,"Self","Nonmatching","Self","Self","Self","1",441,0.441,1
"15271",44,"Self","Nonmatching","Self","Self","Self","1",676,0.676,1
"15272",44,"Self","Nonmatching","Self","Self","Self","1",608,0.608,1
"15273",44,"Self","Nonmatching","Self","Self","Self","1",575,0.575,1
"15274",44,"Self","Nonmatching","Self","Self","Self","1",415,0.415,0
"15275",44,"Self","Nonmatching","Self","Self","Self","1",726,0.726,1
"15276",44,"Self","Nonmatching","Self","Self","Self","1",790,0.79,1
"15277",44,"Self","Nonmatching","Self","Self","Self","1",570,0.57,1
"15278",44,"Self","Nonmatching","Self","Self","Self","1",294,0.294,1
"15279",44,"Self","Nonmatching","Self","Self","Self","1",614,0.614,1
"15280",44,"Self","Nonmatching","Self","Self","Self","1",411,0.411,1
"15281",44,"Self","Nonmatching","Self","Self","Self","1",400,0.4,1
"15282",44,"Self","Nonmatching","Self","Self","Self","1",541,0.541,1
"15283",44,"Self","Nonmatching","Self","Self","Self","1",450,0.45,0
"15284",44,"Self","Nonmatching","Self","Self","Self","1",390,0.39,1
"15285",44,"Self","Nonmatching","Self","Self","Self","1",485,0.485,1
"15286",44,"Self","Nonmatching","Self","Self","Self","1",493,0.493,0
"15287",44,"Self","Nonmatching","Self","Self","Self","1",689,0.689,1
"15288",44,"Self","Nonmatching","Self","Self","Self","1",504,0.504,1
"15289",44,"Self","Nonmatching","Self","Self","Self","1",700,0.7,1
"15290",44,"Self","Nonmatching","Self","Self","Self","1",292,0.292,1
"15291",44,"Self","Nonmatching","Self","Self","Self","1",365,0.365,1
"15292",44,"Self","Nonmatching","Self","Self","Self","1",395,0.395,0
"15293",44,"Self","Nonmatching","Self","Self","Self","1",176,0.176,0
"15294",44,"Self","Nonmatching","Self","Self","Self","1",273,0.273,1
"15295",44,"Self","Nonmatching","Self","Self","Self","1",537,0.537,1
"15296",44,"Self","Nonmatching","Self","Self","Self","1",422,0.422,1
"15297",44,"Self","Nonmatching","Self","Self","Self","1",383,0.383,1
"15298",44,"Self","Nonmatching","Self","Self","Self","1",402,0.402,1
"15299",44,"Self","Nonmatching","Self","Self","Self","1",677,0.677,1
"15300",44,"Self","Nonmatching","Self","Self","Self","1",662,0.662,1
"15301",44,"Self","Nonmatching","Self","Self","Self","1",693,0.693,0
"15302",44,"Self","Nonmatching","Self","Self","Self","1",569,0.569,1
"15303",44,"Self","Nonmatching","Self","Self","Self","1",517,0.517,1
"15304",44,"Self","Nonmatching","Self","Self","Self","1",365,0.365,1
"15305",44,"Self","Nonmatching","Self","Self","Self","1",472,0.472,1
"15306",44,"Self","Nonmatching","Self","Self","Self","1",292,0.292,0
"15307",44,"Self","Nonmatching","Self","Self","Self","1",468,0.468,1
"15308",44,"Self","Nonmatching","Self","Self","Self","1",220,0.22,0
"15309",44,"Self","Nonmatching","Self","Self","Self","1",153,0.153,1
"15310",44,"Self","Nonmatching","Self","Self","Self","1",410,0.41,0
"15311",44,"Self","Nonmatching","Self","Self","Self","1",487,0.487,1
"15312",44,"Self","Nonmatching","Self","Self","Self","1",546,0.546,1
"15313",44,"Self","Nonmatching","Self","Self","Self","1",488,0.488,0
"15314",44,"Self","Nonmatching","Self","Self","Self","1",492,0.492,1
"15315",44,"Self","Nonmatching","Self","Self","Self","1",917,0.917,0
"15316",44,"Self","Nonmatching","Self","Self","Self","1",405,0.405,1
"15317",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15318",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15319",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15320",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15321",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15322",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15323",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15324",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15325",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15326",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15327",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15328",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15329",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15330",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15331",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15332",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15333",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15334",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15335",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15336",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",NA,NA,NA
"15337",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",733,0.733,1
"15338",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",650,0.65,1
"15339",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",649,0.649,1
"15340",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",621,0.621,1
"15341",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",766,0.766,1
"15342",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",456,0.456,1
"15343",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",573,0.573,1
"15344",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",629,0.629,1
"15345",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",0,0,0
"15346",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",555,0.555,1
"15347",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",634,0.634,1
"15348",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",690,0.69,1
"15349",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",568,0.568,1
"15350",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",390,0.39,0
"15351",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",425,0.425,0
"15352",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",613,0.613,0
"15353",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",541,0.541,1
"15354",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",513,0.513,0
"15355",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",480,0.48,1
"15356",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",585,0.585,1
"15357",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",519,0.519,1
"15358",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",454,0.454,1
"15359",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",672,0.672,1
"15360",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",467,0.467,0
"15361",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",524,0.524,1
"15362",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",543,0.543,1
"15363",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",319,0.319,0
"15364",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",192,0.192,0
"15365",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",506,0.506,1
"15366",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",396,0.396,0
"15367",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",449,0.449,0
"15368",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",371,0.371,0
"15369",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",296,0.296,0
"15370",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",374,0.374,1
"15371",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",412,0.412,1
"15372",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",538,0.538,1
"15373",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",504,0.504,1
"15374",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",516,0.516,1
"15375",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",461,0.461,1
"15376",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",355,0.355,0
"15377",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",476,0.476,1
"15378",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",804,0.804,0
"15379",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",562,0.562,1
"15380",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",874,0.874,1
"15381",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",519,0.519,1
"15382",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",410,0.41,1
"15383",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",448,0.448,1
"15384",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",557,0.557,1
"15385",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",530,0.53,1
"15386",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",479,0.479,0
"15387",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",476,0.476,0
"15388",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",616,0.616,0
"15389",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",443,0.443,1
"15390",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",538,0.538,1
"15391",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",742,0.742,0
"15392",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",607,0.607,1
"15393",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",594,0.594,1
"15394",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",444,0.444,1
"15395",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",336,0.336,1
