"","Subject","Age","Gender","Ethnicity","Handedness","Group","Shape","Label","Matching","Identity","Response","RT_ms","RT_sec","ACC"
"112",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",608,0.608,1
"113",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","47",519,0.519,1
"114",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",773,0.773,1
"115",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",671,0.671,1
"116",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",898,0.898,1
"117",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",890,0.89,1
"118",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",954,0.954,1
"119",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",718,0.718,1
"120",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",547,0.547,1
"121",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","47",544,0.544,1
"122",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","47",473,0.473,1
"123",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",661,0.661,1
"124",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","47",623,0.623,1
"125",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","47",523,0.523,1
"126",18080,22,"Female",6,"Right",2,"line","friend","Matching","friend","47",1057,1.057,1
"127",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","47",843,0.843,1
"128",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","47",466,0.466,1
"129",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",547,0.547,1
"130",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","47",511,0.511,1
"131",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",484,0.484,1
"132",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","47",465,0.465,1
"133",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",378,0.378,1
"134",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",579,0.579,1
"135",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",481,0.481,1
"136",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","48",622,0.622,0
"137",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",646,0.646,1
"138",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","47",477,0.477,1
"139",18080,22,"Female",6,"Right",2,"line","friend","Matching","friend","47",1013,1.013,1
"140",18080,22,"Female",6,"Right",2,"line","friend","Matching","friend","47",623,0.623,1
"141",18080,22,"Female",6,"Right",2,"line","friend","Matching","friend","47",623,0.623,1
"142",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",551,0.551,1
"143",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",905,0.905,1
"144",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",571,0.571,1
"145",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",699,0.699,1
"146",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",638,0.638,1
"147",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",545,0.545,1
"148",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",403,0.403,1
"149",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",523,0.523,1
"150",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","47",699,0.699,1
"151",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","47",714,0.714,1
"152",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",670,0.67,1
"153",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",1035,1.035,1
"154",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","47",606,0.606,1
"155",18080,22,"Female",6,"Right",2,"line","friend","Matching","friend","47",622,0.622,1
"156",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","47",741,0.741,1
"157",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",596,0.596,1
"158",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",514,0.514,1
"159",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","47",570,0.57,1
"160",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","48",825,0.825,0
"161",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",925,0.925,1
"162",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",785,0.785,1
