"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
3001,1,"test",104,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,551
3001,1,"test",105,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,478
3001,1,"test",106,"m",8,"shape2.jpg",1,1,"You","Julia","none","Julia",2,1,447
3001,1,"test",107,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,417
3001,1,"test",108,"z",4,"shape1.jpg",1,1,"You","Julia","none","Julia",2,0,315
3001,1,"test",109,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,365
3001,1,"test",110,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,947
3001,1,"test",111,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,792
3001,1,"test",112,"m",5,"shape2.jpg",1,1,"You","Julia","none","Julia",2,1,699
3001,1,"test",113,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,475
3001,1,"test",114,"z",6,"shape3.jpg",1,1,"You","Julia","none","Julia",2,0,571
3001,1,"test",115,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,824
3001,1,"test",116,"z",4,"shape1.jpg",1,1,"You","Julia","none","Julia",2,0,762
3001,1,"test",117,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,967
3001,1,"test",118,"m",5,"shape2.jpg",1,1,"You","Julia","none","Julia",2,1,787
3001,1,"test",119,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,600
3001,1,"test",120,"z",4,"shape1.jpg",1,1,"You","Julia","none","Julia",2,0,475
3001,1,"test",121,"x",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,1500
3001,1,"test",122,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,839
3001,1,"test",123,"m",5,"shape2.jpg",1,1,"You","Julia","none","Julia",2,1,752
3001,1,"test",124,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,806
