subj_idx,person,match,stim,accuracy,response,rt
12,Friend,match,1,0,0,0.708
12,Stranger,mismatch,0,1,0,0.569
12,Self,mismatch,0,1,0,0.678
12,Stranger,mismatch,0,1,0,0.793
12,Self,match,1,1,1,0.545
12,Stranger,match,1,1,1,0.879
12,Self,mismatch,0,1,0,0.851
12,Self,mismatch,0,1,0,0.615
12,Friend,match,1,1,1,0.543
12,Friend,mismatch,0,1,0,0.694
12,Stranger,match,1,0,0,0.65
12,Friend,match,1,1,1,0.949
12,Self,mismatch,0,1,0,0.735
12,Friend,mismatch,0,1,0,0.875
12,Self,match,1,1,1,0.503
12,Stranger,mismatch,0,1,0,0.814
12,Stranger,match,1,1,1,0.681
12,Stranger,mismatch,0,1,0,0.765
12,Self,match,1,1,1,0.613
12,Stranger,mismatch,0,1,0,0.89
12,Friend,mismatch,0,1,0,0.806
12,Self,mismatch,0,1,0,0.968
12,Stranger,mismatch,0,1,0,0.654
12,Friend,mismatch,0,0,1,0.681
12,Self,mismatch,0,1,0,0.582
12,Self,match,1,1,1,0.756
12,Stranger,match,1,1,1,0.857
12,Stranger,match,1,1,1,0.473
12,Self,match,1,1,1,0.562
12,Friend,match,1,0,0,0.604
12,Self,match,1,1,1,0.612
12,Stranger,mismatch,0,1,0,0.888
12,Stranger,match,1,1,1,0.677
12,Self,mismatch,0,1,0,0.928
12,Self,match,1,1,1,0.568
12,Friend,mismatch,0,1,0,0.742
12,Friend,match,1,1,1,0.771
12,Stranger,match,1,1,1,0.6
12,Friend,match,1,1,1,0.7
12,Friend,mismatch,0,1,0,0.542
12,Stranger,mismatch,0,1,0,0.781
12,Stranger,match,1,1,1,0.622
12,Stranger,match,1,1,1,0.66
12,Self,mismatch,0,1,0,0.54
12,Friend,match,1,1,1,0.543
12,Friend,match,1,1,1,0.657
12,Self,match,1,1,1,0.596
12,Stranger,mismatch,0,1,0,0.649
12,Stranger,mismatch,0,1,0,0.591
12,Friend,mismatch,0,0,1,0.393
12,Friend,mismatch,0,1,0,0.877
12,Self,mismatch,0,1,0,0.961
12,Self,match,1,1,1,0.57
12,Self,mismatch,0,1,0,0.568
12,Self,match,1,1,1,0.598
12,Self,mismatch,0,1,0,0.578
12,Stranger,mismatch,0,1,0,0.637
12,Stranger,match,1,1,1,0.488
12,Stranger,mismatch,0,1,0,0.562
12,Friend,match,1,1,1,0.499
12,Friend,mismatch,0,0,1,1.039
12,Self,match,1,1,1,0.525
12,Friend,match,1,1,1,0.746
12,Stranger,match,1,1,1,0.674
12,Self,match,1,1,1,0.511
12,Friend,mismatch,0,1,0,0.579
12,Stranger,match,1,1,1,0.574
12,Friend,mismatch,0,1,0,0.667
12,Self,mismatch,0,1,0,0.564
12,Stranger,mismatch,0,1,0,0.796
12,Self,mismatch,0,1,0,0.607
12,Stranger,match,1,1,1,0.571
12,Stranger,mismatch,0,1,0,0.983
12,Friend,match,1,1,1,0.601
12,Self,match,1,1,1,0.512
12,Friend,match,1,1,1,0.457
12,Self,match,1,0,0,0.482
12,Stranger,mismatch,0,1,0,0.634
12,Stranger,match,1,1,1,0.429
12,Friend,mismatch,0,1,0,0.73
12,Stranger,mismatch,0,1,0,0.569
12,Self,mismatch,0,1,0,0.563
12,Friend,match,1,1,1,0.793
12,Stranger,match,1,1,1,0.861
12,Friend,mismatch,0,0,1,0.536
12,Self,mismatch,0,1,0,0.817
12,Self,match,1,1,1,0.647
12,Friend,match,1,1,1,0.633
12,Stranger,mismatch,0,1,0,0.789
12,Self,mismatch,0,1,0,1.052
12,Stranger,mismatch,0,1,0,0.709
12,Self,mismatch,0,1,0,0.53
12,Stranger,match,1,1,1,0.589
12,Stranger,match,1,1,1,0.595
12,Friend,match,1,1,1,0.466
12,Friend,mismatch,0,1,0,0.593
12,Self,match,1,1,1,0.523
12,Friend,match,1,1,1,0.553
12,Self,match,1,0,0,0.629
12,Friend,mismatch,0,0,1,0.706
12,Stranger,match,1,1,1,0.545
12,Friend,match,1,1,1,0.657
12,Stranger,match,1,0,0,0.551
12,Stranger,mismatch,0,1,0,0.588
12,Self,mismatch,0,1,0,0.568
12,Self,match,1,1,1,0.516
12,Self,match,1,1,1,0.517
12,Self,mismatch,0,1,0,0.59
12,Friend,match,1,1,1,0.593
12,Friend,mismatch,0,1,0,0.645
12,Stranger,mismatch,0,1,0,0.722
12,Self,mismatch,0,1,0,0.601
12,Stranger,match,1,1,1,0.882
12,Friend,match,1,1,1,0.59
12,Friend,match,1,1,1,0.972
12,Stranger,mismatch,0,1,0,0.632
12,Stranger,mismatch,0,1,0,0.705
12,Self,mismatch,0,1,0,0.688
12,Self,match,1,1,1,0.645
12,Stranger,match,1,1,1,0.68
12,Friend,mismatch,0,1,0,0.793
12,Friend,mismatch,0,1,0,0.712
12,Self,match,1,1,1,0.701
12,Friend,match,1,1,1,0.949
12,Friend,mismatch,0,1,0,0.749
12,Self,match,1,1,1,0.656
12,Stranger,match,1,1,1,0.655
12,Stranger,mismatch,0,1,0,0.887
12,Friend,mismatch,0,1,0,0.689
12,Self,mismatch,0,1,0,0.572
12,Stranger,mismatch,0,1,0,1.045
12,Friend,match,1,1,1,0.574
12,Self,match,1,1,1,0.6
12,Stranger,match,1,1,1,0.714
12,Self,mismatch,0,1,0,0.589
12,Stranger,mismatch,0,1,0,0.664
12,Friend,match,1,1,1,0.354
12,Self,match,1,1,1,0.544
12,Self,match,1,1,1,0.53
12,Friend,match,1,1,1,0.749
12,Friend,mismatch,0,1,0,0.635
12,Stranger,match,1,1,1,1.093
12,Stranger,match,1,1,1,0.862
12,Self,mismatch,0,1,0,0.507
12,Self,mismatch,0,1,0,0.686
12,Stranger,mismatch,0,1,0,0.668
12,Self,mismatch,0,1,0,0.796
12,Friend,mismatch,0,1,0,0.701
12,Self,match,1,1,1,0.617
12,Friend,mismatch,0,1,0,0.869
12,Stranger,match,1,1,1,0.983
12,Stranger,mismatch,0,1,0,0.584
12,Self,match,1,0,0,0.65
12,Friend,match,1,1,1,0.528
12,Friend,match,1,1,1,0.65
12,Stranger,match,1,1,1,0.508
12,Self,mismatch,0,1,0,0.813
12,Stranger,mismatch,0,1,0,0.724
12,Friend,mismatch,0,0,1,0.531
12,Friend,mismatch,0,1,0,0.738
12,Stranger,mismatch,0,1,0,0.679
12,Self,mismatch,0,0,1,0.41
12,Stranger,match,1,1,1,0.656
12,Self,mismatch,0,1,0,0.531
12,Friend,match,1,1,1,0.523
12,Self,match,1,1,1,0.741
12,Self,match,1,1,1,0.488
12,Stranger,mismatch,0,1,0,0.824
12,Friend,match,1,1,1,0.778
12,Stranger,match,1,1,1,0.735
12,Self,mismatch,0,1,0,0.816
12,Stranger,match,1,0,0,0.485
12,Self,match,1,1,1,0.684
12,Self,mismatch,0,1,0,0.707
12,Friend,mismatch,0,1,0,0.842
12,Friend,mismatch,0,1,0,0.728
12,Friend,match,1,0,0,0.588
12,Stranger,match,1,1,1,0.518
12,Stranger,mismatch,0,1,0,0.639
12,Stranger,mismatch,0,1,0,0.945
12,Self,match,1,1,1,0.545
12,Friend,mismatch,0,1,0,0.592
12,Friend,mismatch,0,1,0,1.01
12,Self,match,1,1,1,0.571
12,Stranger,mismatch,0,1,0,0.595
12,Stranger,match,1,1,1,0.628
12,Friend,match,1,0,0,0.66
12,Stranger,match,1,1,1,0.58
12,Friend,match,1,1,1,0.579
12,Self,match,1,1,1,0.499
12,Stranger,mismatch,0,0,1,0.511
12,Self,mismatch,0,1,0,0.597
12,Self,mismatch,0,1,0,0.668
12,Friend,match,1,1,1,0.387
12,Self,match,1,1,1,0.672
12,Stranger,mismatch,0,1,0,0.916
12,Self,mismatch,0,1,0,0.966
12,Friend,match,1,1,1,0.64
12,Stranger,match,1,1,1,0.777
12,Self,match,1,1,1,0.529
12,Friend,mismatch,0,0,1,0.645
12,Stranger,match,1,1,1,0.622
12,Stranger,mismatch,0,1,0,0.634
12,Self,mismatch,0,1,0,0.855
12,Friend,mismatch,0,0,1,0.913
12,Self,match,1,1,1,0.658
12,Stranger,match,1,1,1,0.788
12,Stranger,mismatch,0,1,0,0.522
12,Self,match,1,1,1,0.551
12,Stranger,match,1,0,0,0.532
12,Stranger,mismatch,0,1,0,0.497
12,Friend,match,1,1,1,0.568
12,Friend,mismatch,0,0,1,0.446
12,Self,mismatch,0,1,0,0.723
12,Friend,mismatch,0,1,0,0.659
12,Friend,match,1,1,1,0.725
12,Self,mismatch,0,1,0,0.55
12,Self,mismatch,0,1,0,0.572
12,Self,match,1,1,1,0.646
12,Stranger,mismatch,0,1,0,0.523
12,Stranger,match,1,1,1,0.648
12,Stranger,mismatch,0,1,0,0.552
12,Stranger,match,1,1,1,0.814
12,Self,match,1,1,1,0.551
12,Friend,match,1,1,1,0.612
12,Friend,mismatch,0,0,1,0.814
12,Self,mismatch,0,1,0,0.604
12,Friend,mismatch,0,1,0,0.76
12,Friend,match,1,1,1,0.517
12,Stranger,mismatch,0,1,0,0.821
12,Stranger,mismatch,0,1,0,0.905
12,Friend,mismatch,0,0,1,0.393
12,Self,match,1,1,1,0.497
12,Self,mismatch,0,1,0,0.72
12,Friend,match,1,1,1,0.523
12,Stranger,match,1,0,0,0.615
12,Self,mismatch,0,1,0,0.621
12,Self,match,1,1,1,0.638
12,Friend,match,1,1,1,0.567
12,Stranger,match,1,1,1,0.771
12,Friend,mismatch,0,1,0,0.666
12,Self,mismatch,0,1,0,0.705
12,Friend,mismatch,0,1,0,0.743
12,Stranger,match,1,1,1,0.57
12,Self,match,1,1,1,0.533
12,Friend,mismatch,0,0,1,0.577
12,Self,match,1,1,1,0.492
12,Stranger,mismatch,0,1,0,0.544
12,Stranger,mismatch,0,1,0,0.64
12,Friend,match,1,1,1,0.483
12,Self,mismatch,0,1,0,0.557
12,Self,match,1,1,1,0.672
12,Friend,mismatch,0,0,1,0.462
12,Stranger,match,1,1,1,0.733
12,Self,mismatch,0,1,0,0.515
12,Friend,mismatch,0,0,1,0.762
12,Stranger,match,1,1,1,0.822
12,Self,match,1,1,1,0.588
12,Self,mismatch,0,1,0,0.706
12,Stranger,mismatch,0,1,0,0.753
12,Stranger,mismatch,0,1,0,0.621
12,Friend,match,1,1,1,0.663
12,Stranger,mismatch,0,1,0,0.68
12,Friend,match,1,1,1,0.582
12,Friend,mismatch,0,1,0,0.6
12,Stranger,match,1,1,1,0.727
12,Self,mismatch,0,1,0,0.698
12,Friend,match,1,1,1,0.459
12,Friend,mismatch,0,1,0,0.938
12,Self,match,1,1,1,0.548
12,Self,mismatch,0,1,0,0.533
12,Stranger,mismatch,0,1,0,0.595
12,Stranger,match,1,1,1,0.686
12,Self,match,1,1,1,0.517
12,Self,match,1,1,1,0.531
12,Stranger,mismatch,0,1,0,0.799
12,Friend,mismatch,0,1,0,0.891
12,Self,match,1,1,1,0.522
12,Stranger,match,1,1,1,0.646
12,Self,mismatch,0,1,0,0.488
12,Friend,match,1,1,1,0.535
12,Stranger,mismatch,0,1,0,0.809
12,Stranger,match,1,1,1,0.675
12,Friend,mismatch,0,0,1,0.467
12,Self,mismatch,0,1,0,0.696
12,Friend,match,1,1,1,0.606
12,Friend,mismatch,0,0,1,0.428
12,Friend,mismatch,0,1,0,0.845
12,Stranger,mismatch,0,1,0,0.681
12,Friend,match,1,1,1,0.602
12,Self,match,1,1,1,0.922
12,Friend,match,1,1,1,0.492
12,Stranger,mismatch,0,1,0,0.586
12,Self,mismatch,0,1,0,0.808
12,Stranger,match,1,1,1,0.658
12,Stranger,match,1,1,1,0.655
12,Self,mismatch,0,1,0,0.675
12,Self,match,1,1,1,0.472
12,Friend,mismatch,0,1,0,0.831
12,Stranger,mismatch,0,1,0,0.646
12,Stranger,match,1,1,1,0.644
12,Self,match,1,1,1,0.689
12,Friend,match,1,0,0,0.863
12,Friend,match,1,1,1,0.688
12,Self,mismatch,0,1,0,0.497
12,Stranger,match,1,1,1,0.541
12,Self,match,1,1,1,0.673
12,Self,mismatch,0,1,0,0.815
12,Friend,mismatch,0,0,1,0.417
12,Self,match,1,1,1,0.418
12,Self,mismatch,0,1,0,0.535
12,Friend,mismatch,0,1,0,0.616
12,Stranger,match,1,1,1,0.377
12,Stranger,match,1,1,1,0.463
12,Friend,mismatch,0,0,1,0.596
12,Stranger,mismatch,0,0,1,0.786
12,Friend,match,1,0,0,0.629
12,Self,mismatch,0,1,0,0.634
12,Stranger,mismatch,0,0,1,0.47
12,Self,match,1,1,1,0.437
12,Friend,match,1,1,1,0.651
12,Friend,match,1,1,1,0.641
12,Stranger,match,1,1,1,0.692
12,Self,match,1,1,1,0.631
12,Stranger,match,1,1,1,0.616
12,Friend,mismatch,0,1,0,0.702
12,Self,mismatch,0,1,0,0.654
12,Self,match,1,1,1,0.572
12,Friend,match,1,1,1,0.528
12,Stranger,mismatch,0,0,1,0.639
12,Stranger,mismatch,0,1,0,0.731
12,Self,mismatch,0,1,0,0.638
12,Friend,mismatch,0,0,1,0.606
12,Stranger,match,1,1,1,0.773
12,Self,mismatch,0,1,0,0.627
12,Friend,match,1,1,1,0.528
12,Self,match,1,1,1,0.45
12,Friend,mismatch,0,0,1,0.54
12,Friend,match,1,1,1,0.653
12,Stranger,match,1,1,1,0.578
12,Stranger,mismatch,0,1,0,0.762
12,Stranger,mismatch,0,1,0,0.724
12,Self,match,1,1,1,0.52
12,Friend,mismatch,0,1,0,0.729
12,Self,mismatch,0,1,0,0.938
12,Stranger,mismatch,0,1,0,0.716
12,Stranger,mismatch,0,1,0,0.865
12,Friend,match,1,1,1,0.668
12,Self,mismatch,0,1,0,0.596
12,Self,match,1,1,1,0.477
12,Self,match,1,1,1,0.436
12,Stranger,match,1,1,1,0.746
12,Friend,match,1,1,1,0.696
12,Friend,mismatch,0,1,0,0.743
12,Self,mismatch,0,1,0,0.651
12,Friend,mismatch,0,1,0,0.543
12,Stranger,match,1,1,1,0.704
12,Stranger,match,1,1,1,0.62
12,Friend,mismatch,0,1,0,0.623
12,Self,match,1,1,1,0.68
12,Friend,match,1,1,1,0.552
12,Self,mismatch,0,1,0,0.544
12,Friend,match,1,1,1,0.718
12,Self,mismatch,0,1,0,0.609
12,Self,match,1,1,1,0.55
12,Stranger,mismatch,0,1,0,0.706
12,Stranger,mismatch,0,1,0,0.501
12,Friend,mismatch,0,0,1,0.472
12,Stranger,match,1,1,1,0.775
12,Self,mismatch,0,1,0,1.078
12,Friend,match,1,1,1,0.494
