ExperimentName,Subject,Session,Block,Age,Sex,Block,Friend,Self,Stranger,SubTrial,CorrectAnswer,Question,SelfRelated,Target,ACC,RT,YesNoResp
A,2801,2,Group2,20,female,1,S,C,T,5,m,Stranger,Self,C.bmp,0,350,No
A,2801,2,Group2,20,female,1,S,C,T,6,m,You,Friend,S.bmp,1,956,No
A,2801,2,Group2,20,female,1,S,C,T,7,n,You,Self,C.bmp,1,546,Yes
A,2801,2,Group2,20,female,1,S,C,T,8,m,Friend,Self,C.bmp,1,864,No
A,2801,2,Group2,20,female,1,S,C,T,9,m,You,Stranger,T.bmp,1,846,No
A,2801,2,Group2,20,female,1,S,C,T,10,n,Friend,Friend,S.bmp,1,772,Yes
A,2801,2,Group2,20,female,1,S,C,T,11,m,Friend,Stranger,T.bmp,1,802,No
A,2801,2,Group2,20,female,1,S,C,T,12,n,Stranger,Stranger,T.bmp,1,935,Yes
A,2801,2,Group2,20,female,1,S,C,T,13,n,Friend,Friend,S.bmp,1,909,Yes
A,2801,2,Group2,20,female,1,S,C,T,14,m,Stranger,Self,C.bmp,1,835,No
A,2801,2,Group2,20,female,1,S,C,T,15,m,You,Stranger,T.bmp,1,761,No
A,2801,2,Group2,20,female,1,S,C,T,16,n,You,Self,C.bmp,1,535,Yes
A,2801,2,Group2,20,female,1,S,C,T,17,m,Stranger,Friend,S.bmp,1,765,No
A,2801,2,Group2,20,female,1,S,C,T,18,n,Stranger,Stranger,T.bmp,1,972,Yes
A,2801,2,Group2,20,female,1,S,C,T,19,n,Stranger,Stranger,T.bmp,1,666,Yes
A,2801,2,Group2,20,female,1,S,C,T,20,m,Friend,Stranger,T.bmp,0,672,No
A,2801,2,Group2,20,female,1,S,C,T,21,n,You,Self,C.bmp,1,534,Yes
A,2801,2,Group2,20,female,1,S,C,T,22,m,You,Friend,S.bmp,1,740,No
A,2801,2,Group2,20,female,1,S,C,T,23,m,Friend,Self,C.bmp,1,946,No
A,2801,2,Group2,20,female,1,S,C,T,24,n,Friend,Friend,S.bmp,1,743,Yes
A,2801,2,Group2,20,female,1,S,C,T,25,m,Friend,Stranger,T.bmp,1,853,No
A,2801,2,Group2,20,female,1,S,C,T,26,m,You,Stranger,T.bmp,1,827,No
A,2801,2,Group2,20,female,1,S,C,T,27,m,You,Friend,S.bmp,1,1113,No
A,2801,2,Group2,20,female,1,S,C,T,28,n,You,Self,C.bmp,1,695,Yes
A,2801,2,Group2,20,female,1,S,C,T,29,n,You,Self,C.bmp,1,725,Yes
A,2801,2,Group2,20,female,1,S,C,T,30,n,Stranger,Stranger,T.bmp,1,852,Yes
A,2801,2,Group2,20,female,1,S,C,T,31,n,Friend,Friend,S.bmp,1,538,Yes
A,2801,2,Group2,20,female,1,S,C,T,32,n,Stranger,Stranger,T.bmp,1,1072,Yes
A,2801,2,Group2,20,female,1,S,C,T,33,m,Stranger,Self,C.bmp,1,926,No
A,2801,2,Group2,20,female,1,S,C,T,34,m,Stranger,Friend,S.bmp,1,1155,No
A,2801,2,Group2,20,female,1,S,C,T,35,n,Friend,Friend,S.bmp,1,721,Yes
A,2801,2,Group2,20,female,1,S,C,T,36,m,Friend,Self,C.bmp,1,743,No
A,2801,2,Group2,20,female,1,S,C,T,37,m,Stranger,Self,C.bmp,1,1149,No
A,2801,2,Group2,20,female,1,S,C,T,38,m,Friend,Self,C.bmp,0,867,No
A,2801,2,Group2,20,female,1,S,C,T,39,m,You,Friend,S.bmp,0,0,No
A,2801,2,Group2,20,female,1,S,C,T,40,n,Friend,Friend,S.bmp,1,711,Yes
A,2801,2,Group2,20,female,1,S,C,T,41,m,Stranger,Friend,S.bmp,1,972,No
A,2801,2,Group2,20,female,1,S,C,T,42,m,You,Stranger,T.bmp,1,795,No
A,2801,2,Group2,20,female,1,S,C,T,43,n,You,Self,C.bmp,1,601,Yes
A,2801,2,Group2,20,female,1,S,C,T,44,n,Stranger,Stranger,T.bmp,0,583,Yes
A,2801,2,Group2,20,female,1,S,C,T,45,n,You,Self,C.bmp,1,525,Yes
A,2801,2,Group2,20,female,1,S,C,T,46,m,Friend,Stranger,T.bmp,1,779,No
