Participant,Association,Scale,SelfStrongMatch,SelfWeakMatch,StrangerStrongMatch,StrangerWeakMatch,SelfStrongMismatch,SelfWeakMismatch,StrangerStrongMismatch,StrangerWeakMismatch,,,,,,,StrongMatchPrio,WeakMatchPrio,StrongMismatchPrio,WeakMismatchPrio
29,Happy,90,0.751983605,0.855726218,0.916544139,0.96799468,0.857548094,1.001192587,0.929618836,0.9107727,,,,,,,0.164560535,0.112268462,0.072070742,-0.090419888
30,Happy,65,0.834300227,0.829724618,1.007910893,1.051509868,0.938925812,1.095926831,1.040648805,1.014178848,,,,,,,0.173610666,0.221785249,0.101722993,-0.081747983
33,Happy,84,0.774514814,0.830963711,1.030128508,1.033137704,1.063046142,1.080842924,1.036548572,1.030841712,,,,,,,0.255613694,0.202173993,-0.02649757,-0.050001212
37,Happy,70,0.921732912,1.042872611,1.033580862,1.013183347,1.073783693,1.16810388,1.015928153,1.16743672,,,,,,,0.11184795,-0.029689264,-0.05785554,-0.00066716
38,Happy,90,0.697362079,0.862809471,0.794768215,0.893551054,0.854058984,0.893123056,0.837213729,0.896471106,,,,,,,0.097406136,0.030741582,-0.016845255,0.00334805
41,Happy,15,0.664328468,0.915481143,0.890033251,0.892977738,0.976040514,1.095288336,0.937470656,0.866572674,,,,,,,0.225704784,-0.022503405,-0.038569858,-0.228715661
42,Happy,100,0.748728106,0.869380101,0.839604836,0.913298558,0.87049494,0.953982703,0.926324333,0.902255214,,,,,,,0.09087673,0.043918457,0.055829393,-0.051727489
45,Happy,65,0.594028195,0.666913689,0.948301822,0.921942754,0.853415738,0.926413466,0.816493129,0.835511719,,,,,,,0.354273627,0.255029064,-0.036922609,-0.090901747
46,Happy,94,0.627910782,0.734473046,0.806102128,0.942356884,0.778136562,0.891725943,0.772595025,0.797232763,,,,,,,0.178191346,0.207883838,-0.005541537,-0.09449318
49,Happy,90,0.645670623,0.795898149,0.921590918,0.91232083,0.828792635,0.906350668,0.852627877,0.804946869,,,,,,,0.275920295,0.116422681,0.023835242,-0.101403799
50,Happy,73,0.707977749,0.715223054,0.779339441,0.719190583,0.812945649,0.785630341,0.699314016,0.758582419,,,,,,,0.071361692,0.00396753,-0.113631633,-0.027047922
54,Happy,100,0.829249346,0.978244741,1.177657816,1.162743939,1.086472113,1.240905353,1.128253254,1.166829698,,,,,,,0.348408469,0.184499199,0.041781142,-0.074075656
,,,0.760650888,0.874883985,0.940869,0.980208095,0.917486381,1.013456224,0.936079164,0.941275665,,,,,,,,,,
3,Sad,50,1.000174993,1.043465303,1.113333363,1.120388937,1.069314143,1.128672663,1.079749504,1.111203461,,,,,,,0.11315837,0.076923634,0.010435361,-0.017469201
4,Sad,40,1.182085463,1.248351673,1.1183466,1.198136907,1.306360068,1.279543321,1.196640537,1.194888018,,,,,,,-0.063738863,-0.050214766,-0.109719531,-0.084655302
7,Sad,51,0.845312984,0.800208074,0.761666025,0.855324199,0.849833273,0.861116996,0.798716086,0.846064032,,,,,,,-0.083646959,0.055116125,-0.051117188,-0.015052964
8,Sad,50,0.657595139,0.619536385,0.721258174,0.802021187,0.809265679,0.777986068,0.713257604,0.749816618,,,,,,,0.063663036,0.182484802,-0.096008075,-0.02816945
11,Sad,100,0.60191415,0.632053845,0.628061707,0.698075527,0.729712639,0.672496369,0.702881131,0.73000805,,,,,,,0.026147557,0.066021681,-0.026831508,0.057511681
12,Sad,70,0.580282117,0.574665047,0.712419562,0.576106217,0.694845882,0.668210218,0.674320669,0.742302677,,,,,,,0.132137445,0.00144117,-0.020525213,0.074092459
15,Sad,93,0.896327637,0.852211724,0.834023147,0.940272948,1.030358802,0.975912802,0.883845856,0.961282933,,,,,,,-0.062304489,0.088061224,-0.146512946,-0.014629869
16,Sad,49,0.860121488,0.865094805,0.880894423,0.944266468,0.903106713,0.910439368,0.88523455,0.920441808,,,,,,,0.020772935,0.079171663,-0.017872163,0.010002441
19,Sad,70,0.861963701,0.987940134,0.990359358,1.083506731,1.043323118,1.016842915,0.92883967,1.068227357,,,,,,,0.128395657,0.095566596,-0.114483448,0.051384442
20,Sad,87,0.744769453,0.750926057,0.845197447,0.88599846,0.870702611,0.983516254,0.930494702,0.880948379,,,,,,,0.100427994,0.135072402,0.059792091,-0.102567875
23,Sad,90,0.721499,0.76726398,0.864932514,0.913136749,0.93780651,0.894750744,0.827009812,0.873623054,,,,,,,0.143433514,0.145872769,-0.110796698,-0.02112769
24,Sad,55,0.77092581,0.775782459,0.749464894,0.824114054,0.791292905,0.815011822,0.757210942,0.792858913,,,,,,,-0.021460916,0.048331595,-0.034081963,-0.022152909
