SessionDate,Subject,Age,Handedness,MotherTongue,Sex,Procedure[SubTrial],LabelOrder,BlockType,CloseShape,CloseWord,MediumShape,MediumWord,FarShape,FarWord,Target.ACC,Target.CRESP,Target.RESP,Target.RT,Congruent,Incongruent,Stimulus,Word
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,582,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,888,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,990,m,z,triangle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1167,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,3048,m,z,triangle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1189,m,z,triangle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1134,m,z,circle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1642,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1680,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1524,m,z,circle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,2271,m,z,square.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,2364,m,z,triangle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1973,m,z,circle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,2334,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1080,m,z,triangle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1542,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1697,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1525,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,864,m,z,square.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1109,m,z,circle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1233,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,760,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,914,m,z,circle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,2503,m,z,triangle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,859,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1617,m,z,triangle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1001,m,z,square.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1386,m,z,triangle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1100,m,z,square.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,760,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,899,m,z,square.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1240,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1071,m,z,square.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,2237,m,z,circle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1179,m,z,circle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1572,m,z,circle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,3149,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1302,m,z,square.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1578,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,867,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,906,m,z,square.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1999,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,839,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,862,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1188,m,z,triangle.bmp,Friend
