Participant,OtherMatch,SelfMatch,OtherMismatch,SelfMismatch,MeMatch,TheyMatch,WeMatch,YouMatch,MeMismatch,TheyMismatch,WeMismatch,YouMismatch,MeLabel:Other,MeLabel:Self,TheyLabel:Other,TheyLabel:Self,WeLabel:Other,WeLabel:Self,YouLabel:Other,YouLabel:Self,SelfBenefitMatch,WeBenefitMatch,GroupShape,IndividualShape,OtherLabel,SelfLabel
11,0.940481579,0.627064376,0.776560413,0.836825697,0.607991693,0.971001801,0.647408571,0.913942255,0.852148037,0.776257368,0.821503356,0.776839215,0.83543237,0.887668829,0.900149851,0.757673496,0.822402893,0.816780789,0.827962737,0.760694944,0.305950562,0.32359323,0.776845863,0.735934656,0.832788022,0.783826424
12,0.896423606,0.772071484,0.90751107,0.937162462,0.786446214,0.78350094,0.758495349,1.056397384,0.999565965,0.860763376,0.880798007,0.951587467,1.003283731,0.994608945,0.944086172,0.819101977,0.905701122,0.828501465,0.982099376,0.935668211,0.26995117,0.02500559,0.770640922,0.898150146,0.954040061,0.891954244
13,0.993327533,0.78376677,1.034972339,0.988958678,0.806414669,0.973734039,0.759609011,1.011084137,0.986915,1.048537062,0.991064285,1.018152084,0.961020135,1.04105881,1.098748658,1.016824474,1.008892266,0.959865318,1.125149282,0.997771665,0.204669468,0.214125028,0.864856906,0.908749403,1.016263028,1.003855567
14,0.830307064,0.754512089,0.845111721,0.852310032,0.627020763,0.793692584,0.893593536,0.871498355,0.803978449,0.817331047,0.900641615,0.872892395,0.826556416,0.754717431,0.819605296,0.816031477,0.982768388,0.743231966,0.909247463,0.854714861,0.244477592,-0.099900952,0.8414713,0.742069041,0.889685894,0.805470656
15,0.691316556,0.676003756,0.756889874,0.787265576,0.673506632,0.717883265,0.67850088,0.664749847,0.785581936,0.745406294,0.789061458,0.76634694,0.78501171,0.786836434,0.813122797,0.713330055,0.780334801,0.809423657,0.765182685,0.766832046,-0.008756785,0.039382385,0.698827272,0.668987001,0.784310008,0.759845442
16,0.800759643,0.676394857,0.791160525,0.751710301,0.630173089,0.832209494,0.725417945,0.773503106,0.740371749,0.8023277,0.764146134,0.77962111,0.738581979,0.744113994,0.845171402,0.781925938,0.785995067,0.724420801,0.833507109,0.756527111,0.143330017,0.106791549,0.772478628,0.696325404,0.78484782,0.757209324
17,0.775539461,0.710684513,0.805640914,0.823279107,0.690498667,0.841826621,0.729089254,0.714934058,0.836018901,0.81576164,0.8087821,0.796133566,0.819727189,0.873489841,0.808494929,0.818289191,0.824712845,0.778513684,0.831844667,0.780607,0.024435391,0.112737367,0.783749796,0.703456829,0.821827925,0.807494661
18,1.045873818,0.890359416,1.010059719,1.016827243,0.810825475,1.162140561,0.9798351,0.936446294,1.018982578,1.029730741,1.014802534,0.99158088,1.003505996,1.047121818,1.107736289,0.986827689,1.059670969,0.936282773,0.983500042,0.996198501,0.125620819,0.182305462,1.070987831,0.871841301,1.036098593,0.990788369
19,0.875745082,0.774334013,0.920939284,0.940406053,0.728755679,0.948777965,0.821252885,0.824192458,0.90896378,0.93643517,0.973697872,0.905886138,0.929331341,0.868228659,1.012274388,0.90016424,1.033502167,0.864056665,0.944114849,0.888364645,0.095436779,0.12752508,0.874021884,0.775782498,0.978842374,0.884675393
20,0.839050064,0.706122045,0.883489919,0.834765449,0.736932752,0.798740196,0.677023045,0.884561206,0.868504533,0.830065974,0.806649545,0.940252861,0.882671314,0.84017097,0.861838303,0.816827503,0.789058828,0.841830981,1.052231563,0.902926627,0.147628454,0.121717151,0.737024457,0.807340168,0.864952801,0.853968294
21,0.944696051,0.833254227,0.96417289,1.016579478,0.658267021,1.055716667,1.018846719,0.846736684,0.971586794,1.023682061,1.064298991,0.906363982,0.940438546,1.039546608,1.044093039,1.013920289,1.119200349,0.968221615,0.883502681,0.918291617,0.188469663,0.036869949,1.036403837,0.75113613,1.00236453,0.978181825
22,0.87228419,0.701019986,0.819519247,0.817679403,0.616843053,0.801243762,0.80078524,0.964044743,0.736195601,0.786029529,0.907893612,0.857628236,0.731845125,0.744105557,0.856836913,0.75524371,0.994950416,0.791817873,0.966825717,0.816029196,0.34720169,0.000458522,0.801030312,0.765643777,0.867760815,0.779017822
23,0.682161417,0.646200223,0.679059552,0.691984911,0.618237512,0.670603896,0.678673048,0.693718939,0.692876981,0.694219126,0.690843062,0.665794925,0.701687116,0.673494684,0.720166438,0.679803952,0.680382871,0.709438959,0.685591163,0.659196179,0.075481426,-0.008069152,0.674638472,0.653161755,0.696600646,0.675034048
