Participant.Public.ID,Trial.Number,Reaction.Time,Response,Correct,Incorrect,Label,Model,P_Group,P_Orginal,ACC_Mat
61298eaadde17b9139f37d89,32,857,left,1,0,Me,m35,Other,NEIN,0.90625
61298eaadde17b9139f37d89,33,2014,right,1,0,Me,m33,User,JA,0.90625
61298eaadde17b9139f37d89,34,1796,left,0,1,Me,f4,User,NEIN,0.90625
61298eaadde17b9139f37d89,35,1661,right,1,0,Stranger,m34,Other,NEIN,0.90625
61298eaadde17b9139f37d89,36,1356,right,1,0,Me,m33,User,NEIN,0.90625
61298eaadde17b9139f37d89,37,2371,right,1,0,Stranger,f15,Other,NEIN,0.90625
61298eaadde17b9139f37d89,38,781,right,1,0,Me,f4,User,JA,0.90625
61298eaadde17b9139f37d89,39,1630,left,1,0,Stranger,f4,User,JA,0.90625
61298eaadde17b9139f37d89,40,830,left,1,0,Stranger,m38,User,NEIN,0.90625
61298eaadde17b9139f37d89,41,892,right,1,0,Me,f27,User,JA,0.90625
61298eaadde17b9139f37d89,42,565,right,1,0,Me,f4,User,JA,0.90625
61298eaadde17b9139f37d89,43,482,left,1,0,Stranger,m38,User,JA,0.90625
61298eaadde17b9139f37d89,44,449,right,1,0,Me,f4,User,NEIN,0.90625
61298eaadde17b9139f37d89,45,847,right,1,0,Me,m33,User,JA,0.90625
61298eaadde17b9139f37d89,46,684,right,1,0,Stranger,m35,Other,JA,0.90625
61298eaadde17b9139f37d89,47,885,right,1,0,Stranger,f18,Other,JA,0.90625
61298eaadde17b9139f37d89,48,1365,right,1,0,Stranger,m35,Other,JA,0.90625
61298eaadde17b9139f37d89,49,509,right,1,0,Me,m38,User,NEIN,0.90625
61298eaadde17b9139f37d89,50,900,right,1,0,Me,f27,User,NEIN,0.90625
61298eaadde17b9139f37d89,51,697,right,1,0,Me,f27,User,JA,0.90625
61298eaadde17b9139f37d89,52,901,left,1,0,Stranger,f27,User,JA,0.90625
61298eaadde17b9139f37d89,53,695,right,1,0,Me,m38,User,NEIN,0.90625
61298eaadde17b9139f37d89,54,713,right,1,0,Stranger,f15,Other,JA,0.90625
61298eaadde17b9139f37d89,55,658,right,1,0,Stranger,f15,Other,JA,0.90625
61298eaadde17b9139f37d89,56,556,right,1,0,Me,m33,User,NEIN,0.90625
61298eaadde17b9139f37d89,57,1180,right,1,0,Stranger,m34,Other,JA,0.90625
61298eaadde17b9139f37d89,58,1066,left,1,0,Stranger,m33,User,JA,0.90625
61298eaadde17b9139f37d89,59,861,left,1,0,Me,f18,Other,JA,0.90625
61298eaadde17b9139f37d89,60,1407,left,1,0,Me,f15,Other,JA,0.90625
61298eaadde17b9139f37d89,61,792,left,1,0,Stranger,f27,User,NEIN,0.90625
61298eaadde17b9139f37d89,62,746,right,1,0,Stranger,f18,Other,JA,0.90625
61298eaadde17b9139f37d89,63,1129,left,1,0,Stranger,m38,User,NEIN,0.90625
61298eaadde17b9139f37d89,64,612,right,1,0,Stranger,f18,Other,NEIN,0.90625
563fa227074be600115e9642,1,5409.5,right,0,1,Stranger,f27,User,JA,0.828125
563fa227074be600115e9642,2,653,right,1,0,Stranger,f15,Other,JA,0.828125
563fa227074be600115e9642,3,2422.6,left,1,0,Me,m35,Other,JA,0.828125
563fa227074be600115e9642,4,2480.5,left,1,0,Me,f15,Other,JA,0.828125
563fa227074be600115e9642,5,1225,right,1,0,Stranger,m35,Other,NEIN,0.828125
563fa227074be600115e9642,6,1454.8,right,1,0,Stranger,f15,Other,NEIN,0.828125
563fa227074be600115e9642,7,1329.1,left,1,0,Stranger,f27,User,NEIN,0.828125
563fa227074be600115e9642,8,1247.4,right,1,0,Stranger,m34,Other,JA,0.828125
563fa227074be600115e9642,9,1086.4,left,1,0,Stranger,m38,User,JA,0.828125
563fa227074be600115e9642,10,879.6,right,1,0,Stranger,m35,Other,JA,0.828125
563fa227074be600115e9642,11,936.1,right,1,0,Stranger,f18,Other,JA,0.828125
563fa227074be600115e9642,12,2180.1,right,1,0,Stranger,f15,Other,JA,0.828125
563fa227074be600115e9642,13,1049.3,left,1,0,Stranger,f27,User,JA,0.828125
563fa227074be600115e9642,14,1301.6,left,1,0,Me,f15,Other,NEIN,0.828125
563fa227074be600115e9642,15,1065.8,left,1,0,Stranger,m33,User,JA,0.828125
563fa227074be600115e9642,16,714,right,1,0,Me,m38,User,NEIN,0.828125
563fa227074be600115e9642,17,1465.4,right,1,0,Me,m33,User,JA,0.828125
563fa227074be600115e9642,18,707.5,right,1,0,Me,m38,User,NEIN,0.828125
563fa227074be600115e9642,19,1018.9,left,1,0,Stranger,m33,User,NEIN,0.828125
