"","Subject","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC"
"76",1,"Matching","Partner","Top",850,0.85,1
"77",1,"Matching","Partner","Top",667,0.667,1
"78",1,"Matching","Partner","Top",633,0.633,1
"79",1,"Matching","Partner","Top",717,0.717,1
"80",1,"Matching","Partner","Top",600,0.6,1
"81",1,"Matching","Stranger","Bottom",834,0.834,1
"82",1,"Matching","Stranger","Bottom",1217,1.217,1
"83",1,"Matching","Stranger","Bottom",917,0.917,1
"84",1,"Matching","Stranger","Bottom",784,0.784,1
"85",1,"Matching","Stranger","Bottom",667,0.667,1
"86",1,"Matching","Stranger","Bottom",833,0.833,1
"87",1,"Matching","Stranger","Bottom",1450,1.45,1
"88",1,"Matching","Stranger","Bottom",684,0.684,1
"89",1,"Matching","Stranger","Bottom",900,0.9,1
"90",1,"Matching","Stranger","Bottom",784,0.784,1
"91",1,"Matching","Stranger","Bottom",617,0.617,1
"92",1,"Matching","Stranger","Bottom",750,0.75,1
"93",1,"Matching","Stranger","Bottom",967,0.967,1
"94",1,"Matching","Stranger","Bottom",833,0.833,1
"95",1,"Matching","Stranger","Bottom",650,0.65,1
"96",1,"Matching","Stranger","Bottom",717,0.717,1
"97",1,"Matching","Stranger","Bottom",567,0.567,1
"98",1,"Matching","Stranger","Bottom",617,0.617,1
"99",1,"Matching","Stranger","Bottom",683,0.683,1
"100",1,"Matching","Stranger","Bottom",700,0.7,1
"101",1,"Matching","Stranger","Top",650,0.65,1
"102",1,"Matching","Stranger","Top",600,0.6,1
"103",1,"Matching","Stranger","Top",617,0.617,1
"104",1,"Matching","Stranger","Top",617,0.617,1
"105",1,"Matching","Stranger","Top",600,0.6,1
"106",1,"Matching","Stranger","Top",650,0.65,1
"107",1,"Matching","Stranger","Top",734,0.734,0
"108",1,"Matching","Stranger","Top",917,0.917,1
"109",1,"Matching","Stranger","Top",900,0.9,1
"110",1,"Matching","Stranger","Top",667,0.667,1
"111",1,"Matching","Stranger","Top",617,0.617,1
"112",1,"Matching","Stranger","Top",517,0.517,1
"113",1,"Matching","Stranger","Top",817,0.817,1
"114",1,"Matching","Stranger","Top",1250,1.25,1
"115",1,"Matching","Stranger","Top",734,0.734,1
"116",1,"Matching","Stranger","Top",750,0.75,1
"117",1,"Matching","Stranger","Top",567,0.567,1
"118",1,"Matching","Stranger","Top",934,0.934,1
"119",1,"Matching","Stranger","Top",750,0.75,1
"120",1,"Matching","Stranger","Top",600,0.6,1
"121",1,"Nonmatching","Self","Bottom",783,0.783,1
"122",1,"Nonmatching","Self","Bottom",967,0.967,1
"123",1,"Nonmatching","Self","Bottom",683,0.683,1
"124",1,"Nonmatching","Self","Bottom",1383,1.383,1
"125",1,"Nonmatching","Self","Bottom",1384,1.384,1
"126",1,"Nonmatching","Self","Bottom",867,0.867,1
"127",1,"Nonmatching","Self","Bottom",1100,1.1,1
"128",1,"Nonmatching","Self","Bottom",767,0.767,1
"129",1,"Nonmatching","Self","Bottom",917,0.917,1
"130",1,"Nonmatching","Self","Bottom",1267,1.267,1
"131",1,"Nonmatching","Self","Bottom",967,0.967,1
"132",1,"Nonmatching","Self","Bottom",833,0.833,1
"133",1,"Nonmatching","Self","Bottom",833,0.833,1
"134",1,"Nonmatching","Self","Bottom",800,0.8,1
"135",1,"Nonmatching","Self","Bottom",984,0.984,1
"136",1,"Nonmatching","Self","Bottom",900,0.9,1
"137",1,"Nonmatching","Self","Bottom",933,0.933,1
"138",1,"Nonmatching","Self","Top",933,0.933,1
"139",1,"Nonmatching","Self","Top",1050,1.05,1
"140",1,"Nonmatching","Self","Top",683,0.683,1
"141",1,"Nonmatching","Self","Top",634,0.634,1
"142",1,"Nonmatching","Self","Top",834,0.834,1
"143",1,"Nonmatching","Self","Top",1067,1.067,1
"144",1,"Nonmatching","Self","Top",634,0.634,1
"145",1,"Nonmatching","Self","Top",783,0.783,1
"146",1,"Nonmatching","Self","Top",1150,1.15,1
"147",1,"Nonmatching","Self","Top",833,0.833,1
"148",1,"Nonmatching","Self","Top",700,0.7,1
"149",1,"Nonmatching","Self","Top",1050,1.05,1
"150",1,"Nonmatching","Self","Top",850,0.85,1
"151",1,"Nonmatching","Self","Top",1133,1.133,1
"152",1,"Nonmatching","Self","Top",833,0.833,1
"153",1,"Nonmatching","Self","Top",1067,1.067,1
"154",1,"Nonmatching","Self","Top",1367,1.367,1
"155",1,"Nonmatching","Self","Top",983,0.983,1
"156",1,"Nonmatching","Self","Top",734,0.734,1
"157",1,"Nonmatching","Partner","Bottom",567,0.567,0
"158",1,"Nonmatching","Partner","Bottom",700,0.7,1
"159",1,"Nonmatching","Partner","Bottom",1417,1.417,1
"160",1,"Nonmatching","Partner","Bottom",867,0.867,1
"161",1,"Nonmatching","Partner","Bottom",733,0.733,1
