"Subject","Gender","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Cue","RT_ms","RT_sec","ACC"
8,"female","Matching","Self","Self","Self","Alter cue",687,0.687,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",727,0.727,0
8,"female","Nonmatching","Self","Self","Self","No cue",874,0.874,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",462,0.462,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",461,0.461,1
8,"female","Matching","Self","Self","Self","No cue",587,0.587,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",718,0.718,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",725,0.725,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",974,0.974,1
8,"female","Nonmatching","Self","Self","Self","No cue",992,0.992,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",990,0.99,1
8,"female","Matching","Self","Self","Self","No cue",429,0.429,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",590,0.59,1
8,"female","Matching","Self","Self","Self","No cue",757,0.757,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",623,0.623,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",744,0.744,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",726,0.726,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",815,0.815,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",581,0.581,1
8,"female","Matching","Self","Self","Self","No cue",661,0.661,1
8,"female","Matching","Self","Self","Self","No cue",561,0.561,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",513,0.513,0
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",670,0.67,1
8,"female","Matching","Self","Self","Self","Alter cue",549,0.549,1
8,"female","Nonmatching","Self","Self","Self","No cue",955,0.955,1
8,"female","Matching","Self","Self","Self","No cue",556,0.556,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",986,0.986,1
8,"female","Matching","Self","Self","Self","Alter cue",720,0.72,1
8,"female","Matching","Self","Self","Self","No cue",767,0.767,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",579,0.579,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",604,0.604,1
8,"female","Nonmatching","Self","Self","Self","No cue",807,0.807,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",537,0.537,1
8,"female","Matching","Self","Self","Self","No cue",561,0.561,1
8,"female","Matching","Self","Self","Self","Alter cue",328,0.328,1
8,"female","Matching","Self","Self","Self","Alter cue",327,0.327,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",600,0.6,1
8,"female","Matching","Self","Self","Self","Alter cue",707,0.707,1
8,"female","Matching","Self","Self","Self","No cue",606,0.606,1
8,"female","Nonmatching","Self","Self","Self","No cue",863,0.863,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",718,0.718,0
8,"female","Nonmatching","Self","Self","Self","No cue",682,0.682,1
8,"female","Nonmatching","Self","Self","Self","No cue",776,0.776,0
8,"female","Matching","Self","Self","Self","Alter cue",515,0.515,1
8,"female","Matching","Self","Self","Self","Alter cue",425,0.425,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",610,0.61,0
8,"female","Matching","Self","Self","Self","Alter cue",477,0.477,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",640,0.64,1
8,"female","Matching","Self","Self","Self","Alter cue",645,0.645,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",762,0.762,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",732,0.732,1
8,"female","Matching","Self","Self","Self","Alter cue",504,0.504,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",912,0.912,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",618,0.618,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",727,0.727,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",868,0.868,0
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",920,0.92,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",644,0.644,1
8,"female","Matching","Self","Self","Self","No cue",520,0.52,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",606,0.606,0
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",913,0.913,1
8,"female","Matching","Self","Self","Self","Alter cue",577,0.577,1
8,"female","Matching","Self","Self","Self","No cue",510,0.51,1
8,"female","Matching","Self","Self","Self","No cue",738,0.738,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",560,0.56,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",942,0.942,0
8,"female","Matching","Self","Self","Self","Alter cue",280,0.28,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",799,0.799,1
8,"female","Matching","Self","Self","Self","Alter cue",401,0.401,1
8,"female","Nonmatching","Self","Self","Self","No cue",667,0.667,1
8,"female","Nonmatching","Self","Self","Self","No cue",923,0.923,1
8,"female","Matching","Self","Self","Self","Alter cue",609,0.609,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",535,0.535,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",967,0.967,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",516,0.516,1
8,"female","Nonmatching","Self","Self","Self","No cue",563,0.563,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",581,0.581,0
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",949,0.949,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",567,0.567,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",854,0.854,1
8,"female","Matching","Self","Self","Self","No cue",482,0.482,1
8,"female","Nonmatching","Self","Self","Self","No cue",310,0.31,0
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",693,0.693,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",761,0.761,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",622,0.622,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",808,0.808,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",403,0.403,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",553,0.553,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",571,0.571,1
8,"female","Matching","Self","Self","Self","No cue",606,0.606,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",522,0.522,1
8,"female","Nonmatching","Self","Self","Self","No cue",541,0.541,0
8,"female","Nonmatching","Self","Self","Self","Alter cue",669,0.669,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",657,0.657,0
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",803,0.803,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",572,0.572,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",558,0.558,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",753,0.753,1
8,"female","Matching","Self","Self","Self","No cue",492,0.492,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",641,0.641,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",585,0.585,0
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",437,0.437,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",360,0.36,1
8,"female","Matching","Self","Self","Self","No cue",906,0.906,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",674,0.674,1
8,"female","Matching","Self","Self","Self","No cue",605,0.605,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",756,0.756,1
8,"female","Nonmatching","Self","Self","Self","No cue",872,0.872,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",514,0.514,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",979,0.979,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",480,0.48,1
8,"female","Nonmatching","Self","Self","Self","No cue",678,0.678,1
8,"female","Nonmatching","Self","Self","Self","No cue",818,0.818,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",586,0.586,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",667,0.667,0
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",617,0.617,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",764,0.764,1
8,"female","Matching","Self","Self","Self","Alter cue",644,0.644,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",781,0.781,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",787,0.787,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",423,0.423,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",760,0.76,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",835,0.835,1
8,"female","Matching","Self","Self","Self","No cue",764,0.764,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",490,0.49,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",926,0.926,1
8,"female","Matching","Self","Self","Self","Alter cue",470,0.47,1
8,"female","Matching","Self","Self","Self","No cue",541,0.541,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",637,0.637,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",914,0.914,0
8,"female","Matching","Self","Self","Self","No cue",461,0.461,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",611,0.611,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",683,0.683,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",868,0.868,1
8,"female","Nonmatching","Self","Self","Self","No cue",599,0.599,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",829,0.829,0
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",756,0.756,1
8,"female","Matching","Self","Self","Self","Alter cue",504,0.504,1
8,"female","Matching","Familiar","Familiar","Celebrity","No cue",576,0.576,1
8,"female","Nonmatching","Self","Self","Self","Alter cue",642,0.642,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",731,0.731,1
8,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",808,0.808,1
8,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",711,0.711,0
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",567,0.567,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",670,0.67,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",526,0.526,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",651,0.651,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",374,0.374,0
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",542,0.542,0
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",587,0.587,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",661,0.661,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",544,0.544,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",571,0.571,1
9,"female","Nonmatching","Self","Self","Self","No cue",873,0.873,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",884,0.884,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",725,0.725,1
9,"female","Matching","Self","Self","Self","Alter cue",444,0.444,1
9,"female","Matching","Self","Self","Self","No cue",427,0.427,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",646,0.646,1
9,"female","Nonmatching","Self","Self","Self","No cue",801,0.801,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",516,0.516,1
9,"female","Nonmatching","Self","Self","Self","No cue",674,0.674,1
9,"female","Matching","Self","Self","Self","No cue",478,0.478,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",607,0.607,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",589,0.589,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",549,0.549,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",451,0.451,1
9,"female","Matching","Self","Self","Self","No cue",615,0.615,0
9,"female","Nonmatching","Self","Self","Self","Alter cue",725,0.725,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",593,0.593,0
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",591,0.591,1
9,"female","Nonmatching","Self","Self","Self","No cue",932,0.932,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",645,0.645,1
9,"female","Nonmatching","Self","Self","Self","No cue",606,0.606,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",521,0.521,0
9,"female","Matching","Self","Self","Self","Alter cue",508,0.508,1
9,"female","Matching","Self","Self","Self","No cue",795,0.795,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",748,0.748,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",460,0.46,0
9,"female","Matching","Self","Self","Self","No cue",553,0.553,1
9,"female","Matching","Self","Self","Self","Alter cue",555,0.555,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",744,0.744,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",705,0.705,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",824,0.824,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",644,0.644,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",660,0.66,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",416,0.416,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",462,0.462,1
9,"female","Matching","Self","Self","Self","Alter cue",510,0.51,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",771,0.771,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",703,0.703,1
9,"female","Matching","Self","Self","Self","No cue",490,0.49,1
9,"female","Matching","Self","Self","Self","Alter cue",452,0.452,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",770,0.77,0
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",664,0.664,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",942,0.942,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",622,0.622,0
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",666,0.666,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",679,0.679,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",699,0.699,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",574,0.574,0
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",949,0.949,1
9,"female","Nonmatching","Self","Self","Self","No cue",706,0.706,1
9,"female","Matching","Self","Self","Self","No cue",562,0.562,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",664,0.664,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",650,0.65,1
9,"female","Nonmatching","Self","Self","Self","No cue",579,0.579,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",593,0.593,1
9,"female","Matching","Self","Self","Self","No cue",650,0.65,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",551,0.551,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",671,0.671,1
9,"female","Nonmatching","Self","Self","Self","No cue",985,0.985,1
9,"female","Matching","Self","Self","Self","Alter cue",353,0.353,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",543,0.543,1
9,"female","Nonmatching","Self","Self","Self","No cue",681,0.681,0
9,"female","Matching","Self","Self","Self","No cue",524,0.524,1
9,"female","Nonmatching","Self","Self","Self","No cue",930,0.93,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",535,0.535,1
9,"female","Nonmatching","Self","Self","Self","No cue",574,0.574,0
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",720,0.72,1
9,"female","Nonmatching","Self","Self","Self","No cue",534,0.534,0
9,"female","Matching","Self","Self","Self","No cue",442,0.442,1
9,"female","Matching","Self","Self","Self","Alter cue",530,0.53,1
9,"female","Matching","Self","Self","Self","No cue",399,0.399,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",468,0.468,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",967,0.967,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",537,0.537,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",614,0.614,1
9,"female","Matching","Self","Self","Self","Alter cue",565,0.565,1
9,"female","Matching","Self","Self","Self","Alter cue",539,0.539,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",674,0.674,1
9,"female","Nonmatching","Self","Self","Self","No cue",857,0.857,1
9,"female","Matching","Self","Self","Self","Alter cue",513,0.513,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",506,0.506,0
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",715,0.715,1
9,"female","Matching","Self","Self","Self","No cue",652,0.652,0
9,"female","Nonmatching","Self","Self","Self","Alter cue",455,0.455,0
9,"female","Matching","Self","Self","Self","Alter cue",510,0.51,1
9,"female","Matching","Self","Self","Self","No cue",580,0.58,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",633,0.633,1
9,"female","Matching","Self","Self","Self","No cue",576,0.576,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",447,0.447,0
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",859,0.859,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",641,0.641,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",559,0.559,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",625,0.625,1
9,"female","Matching","Self","Self","Self","No cue",459,0.459,1
9,"female","Matching","Self","Self","Self","No cue",601,0.601,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",655,0.655,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",686,0.686,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",968,0.968,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",622,0.622,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",477,0.477,0
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",733,0.733,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",563,0.563,1
9,"female","Matching","Self","Self","Self","Alter cue",472,0.472,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",480,0.48,1
9,"female","Matching","Self","Self","Self","No cue",565,0.565,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",547,0.547,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",646,0.646,0
9,"female","Matching","Self","Self","Self","Alter cue",409,0.409,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",539,0.539,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",575,0.575,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",639,0.639,0
9,"female","Nonmatching","Self","Self","Self","No cue",638,0.638,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",618,0.618,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",657,0.657,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",716,0.716,1
9,"female","Nonmatching","Self","Self","Self","No cue",479,0.479,1
9,"female","Nonmatching","Self","Self","Self","No cue",760,0.76,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",430,0.43,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",623,0.623,1
9,"female","Matching","Self","Self","Self","Alter cue",364,0.364,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",564,0.564,0
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",628,0.628,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",780,0.78,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",890,0.89,1
9,"female","Nonmatching","Self","Self","Self","No cue",572,0.572,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",729,0.729,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",662,0.662,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",421,0.421,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",693,0.693,1
9,"female","Matching","Self","Self","Self","No cue",493,0.493,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",364,0.364,0
9,"female","Nonmatching","Self","Self","Self","Alter cue",516,0.516,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",389,0.389,0
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",505,0.505,0
9,"female","Nonmatching","Self","Self","Self","Alter cue",553,0.553,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",544,0.544,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",572,0.572,1
9,"female","Nonmatching","Self","Self","Self","No cue",482,0.482,1
9,"female","Matching","Self","Self","Self","Alter cue",331,0.331,1
9,"female","Matching","Self","Self","Self","No cue",559,0.559,1
9,"female","Matching","Self","Self","Self","Alter cue",526,0.526,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",643,0.643,1
9,"female","Matching","Self","Self","Self","No cue",303,0.303,1
9,"female","Matching","Self","Self","Self","No cue",331,0.331,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",449,0.449,0
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",351,0.351,0
9,"female","Matching","Self","Self","Self","No cue",378,0.378,1
9,"female","Matching","Self","Self","Self","Alter cue",296,0.296,1
9,"female","Nonmatching","Self","Self","Self","No cue",458,0.458,0
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",688,0.688,1
9,"female","Nonmatching","Self","Self","Self","No cue",677,0.677,0
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",992,0.992,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",498,0.498,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",508,0.508,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",794,0.794,1
9,"female","Nonmatching","Self","Self","Self","No cue",806,0.806,0
9,"female","Matching","Self","Self","Self","Alter cue",418,0.418,1
9,"female","Nonmatching","Self","Self","Self","No cue",877,0.877,1
9,"female","Matching","Self","Self","Self","Alter cue",672,0.672,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",457,0.457,0
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",728,0.728,1
9,"female","Matching","Self","Self","Self","Alter cue",467,0.467,1
9,"female","Matching","Self","Self","Self","Alter cue",373,0.373,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",715,0.715,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",790,0.79,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",574,0.574,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",905,0.905,1
9,"female","Matching","Self","Self","Self","Alter cue",603,0.603,1
9,"female","Matching","Self","Self","Self","Alter cue",434,0.434,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",584,0.584,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",372,0.372,1
9,"female","Matching","Familiar","Familiar","Celebrity","No cue",345,0.345,1
9,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",465,0.465,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",728,0.728,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",760,0.76,1
9,"female","Nonmatching","Self","Self","Self","No cue",681,0.681,0
9,"female","Matching","Self","Self","Self","Alter cue",345,0.345,1
9,"female","Matching","Self","Self","Self","Alter cue",288,0.288,1
9,"female","Nonmatching","Self","Self","Self","No cue",395,0.395,0
9,"female","Matching","Self","Self","Self","No cue",282,0.282,1
9,"female","Matching","Self","Self","Self","No cue",258,0.258,1
9,"female","Nonmatching","Self","Self","Self","Alter cue",457,0.457,1
9,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",526,0.526,0
9,"female","Nonmatching","Self","Self","Self","Alter cue",246,0.246,0
10,"female","Matching","Self","Self","Self","Alter cue",498,0.498,1
10,"female","Matching","Self","Self","Self","No cue",321,0.321,1
10,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",432,0.432,1
10,"female","Matching","Self","Self","Self","No cue",380,0.38,1
10,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",404,0.404,0
10,"female","Nonmatching","Self","Self","Self","Alter cue",348,0.348,0
10,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",601,0.601,1
10,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",594,0.594,1
10,"female","Matching","Self","Self","Self","Alter cue",466,0.466,1
10,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",418,0.418,1
10,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",496,0.496,1
10,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",373,0.373,1
10,"female","Nonmatching","Self","Self","Self","Alter cue",281,0.281,0
10,"female","Matching","Self","Self","Self","Alter cue",352,0.352,1
10,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",312,0.312,1
10,"female","Matching","Self","Self","Self","No cue",521,0.521,0
10,"female","Nonmatching","Self","Self","Self","No cue",536,0.536,1
10,"female","Matching","Self","Self","Self","Alter cue",346,0.346,1
10,"female","Nonmatching","Self","Self","Self","Alter cue",449,0.449,1
10,"female","Matching","Self","Self","Self","Alter cue",349,0.349,1
10,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",396,0.396,1
10,"female","Matching","Familiar","Familiar","Celebrity","No cue",476,0.476,0
10,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",620,0.62,0
10,"female","Matching","Self","Self","Self","No cue",652,0.652,0
10,"female","Nonmatching","Self","Self","Self","No cue",629,0.629,1
10,"female","Matching","Self","Self","Self","No cue",757,0.757,1
10,"female","Nonmatching","Self","Self","Self","Alter cue",460,0.46,1
10,"female","Matching","Self","Self","Self","Alter cue",530,0.53,1
10,"female","Matching","Self","Self","Self","No cue",809,0.809,1
10,"female","Nonmatching","Self","Self","Self","No cue",494,0.494,1
10,"female","Matching","Familiar","Familiar","Celebrity","No cue",730,0.73,1
10,"female","Matching","Familiar","Familiar","Celebrity","No cue",559,0.559,1
10,"female","Nonmatching","Self","Self","Self","Alter cue",421,0.421,1
10,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",831,0.831,1
10,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",667,0.667,1
10,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",762,0.762,1
10,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",486,0.486,1
10,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",606,0.606,0
10,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",516,0.516,1
10,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",492,0.492,1
10,"female","Matching","Self","Self","Self","No cue",650,0.65,1
10,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",728,0.728,0
10,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",849,0.849,1
10,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",564,0.564,1
10,"female","Nonmatching","Self","Self","Self","Alter cue",653,0.653,0
10,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",447,0.447,1
10,"female","Nonmatching","Self","Self","Self","No cue",594,0.594,1
10,"female","Matching","Familiar","Familiar","Celebrity","No cue",391,0.391,0
10,"female","Nonmatching","Self","Self","Self","No cue",430,0.43,1
10,"female","Nonmatching","Self","Self","Self","No cue",466,0.466,1
