"Subject","Gender","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Cue","RT_ms","RT_sec","ACC"
1,"female","Matching","Self","Self","Self","No cue",323,0.323,1
1,"female","Matching","Self","Self","Self","No cue",372,0.372,1
1,"female","Nonmatching","Self","Self","Self","No cue",534,0.534,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",471,0.471,0
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",645,0.645,0
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",883,0.883,0
1,"female","Nonmatching","Self","Self","Self","Alter cue",847,0.847,1
1,"female","Matching","Self","Self","Self","No cue",416,0.416,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",702,0.702,1
1,"female","Nonmatching","Self","Self","Self","No cue",675,0.675,0
1,"female","Matching","Self","Self","Self","Alter cue",423,0.423,1
1,"female","Matching","Self","Self","Self","No cue",536,0.536,1
1,"female","Matching","Self","Self","Self","No cue",455,0.455,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",450,0.45,0
1,"female","Matching","Self","Self","Self","No cue",518,0.518,0
1,"female","Nonmatching","Self","Self","Self","No cue",518,0.518,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",747,0.747,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",565,0.565,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",434,0.434,0
1,"female","Matching","Self","Self","Self","No cue",357,0.357,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",539,0.539,1
1,"female","Matching","Self","Self","Self","Alter cue",512,0.512,1
1,"female","Nonmatching","Self","Self","Self","No cue",655,0.655,1
1,"female","Nonmatching","Self","Self","Self","No cue",788,0.788,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",618,0.618,0
1,"female","Matching","Self","Self","Self","No cue",557,0.557,1
1,"female","Matching","Self","Self","Self","Alter cue",808,0.808,1
1,"female","Matching","Self","Self","Self","Alter cue",610,0.61,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",902,0.902,0
1,"female","Matching","Self","Self","Self","Alter cue",562,0.562,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",714,0.714,1
1,"female","Matching","Self","Self","Self","No cue",466,0.466,1
1,"female","Matching","Self","Self","Self","Alter cue",550,0.55,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",498,0.498,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",803,0.803,0
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",624,0.624,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",334,0.334,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",472,0.472,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",533,0.533,1
1,"female","Matching","Self","Self","Self","Alter cue",362,0.362,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",435,0.435,0
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",476,0.476,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",478,0.478,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",712,0.712,1
1,"female","Matching","Self","Self","Self","Alter cue",537,0.537,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",563,0.563,1
1,"female","Nonmatching","Self","Self","Self","No cue",710,0.71,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",420,0.42,0
1,"female","Matching","Self","Self","Self","Alter cue",291,0.291,1
1,"female","Matching","Self","Self","Self","No cue",367,0.367,1
1,"female","Matching","Self","Self","Self","Alter cue",369,0.369,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",509,0.509,1
1,"female","Matching","Self","Self","Self","Alter cue",453,0.453,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",524,0.524,1
1,"female","Matching","Self","Self","Self","No cue",399,0.399,1
1,"female","Nonmatching","Self","Self","Self","No cue",458,0.458,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",585,0.585,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",597,0.597,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",508,0.508,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",584,0.584,1
