"","Subject","Matching","Identity","Session","RT_ms","RT_sec","ACC"
"135",105,"Matching","Stranger","3",832,0.832,1
"136",105,"Matching","Stranger","3",582,0.582,1
"137",105,"Matching","Stranger","3",544,0.544,1
"138",105,"Matching","Stranger","3",673,0.673,1
"139",105,"Matching","Stranger","3",1068,1.068,1
"140",105,"Matching","Stranger","3",782,0.782,1
"141",105,"Matching","Stranger","3",858,0.858,1
"142",105,"Matching","Stranger","3",786,0.786,1
"143",105,"Matching","Stranger","3",732,0.732,1
"144",105,"Matching","Stranger","3",595,0.595,0
"145",105,"Matching","Stranger","3",884,0.884,1
"146",105,"Matching","Stranger","3",591,0.591,0
"147",105,"Matching","Stranger","3",900,0.9,0
"148",105,"Matching","Stranger","3",680,0.68,0
"149",105,"Matching","Stranger","3",1001,1.001,1
"150",105,"Matching","Stranger","3",946,0.946,1
"151",105,"Matching","Stranger","3",916,0.916,1
"152",105,"Matching","Stranger","3",653,0.653,1
"153",105,"Matching","Stranger","3",879,0.879,1
"154",105,"Matching","Stranger","3",760,0.76,1
"155",105,"Matching","Stranger","3",896,0.896,1
"156",105,"Matching","Stranger","3",954,0.954,1
"157",105,"Matching","Stranger","3",838,0.838,1
"158",105,"Matching","Stranger","3",996,0.996,1
"159",105,"Matching","Stranger","3",645,0.645,1
"160",105,"Matching","Stranger","3",878,0.878,1
"161",105,"Matching","Stranger","3",823,0.823,1
"162",105,"Matching","Stranger","3",1084,1.084,1
"163",105,"Matching","Stranger","3",624,0.624,0
"164",105,"Matching","Stranger","3",701,0.701,1
"165",105,"Matching","Stranger","3",823,0.823,1
"166",105,"Matching","Stranger","3",893,0.893,1
"167",105,"Matching","Stranger","3",651,0.651,1
"168",105,"Matching","Stranger","3",659,0.659,0
"169",105,"Matching","Stranger","3",700,0.7,1
"170",105,"Matching","Stranger","3",921,0.921,1
"171",105,"Matching","Stranger","3",659,0.659,1
"172",105,"Matching","Stranger","3",708,0.708,0
"173",105,"Matching","Stranger","3",613,0.613,0
"174",105,"Nonmatching","Self","3",629,0.629,0
"175",105,"Nonmatching","Self","3",664,0.664,1
"176",105,"Nonmatching","Self","3",937,0.937,0
"177",105,"Nonmatching","Self","3",884,0.884,1
"178",105,"Nonmatching","Self","3",916,0.916,1
"179",105,"Nonmatching","Self","3",1059,1.059,1
"180",105,"Nonmatching","Self","3",716,0.716,1
"181",105,"Nonmatching","Self","3",894,0.894,0
"182",105,"Nonmatching","Self","3",523,0.523,0
"183",105,"Nonmatching","Self","3",876,0.876,1
"184",105,"Nonmatching","Self","3",888,0.888,1
"185",105,"Nonmatching","Self","3",1006,1.006,1
"186",105,"Nonmatching","Self","3",906,0.906,1
"187",105,"Nonmatching","Self","3",939,0.939,0
"188",105,"Nonmatching","Self","3",917,0.917,1
"189",105,"Nonmatching","Self","3",587,0.587,1
"190",105,"Nonmatching","Self","3",606,0.606,1
"191",105,"Nonmatching","Self","3",596,0.596,1
"192",105,"Nonmatching","Self","3",620,0.62,1
"193",105,"Nonmatching","Self","3",653,0.653,1
"194",105,"Nonmatching","Self","3",1070,1.07,1
"195",105,"Nonmatching","Self","3",903,0.903,1
"196",105,"Nonmatching","Self","3",728,0.728,1
"197",105,"Nonmatching","Self","3",762,0.762,1
"198",105,"Nonmatching","Self","3",860,0.86,0
"199",105,"Nonmatching","Self","3",973,0.973,1
"200",105,"Nonmatching","Self","3",704,0.704,0
"201",105,"Nonmatching","Self","3",699,0.699,1
"202",105,"Nonmatching","Self","3",801,0.801,1
"203",105,"Nonmatching","Self","3",708,0.708,1
"204",105,"Nonmatching","Self","3",727,0.727,1
"205",105,"Nonmatching","Self","3",1075,1.075,1
"206",105,"Nonmatching","Self","3",683,0.683,1
"207",105,"Nonmatching","Self","3",656,0.656,1
"208",105,"Nonmatching","Self","3",807,0.807,1
"209",105,"Nonmatching","Self","3",937,0.937,1
"210",105,"Nonmatching","Self","3",841,0.841,1
"211",105,"Nonmatching","Self","3",725,0.725,1
"212",105,"Nonmatching","Self","3",732,0.732,1
"213",105,"Nonmatching","Self","3",947,0.947,1
"214",105,"Nonmatching","Self","3",829,0.829,1
"215",105,"Nonmatching","Self","3",729,0.729,1
"216",105,"Nonmatching","Self","3",698,0.698,1
"217",105,"Nonmatching","Self","3",1025,1.025,1
"218",105,"Nonmatching","Self","3",718,0.718,1
"219",105,"Nonmatching","Self","3",598,0.598,1
"220",105,"Nonmatching","Self","3",706,0.706,1
