"","Subject","Matching","Identity","RT_ms","RT_sec","ACC","Face_Gender"
"44",1001,"Matching","Self",444,0.444,1,"2"
"45",1001,"Matching","Self",475,0.475,1,"2"
"46",1001,"Matching","Self",392,0.392,1,"2"
"47",1001,"Matching","Self",430,0.43,1,"2"
"48",1001,"Matching","Self",468,0.468,1,"2"
"49",1001,"Matching","Self",581,0.581,1,"2"
"50",1001,"Matching","Self",774,0.774,1,"2"
"51",1001,"Matching","Self",611,0.611,1,"2"
"52",1001,"Matching","Self",459,0.459,1,"2"
"53",1001,"Matching","Self",451,0.451,1,"2"
"54",1001,"Matching","Self",459,0.459,1,"2"
"55",1001,"Matching","Self",327,0.327,1,"2"
"56",1001,"Matching","Self",395,0.395,1,"2"
"57",1001,"Matching","Self",455,0.455,1,"1"
"58",1001,"Matching","Self",535,0.535,1,"1"
"59",1001,"Matching","Self",544,0.544,1,"1"
"60",1001,"Matching","Self",617,0.617,1,"1"
"61",1001,"Matching","Self",590,0.59,1,"1"
"62",1001,"Matching","Self",398,0.398,1,"1"
"63",1001,"Matching","Self",548,0.548,1,"1"
"64",1001,"Matching","Self",961,0.961,1,"1"
"65",1001,"Matching","Self",533,0.533,1,"1"
"66",1001,"Matching","Self",447,0.447,1,"1"
"67",1001,"Matching","Self",1048,1.048,1,"1"
"68",1001,"Matching","Self",513,0.513,1,"1"
"69",1001,"Matching","Self",563,0.563,1,"1"
"70",1001,"Matching","Self",446,0.446,1,"1"
"71",1001,"Matching","Self",562,0.562,1,"1"
"72",1001,"Matching","Self",544,0.544,1,"1"
"73",1001,"Matching","Self",423,0.423,1,"1"
"74",1001,"Matching","Self",559,0.559,1,"1"
"75",1001,"Matching","Self",536,0.536,1,"1"
"76",1001,"Matching","Self",489,0.489,1,"1"
"77",1001,"Matching","Self",449,0.449,1,"1"
"78",1001,"Matching","Self",456,0.456,1,"1"
"79",1001,"Matching","Self",684,0.684,1,"1"
"80",1001,"Matching","Self",555,0.555,1,"1"
"81",1001,"Matching","Self",704,0.704,1,"1"
"82",1001,"Matching","Self",518,0.518,1,"1"
"83",1001,"Matching","Self",920,0.92,1,"1"
"84",1001,"Matching","Self",460,0.46,1,"1"
"85",1001,"Matching","Self",772,0.772,1,"1"
"86",1001,"Matching","Self",539,0.539,1,"1"
"87",1001,"Matching","Self",460,0.46,1,"1"
"88",1001,"Matching","Self",363,0.363,1,"1"
"89",1001,"Matching","Self",488,0.488,1,"1"
"90",1001,"Matching","Self",604,0.604,1,"1"
"91",1001,"Matching","Self",392,0.392,1,"1"
"92",1001,"Matching","Self",458,0.458,1,"1"
"93",1001,"Matching","Self",473,0.473,1,"1"
"94",1001,"Matching","Self",482,0.482,1,"1"
"95",1001,"Matching","Self",450,0.45,1,"1"
"96",1001,"Matching","Self",355,0.355,1,"1"
"97",1001,"Matching","Self",529,0.529,1,"1"
"98",1001,"Matching","Self",393,0.393,1,"1"
"99",1001,"Matching","Self",476,0.476,1,"1"
"100",1001,"Matching","Self",516,0.516,1,"1"
"101",1001,"Matching","Self",593,0.593,1,"1"
"102",1001,"Matching","Self",399,0.399,1,"1"
"103",1001,"Matching","Self",573,0.573,1,"1"
"104",1001,"Matching","Self",443,0.443,1,"1"
"105",1001,"Matching","Self",550,0.55,1,"1"
"106",1001,"Matching","Self",497,0.497,1,"1"
"107",1001,"Matching","Self",483,0.483,1,"1"
"108",1001,"Matching","Self",690,0.69,1,"1"
"109",1001,"Matching","Self",487,0.487,1,"1"
"110",1001,"Matching","Self",587,0.587,1,"1"
"111",1001,"Matching","Self",472,0.472,1,"1"
"112",1001,"Matching","Friend",518,0.518,1,"2"
"113",1001,"Matching","Friend",456,0.456,1,"2"
"114",1001,"Matching","Friend",668,0.668,1,"2"
"115",1001,"Matching","Friend",506,0.506,1,"2"
"116",1001,"Matching","Friend",524,0.524,1,"2"
"117",1001,"Matching","Friend",350,0.35,1,"2"
"118",1001,"Matching","Friend",339,0.339,1,"2"
"119",1001,"Matching","Friend",539,0.539,1,"2"
"120",1001,"Matching","Friend",459,0.459,1,"2"
"121",1001,"Matching","Friend",430,0.43,1,"2"
