"","Subject","Trial","Matching","Face","Label","Response","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
"100",2,36,"Nonmatching","m38","Stranger","left","Stranger","User","Self","Self",7439.1,7.4391,1
"101",2,37,"Nonmatching","f18","Stranger","right","Stranger","Other","Stranger","Stranger",2548.7,2.5487,1
"102",2,38,"Matching","f4","Me","left","Me","User","Self","Self",2353.8,2.3538,0
"103",2,39,"Matching","f4","Stranger","left","Stranger","User","Self","Self",2769.7,2.7697,1
"104",2,40,"Matching","f27","Me","right","Me","User","Self","Self",2039.9,2.0399,1
"105",2,41,"Matching","m35","Stranger","right","Stranger","Other","Stranger","Stranger",1152,1.152,1
"106",2,42,"Matching","f4","Stranger","right","Stranger","User","Self","Self",1519.9,1.5199,0
"107",2,43,"Nonmatching","m35","Stranger","right","Stranger","Other","Stranger","Stranger",950.7,0.9507,1
"108",2,44,"Nonmatching","f18","Stranger","right","Stranger","Other","Stranger","Stranger",1869.5,1.8695,1
"109",2,45,"Nonmatching","f18","Me","left","Me","Other","Stranger","Stranger",914.6999999,0.9146999999,1
"110",2,46,"Nonmatching","f18","Me","left","Me","Other","Stranger","Stranger",1804.7,1.8047,1
"111",2,47,"Nonmatching","f4","Stranger","right","Stranger","User","Self","Self",864.8000001,0.8648000001,0
"112",2,48,"Nonmatching","f4","Me","left","Me","User","Self","Self",2792.1,2.7921,0
"113",2,49,"Nonmatching","m33","Me","right","Me","User","Self","Self",1363.4,1.3634,1
"114",2,50,"Nonmatching","m34","Stranger","right","Stranger","Other","Stranger","Stranger",1214.6,1.2146,1
"115",2,51,"Matching","m34","Stranger","right","Stranger","Other","Stranger","Stranger",842.3000001,0.8423000001,1
"116",2,52,"Matching","m33","Me","right","Me","User","Self","Self",604.6999999,0.6046999999,1
"117",2,53,"Matching","f4","Me","right","Me","User","Self","Self",1910.9,1.9109,1
"118",2,54,"Nonmatching","f27","Me","right","Me","User","Self","Self",664.6999999,0.6646999999,1
"119",2,55,"Nonmatching","m33","Stranger","left","Stranger","User","Self","Self",1666.6,1.6666,1
"120",2,56,"Matching","m34","Me","left","Me","Other","Stranger","Stranger",2251.4,2.2514,1
"121",2,57,"Matching","f18","Stranger","left","Stranger","Other","Stranger","Stranger",2284.9,2.2849,0
"122",2,58,"Nonmatching","m33","Me","right","Me","User","Self","Self",1300.1,1.3001,1
"123",2,59,"Matching","m38","Stranger","left","Stranger","User","Self","Self",1007.6,1.0076,1
"124",2,60,"Nonmatching","m34","Me","left","Me","Other","Stranger","Stranger",2421.7,2.4217,1
"125",2,61,"Nonmatching","f4","Me","right","Me","User","Self","Self",1503.9,1.5039,1
"126",2,62,"Matching","m35","Me","left","Me","Other","Stranger","Stranger",1659.6,1.6596,1
"127",2,63,"Matching","m34","Me","left","Me","Other","Stranger","Stranger",833.1,0.8331,1
"128",2,64,"Matching","m38","Me","right","Me","User","Self","Self",640.6,0.6406,1
"129",3,1,"Matching","f15","Stranger","right","Stranger","User","Self","Self",1211.5,1.2115,0
"130",3,2,"Nonmatching","f27","Stranger","right","Stranger","Other","Stranger","Stranger",1598.4,1.5984,1
"131",3,3,"Nonmatching","m35","Me","right","Me","User","Self","Self",2570,2.57,1
"132",3,4,"Nonmatching","f15","Me","right","Me","User","Self","Self",1603.9,1.6039,1
"133",3,5,"Nonmatching","m38","Stranger","right","Stranger","Other","Stranger","Stranger",1226.9,1.2269,1
"134",3,6,"Nonmatching","m33","Stranger","right","Stranger","Other","Stranger","Stranger",1930,1.93,1
"135",3,7,"Matching","m34","Stranger","right","Stranger","User","Self","Self",1415.4,1.4154,0
"136",3,8,"Matching","m34","Stranger","left","Stranger","User","Self","Self",1179,1.179,1
"137",3,9,"Matching","m38","Me","right","Me","Other","Stranger","Stranger",1367.1,1.3671,0
"138",3,10,"Nonmatching","f18","Stranger","left","Stranger","User","Self","Self",783.2,0.7832,1
"139",3,11,"Nonmatching","m33","Me","left","Me","Other","Stranger","Stranger",2294.6,2.2946,1
"140",3,12,"Matching","f27","Stranger","right","Stranger","Other","Stranger","Stranger",1685.8,1.6858,1
"141",3,13,"Nonmatching","f27","Me","left","Me","Other","Stranger","Stranger",1393.2,1.3932,1
"142",3,14,"Matching","m33","Stranger","left","Stranger","Other","Stranger","Stranger",1121.8,1.1218,0
"143",3,15,"Nonmatching","f15","Me","right","Me","User","Self","Self",1060.7,1.0607,1
"144",3,16,"Matching","f15","Me","right","Me","User","Self","Self",929.5,0.9295,1
"145",3,17,"Nonmatching","f27","Stranger","right","Stranger","Other","Stranger","Stranger",1074.2,1.0742,1
"146",3,18,"Matching","m35","Stranger","right","Stranger","User","Self","Self",1069.4,1.0694,0
"147",3,19,"Nonmatching","f15","Stranger","left","Stranger","User","Self","Self",1881.2,1.8812,1
"148",3,20,"Nonmatching","f27","Me","left","Me","Other","Stranger","Stranger",964.1,0.9641,1
"149",3,21,"Matching","f18","Me","left","Me","User","Self","Self",877.2,0.8772,0
"150",3,22,"Matching","m38","Stranger","left","Stranger","Other","Stranger","Stranger",885.6,0.8856,0
"151",3,23,"Nonmatching","f15","Stranger","left","Stranger","User","Self","Self",470.2,0.4702,1
"152",3,24,"Nonmatching","f18","Me","left","Me","User","Self","Self",451.4,0.4514,0
"153",3,25,"Nonmatching","m38","Stranger","left","Stranger","Other","Stranger","Stranger",1544.1,1.5441,0
"154",3,26,"Nonmatching","f18","Me","right","Me","User","Self","Self",871.8,0.8718,1
"155",3,27,"Matching","f15","Me","right","Me","User","Self","Self",1939.1,1.9391,1
"156",3,28,"Nonmatching","m38","Me","left","Me","Other","Stranger","Stranger",610.9,0.6109,1
"157",3,29,"Matching","m34","Me","left","Me","User","Self","Self",863,0.863,0
"158",3,30,"Matching","f4","Me","right","Me","Other","Stranger","Stranger",852.3,0.8523,0
"159",3,31,"Matching","f27","Me","left","Me","Other","Stranger","Stranger",1977.6,1.9776,1
"160",3,32,"Matching","m35","Stranger","left","Stranger","User","Self","Self",1301.9,1.3019,1
"161",3,33,"Matching","f18","Stranger","right","Stranger","User","Self","Self",1797.5,1.7975,0
"162",3,34,"Matching","m38","Stranger","left","Stranger","Other","Stranger","Stranger",684,0.684,0
"163",3,35,"Matching","m35","Me","left","Me","User","Self","Self",709.2,0.7092,0
"164",3,36,"Nonmatching","f18","Stranger","right","Stranger","User","Self","Self",864.9,0.8649,0
"165",3,37,"Matching","m34","Me","left","Me","User","Self","Self",1017.8,1.0178,0
"166",3,38,"Nonmatching","f4","Me","left","Me","Other","Stranger","Stranger",1062.2,1.0622,1
"167",3,39,"Nonmatching","f4","Me","left","Me","Other","Stranger","Stranger",1446.1,1.4461,1
"168",3,40,"Matching","f4","Me","left","Me","Other","Stranger","Stranger",853.8,0.8538,1
"169",3,41,"Nonmatching","m34","Me","left","Me","User","Self","Self",2261.3,2.2613,0
"170",3,42,"Matching","m33","Me","left","Me","Other","Stranger","Stranger",1223.3,1.2233,1
"171",3,43,"Nonmatching","m34","Stranger","left","Stranger","User","Self","Self",489.4,0.4894,1
"172",3,44,"Nonmatching","m35","Stranger","left","Stranger","User","Self","Self",7113.5,7.1135,1
"173",3,45,"Matching","m33","Me","left","Me","Other","Stranger","Stranger",1024.1,1.0241,1
"174",3,46,"Nonmatching","m34","Stranger","right","Stranger","User","Self","Self",1374.6,1.3746,0
"175",3,47,"Matching","f18","Stranger","right","Stranger","User","Self","Self",992.7,0.9927,0
"176",3,48,"Matching","f27","Me","left","Me","Other","Stranger","Stranger",1221.7,1.2217,1
"177",3,49,"Matching","m33","Stranger","right","Stranger","Other","Stranger","Stranger",1081.2,1.0812,1
"178",3,50,"Matching","f4","Stranger","left","Stranger","Other","Stranger","Stranger",2045.4,2.0454,0
"179",3,51,"Matching","f18","Me","right","Me","User","Self","Self",693.3,0.6933,1
"180",3,52,"Matching","f27","Stranger","right","Stranger","Other","Stranger","Stranger",480.2,0.4802,1
"181",3,53,"Nonmatching","f4","Stranger","right","Stranger","Other","Stranger","Stranger",1144,1.144,1
"182",3,54,"Nonmatching","f4","Stranger","right","Stranger","Other","Stranger","Stranger",502.3,0.5023,1
"183",3,55,"Matching","m38","Me","left","Me","Other","Stranger","Stranger",507.6,0.5076,1
"184",3,56,"Nonmatching","m38","Me","right","Me","Other","Stranger","Stranger",394.2,0.3942,0
"185",3,57,"Matching","m35","Me","left","Me","User","Self","Self",737.1,0.7371,0
"186",3,58,"Nonmatching","m33","Me","left","Me","Other","Stranger","Stranger",415.8,0.4158,1
"187",3,59,"Nonmatching","m35","Me","right","Me","User","Self","Self",466.5,0.4665,1
"188",3,60,"Nonmatching","m35","Stranger","left","Stranger","User","Self","Self",450,0.45,1
"189",3,61,"Nonmatching","m33","Stranger","right","Stranger","Other","Stranger","Stranger",411.5,0.4115,1
"190",3,62,"Matching","f4","Stranger","right","Stranger","Other","Stranger","Stranger",2022.6,2.0226,1
"191",3,63,"Matching","f15","Stranger","left","Stranger","User","Self","Self",805.4,0.8054,1
"192",3,64,"Nonmatching","m34","Me","left","Me","User","Self","Self",1447.7,1.4477,0
