SessionDate,Subject,Age,Handedness,MotherTongue,LabelOrder,Procedure[SubTrial],CloseShape,CloseWord,MediumShape,MediumWord,FarShape,FarWord,BlockType,Target.RT,Target.ACC,Target.CRESP,Target.RESP,Congruent,Incongruent,Sex,Stimulus,Word
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,932,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,760,1,z,z,m,z,female,circle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,738,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,958,1,z,z,m,z,female,circle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,671,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,1422,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,845,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,596,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,581,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,679,1,z,z,m,z,female,circle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,741,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,705,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,702,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,555,0,z,m,m,z,female,square.bmp,Self
