"Subject","Cohens_d_RT","deta_RT","Cohens_d_ACC","deta_ACC","Matching","Condition"
24,-0.214923138016687,-44.9922829406632,-0.118795150804949,-0.0309500436300174,"Nonmatching","Self-Stranger"
25,-0.00825229328358707,-1.95253107548189,0.105661396718224,0.0524229868492163,"Matching","Self-Stranger"
25,0.110868708236299,24.5449438202248,-0.0224612188752006,-0.0112359550561797,"Nonmatching","Self-Stranger"
26,-0.0551588899915056,-8.6875,0.0657105805442822,0.015625,"Matching","Self-Stranger"
26,-0.219048017105902,-30.6477521929825,0.0782859742611765,0.0161732456140351,"Nonmatching","Self-Stranger"
27,-0.0434067854723788,-16.0173767752716,-0.122364748719046,-0.0602060707323866,"Matching","Self-Stranger"
27,-0.0770400766891017,-26.9574468085107,0.0695980368928391,0.034816247582205,"Nonmatching","Self-Stranger"
28,0.000592336172330985,0.149517773491311,0.00141689522261237,0.000358225406448032,"Matching","Self-Stranger"
28,-0.0775993708100274,-20.7216685330347,0.0928842238511481,0.0217805151175812,"Nonmatching","Self-Stranger"
29,-0.701890829306966,-176.246073298429,0.505560390677443,0.136125654450262,"Matching","Self-Stranger"
29,0.182361816971625,46.3886088709677,0.0444225922288454,0.0142809139784946,"Nonmatching","Self-Stranger"
30,0.00739575286516717,1.54947246711953,-0.0428490629519654,-0.0214770920653274,"Matching","Self-Stranger"
30,-0.194734054742945,-34.8518518518518,-0.158846434747414,-0.0793650793650794,"Nonmatching","Self-Stranger"
31,-0.532564063494141,-80.109375,0.403544864777751,0.119791666666667,"Matching","Self-Stranger"
31,0.101096736858212,14.796875,0.0960977937943978,0.03125,"Nonmatching","Self-Stranger"
32,-0.202874534642076,-48.3824662813103,0.437292813623244,0.143172353782087,"Matching","Self-Stranger"
32,-0.284044909710057,-66.215639106676,0.174953575546066,0.0697612259444049,"Nonmatching","Self-Stranger"
33,-0.239159934928392,-29.703125,0.291007500269017,0.09375,"Matching","Self-Stranger"
33,-0.0181047130328332,-2.20833333333326,-0.0544527486730713,-0.0208333333333334,"Nonmatching","Self-Stranger"
34,0.0560037868561562,14.3514191237255,-0.157441802397939,-0.0569302838247452,"Matching","Self-Stranger"
34,-0.417620320044932,-97.8641543242713,-0.103187332796956,-0.0387490550718145,"Nonmatching","Self-Stranger"
35,-0.0965784564377614,-34.3089373079987,-0.0853637896797017,-0.036096256684492,"Matching","Self-Stranger"
35,-0.019085187496409,-6.29508196721304,0.0999407904616822,0.0382513661202186,"Nonmatching","Self-Stranger"
36,-0.805520060474512,-148.904255319149,0.430996285541927,0.112145390070922,"Matching","Self-Stranger"
36,-0.366677783999949,-69.6699735449736,0.110057395814244,0.027281746031746,"Nonmatching","Self-Stranger"
