"","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
"77",1,"Nonmatching","Self",617,0.617,1
"78",1,"Nonmatching","Self",434,0.434,1
"79",1,"Nonmatching","Self",556,0.556,1
"80",1,"Nonmatching","Self",494,0.494,1
"81",1,"Nonmatching","Self",491,0.491,1
"82",1,"Nonmatching","Self",493,0.493,1
"83",1,"Nonmatching","Self",496,0.496,1
"84",1,"Nonmatching","Self",458,0.458,1
"85",1,"Nonmatching","Self",542,0.542,1
"86",1,"Nonmatching","Self",499,0.499,1
"87",1,"Nonmatching","Self",498,0.498,1
"88",1,"Nonmatching","Self",486,0.486,1
"89",1,"Nonmatching","Self",458,0.458,1
"90",1,"Nonmatching","Mother",1282,1.282,1
"91",1,"Nonmatching","Mother",797,0.797,0
"92",1,"Nonmatching","Mother",504,0.504,1
"93",1,"Nonmatching","Mother",695,0.695,1
"94",1,"Nonmatching","Mother",461,0.461,1
"95",1,"Nonmatching","Mother",812,0.812,1
"96",1,"Nonmatching","Mother",382,0.382,1
"97",1,"Nonmatching","Mother",482,0.482,0
"98",1,"Nonmatching","Mother",393,0.393,1
"99",1,"Nonmatching","Mother",421,0.421,1
"100",1,"Nonmatching","Mother",396,0.396,1
"101",1,"Nonmatching","Mother",568,0.568,1
"102",1,"Nonmatching","Mother",500,0.5,1
"103",1,"Nonmatching","Mother",351,0.351,1
"104",1,"Nonmatching","Mother",603,0.603,1
"105",1,"Nonmatching","Mother",483,0.483,1
"106",1,"Nonmatching","Mother",461,0.461,1
"107",1,"Nonmatching","Mother",497,0.497,1
"108",1,"Nonmatching","none",725,0.725,1
"109",1,"Nonmatching","none",906,0.906,1
"110",1,"Nonmatching","none",715,0.715,1
"111",1,"Nonmatching","none",1037,1.037,1
"112",1,"Nonmatching","none",534,0.534,1
"113",1,"Nonmatching","none",620,0.62,1
"114",1,"Nonmatching","none",580,0.58,1
"115",1,"Nonmatching","none",572,0.572,1
"116",1,"Nonmatching","none",661,0.661,1
"117",1,"Nonmatching","none",651,0.651,1
"118",1,"Nonmatching","none",466,0.466,0
"119",1,"Nonmatching","none",539,0.539,1
"120",1,"Nonmatching","none",497,0.497,1
"121",1,"Nonmatching","none",395,0.395,1
"122",1,"Nonmatching","none",525,0.525,1
"123",1,"Nonmatching","none",364,0.364,1
"124",1,"Nonmatching","none",504,0.504,0
"125",1,"Nonmatching","none",514,0.514,1
"126",1,"Nonmatching","Acquaintance",1358,1.358,1
"127",1,"Nonmatching","Acquaintance",751,0.751,1
"128",1,"Nonmatching","Acquaintance",534,0.534,1
"129",1,"Nonmatching","Acquaintance",630,0.63,1
"130",1,"Nonmatching","Acquaintance",518,0.518,1
"131",1,"Nonmatching","Acquaintance",533,0.533,1
"132",1,"Nonmatching","Acquaintance",554,0.554,1
"133",1,"Nonmatching","Acquaintance",528,0.528,1
"134",1,"Nonmatching","Acquaintance",599,0.599,1
"135",1,"Nonmatching","Acquaintance",575,0.575,1
"136",1,"Nonmatching","Acquaintance",515,0.515,1
"137",1,"Nonmatching","Acquaintance",433,0.433,1
"138",1,"Nonmatching","Acquaintance",418,0.418,1
"139",1,"Nonmatching","Acquaintance",484,0.484,1
"140",1,"Nonmatching","Acquaintance",444,0.444,0
"141",1,"Nonmatching","Acquaintance",449,0.449,1
"142",1,"Nonmatching","Acquaintance",416,0.416,1
"143",1,"Nonmatching","Acquaintance",416,0.416,1
"144",2,"Matching","Self",394,0.394,1
"145",2,"Matching","Self",455,0.455,0
"146",2,"Matching","Self",544,0.544,1
"147",2,"Matching","Self",352,0.352,1
"148",2,"Matching","Self",507,0.507,1
"149",2,"Matching","Self",417,0.417,1
"150",2,"Matching","Self",421,0.421,1
"151",2,"Matching","Self",450,0.45,1
"152",2,"Matching","Self",411,0.411,0
"153",2,"Matching","Self",427,0.427,1
"154",2,"Matching","Self",515,0.515,1
"155",2,"Matching","Self",431,0.431,1
"156",2,"Matching","Self",408,0.408,1
"157",2,"Matching","Self",482,0.482,1
"158",2,"Matching","Self",460,0.46,1
"159",2,"Matching","Self",464,0.464,1
"160",2,"Matching","Self",474,0.474,1
"161",2,"Matching","Self",438,0.438,1
"162",2,"Matching","Mother",341,0.341,1
"163",2,"Matching","Mother",715,0.715,1
"164",2,"Matching","Mother",503,0.503,1
"165",2,"Matching","Mother",517,0.517,1
"166",2,"Matching","Mother",607,0.607,1
"167",2,"Matching","Mother",396,0.396,1
"168",2,"Matching","Mother",551,0.551,1
"169",2,"Matching","Mother",508,0.508,1
"170",2,"Matching","Mother",467,0.467,1
"171",2,"Matching","Mother",354,0.354,1
"172",2,"Matching","Mother",445,0.445,1
"173",2,"Matching","Mother",409,0.409,0
"174",2,"Matching","Mother",611,0.611,1
"175",2,"Matching","Mother",332,0.332,1
"176",2,"Matching","Mother",539,0.539,1
"177",2,"Matching","Mother",579,0.579,1
"178",2,"Matching","Mother",542,0.542,1
"179",2,"Matching","none",368,0.368,1
"180",2,"Matching","none",484,0.484,1
"181",2,"Matching","none",497,0.497,1
"182",2,"Matching","none",513,0.513,1
"183",2,"Matching","none",337,0.337,1
"184",2,"Matching","none",516,0.516,1
"185",2,"Matching","none",400,0.4,1
