"Subject","P1Age","P2Age","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","ShapeLoc","Response","RT_ms","RT_sec","ACC"
1,24,21,1,42,"StrangerTeam","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",783.701933,0.783701933,1
1,24,21,1,43,"StrangerTeam","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Bottom","num_3",483.562137,0.483562137,1
1,24,21,1,44,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",483.716896,0.483716896,0
1,24,21,1,45,"StrangerTeam","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Top","z",633.594727,0.633594727,0
1,24,21,1,46,"Team","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",517.005973,0.517005973,1
1,24,21,1,47,"Stranger","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Bottom","num_3",683.790486,0.683790486,1
1,24,21,1,48,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Top","num_3",550.302551,0.550302551,0
1,24,21,1,49,"Team","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Top","num_3",667.12068,0.66712068,1
1,24,21,1,50,"Person2","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",650.265322,0.650265322,1
1,24,21,1,51,"Stranger","Team","Nonmatching",NA,"Team","Group-Self","Self","Bottom","num_3",766.909742,0.766909742,1
1,24,21,1,52,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Bottom","z",633.783833,0.633783833,1
1,24,21,1,53,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","z",850.257189,0.850257189,1
1,24,21,1,54,"Person1","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",650.219526,0.650219526,1
1,24,21,1,55,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Top","z",600.240509,0.600240509,1
1,24,21,1,56,"Team","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",550.288338,0.550288338,1
1,24,21,1,57,"Person2","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Bottom","num_3",833.56488,0.83356488,1
1,24,21,1,58,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Bottom","z",500.258788,0.500258788,1
1,24,21,1,59,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",650.251109,0.650251109,0
1,24,21,1,60,"StrangerTeam","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Top","z",916.921803,0.916921803,0
1,24,21,1,61,"Person1","Team","Nonmatching",NA,"Team","Group-Self","Self","Top","num_3",733.569736,0.733569736,1
1,24,21,1,62,"Person1","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Top","num_3",867.340344,0.867340344,1
1,24,21,1,63,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Top","z",766.85526,0.76685526,1
1,24,21,1,64,"Team","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Top","num_3",583.556491,0.583556491,1
1,24,21,1,65,"Person2","Team","Nonmatching",NA,"Team","Group-Self","Self","Top","num_3",1067.062961,1.067062961,1
