"Subject","Age","Gender","Handedness","Label","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Condition","Race","RT_ms","RT_sec","ACC"
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",642.6134089,0.6426134089,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",661.8440191,0.6618440191,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",799.3741962,0.7993741962,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",774.8422301,0.7748422301,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",943.349289,0.943349289,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",654.9086601,0.6549086601,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",684.410132,0.684410132,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",772.7298141,0.7727298141,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",462.370985,0.462370985,0
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",724.6757091,0.7246757091,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",649.969379,0.649969379,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",482.5122061,0.4825122061,0
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",705.543376,0.705543376,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",582.5070259,0.5825070259,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",664.981856,0.664981856,0
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",720.7811172,0.7207811172,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",694.4203631,0.6944203631,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",834.784175,0.834784175,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",572.3971571,0.5723971571,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",674.7036718,0.6747036718,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",743.927706,0.743927706,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",629.6551689,0.6296551689,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",NA,NA,2
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",422.238512,0.422238512,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",602.3935762,0.6023935762,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",845.0298491,0.8450298491,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",752.7936681,0.7527936681,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",704.673535,0.704673535,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",731.966832,0.731966832,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",852.6783711,0.8526783711,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",897.6194051,0.8976194051,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",630.8341271,0.6308341271,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",631.0418718,0.6310418718,1
