"","Subject","Age","Gender","Handedness","Shape","Identity","Matching","Response","RT_ms","ACC","RT_sec"
"1734",24408280,21,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,494,1,0.494
"1735",24408280,21,"Mujer","Diestro","cuadrado","amigo","Matching",5,644,1,0.644
"1736",24408280,21,"Mujer","Diestro","cuadrado","amigo","Matching",5,561,1,0.561
"1737",24408280,21,"Mujer","Diestro","circulo","amigo","Nonmatching",1,504,1,0.504
"1738",24408280,21,"Mujer","Diestro","cuadrado","amigo","Matching",5,468,1,0.468
"1739",24408280,21,"Mujer","Diestro","cuadrado","amigo","Matching",5,437,1,0.437
"1740",24408280,21,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,426,1,0.426
"1741",24408280,21,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,519,1,0.519
"1742",24408280,21,"Mujer","Diestro","cuadrado","amigo","Matching",5,513,1,0.513
"1743",24408280,21,"Mujer","Diestro","circulo","amigo","Nonmatching",NA,0,0,0
"1744",24408280,21,"Mujer","Diestro","circulo","amigo","Nonmatching",1,319,1,0.319
"1745",24408280,21,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,437,1,0.437
"1746",24408280,21,"Mujer","Diestro","cuadrado","amigo","Matching",5,492,1,0.492
"1747",24408280,21,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,405,1,0.405
"1748",24408280,21,"Mujer","Diestro","cuadrado","amigo","Matching",5,720,1,0.72
"1749",24408280,21,"Mujer","Diestro","circulo","amigo","Nonmatching",1,717,1,0.717
"1750",24408280,21,"Mujer","Diestro","cuadrado","amigo","Matching",5,492,1,0.492
"1751",24408280,21,"Mujer","Diestro","circulo","amigo","Nonmatching",1,535,1,0.535
"1752",24408280,21,"Mujer","Diestro","cuadrado","amigo","Matching",5,429,1,0.429
"1753",24408280,21,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,492,1,0.492
"1754",24408280,21,"Mujer","Diestro","triangulo","amigo","Nonmatching",1,438,1,0.438
"1755",24408280,21,"Mujer","Diestro","cuadrado","amigo","Matching",5,444,1,0.444
"1756",24408280,21,"Mujer","Diestro","circulo","amigo","Nonmatching",5,500,0,0.5
"1757",24408280,21,"Mujer","Diestro","cuadrado","amigo","Matching",5,612,1,0.612
"1758",24408280,21,"Mujer","Diestro","cuadrado","amigo","Matching",5,477,1,0.477
"1759",24408280,21,"Mujer","Diestro","circulo","amigo","Nonmatching",1,460,1,0.46
"1760",24408280,21,"Mujer","Diestro","cuadrado","amigo","Matching",5,527,1,0.527
"1761",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,407,0,0.407
"1762",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",5,581,0,0.581
"1763",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,460,1,0.46
"1764",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,415,1,0.415
"1765",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,955,1,0.955
"1766",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,569,0,0.569
"1767",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,509,1,0.509
"1768",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,403,1,0.403
"1769",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,690,1,0.69
"1770",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,330,0,0.33
"1771",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,886,1,0.886
"1772",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,616,1,0.616
"1773",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,431,1,0.431
"1774",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,786,1,0.786
"1775",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,497,1,0.497
"1776",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,568,1,0.568
"1777",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,499,1,0.499
"1778",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,573,1,0.573
"1779",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",5,521,0,0.521
"1780",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",5,444,0,0.444
