"","Subject","Matching","Identity","Session","RT_ms","RT_sec","ACC","condition1level"
"405",3,"Matching","Self","1",483,0.483,1,1
"406",3,"Matching","Self","1",554,0.554,1,2
"407",3,"Matching","Self","1",565,0.565,1,2
"408",3,"Matching","Self","1",349,0.349,1,1
"409",3,"Matching","Self","1",411,0.411,1,1
"410",3,"Matching","Self","1",606,0.606,1,2
"411",3,"Matching","Self","1",473,0.473,1,2
"412",3,"Matching","Self","1",432,0.432,1,2
"413",3,"Matching","Self","1",486,0.486,1,1
"414",3,"Matching","Self","1",446,0.446,1,2
"415",3,"Matching","Self","1",451,0.451,1,1
"416",3,"Matching","Self","1",371,0.371,1,1
"417",3,"Matching","Self","1",515,0.515,1,1
"418",3,"Matching","Self","1",596,0.596,1,1
"419",3,"Matching","Self","1",389,0.389,1,1
"420",3,"Matching","Self","1",637,0.637,1,1
"421",3,"Matching","Self","1",448,0.448,1,2
"422",3,"Matching","Self","1",350,0.35,1,1
"423",3,"Matching","Self","1",507,0.507,1,2
"424",3,"Matching","Self","1",366,0.366,1,2
"425",3,"Matching","Self","1",356,0.356,1,1
"426",3,"Matching","Self","1",445,0.445,1,2
"427",3,"Matching","Self","1",342,0.342,1,2
"428",3,"Matching","Self","1",471,0.471,1,2
"429",3,"Matching","Self","1",469,0.469,1,1
"430",3,"Matching","Self","1",284,0.284,1,1
"431",3,"Matching","Self","1",314,0.314,1,1
"432",3,"Matching","Self","1",344,0.344,1,1
"433",3,"Matching","Self","1",567,0.567,1,2
"434",3,"Matching","Self","1",437,0.437,1,2
"435",3,"Matching","Self","1",846,0.846,0,2
"436",3,"Matching","Self","1",282,0.282,1,1
"437",3,"Matching","Self","1",483,0.483,1,1
"438",3,"Matching","Self","1",355,0.355,1,2
"439",3,"Matching","Self","1",704,0.704,1,2
"440",3,"Matching","Self","1",454,0.454,1,2
"441",3,"Matching","Celebrity","1",680,0.68,0,1
"442",3,"Matching","Celebrity","1",783,0.783,1,2
"443",3,"Matching","Celebrity","1",683,0.683,1,2
"444",3,"Matching","Celebrity","1",916,0.916,1,2
"445",3,"Matching","Celebrity","1",876,0.876,1,1
"446",3,"Matching","Celebrity","1",761,0.761,1,1
"447",3,"Matching","Celebrity","1",611,0.611,1,2
"448",3,"Matching","Celebrity","1",607,0.607,1,1
"449",3,"Matching","Celebrity","1",630,0.63,1,1
"450",3,"Matching","Celebrity","1",699,0.699,1,1
"451",3,"Matching","Celebrity","1",824,0.824,1,2
"452",3,"Matching","Celebrity","1",522,0.522,1,1
"453",3,"Matching","Celebrity","1",581,0.581,1,1
"454",3,"Matching","Celebrity","1",637,0.637,1,1
"455",3,"Matching","Celebrity","1",618,0.618,1,1
"456",3,"Matching","Celebrity","1",688,0.688,1,1
"457",3,"Matching","Celebrity","1",711,0.711,0,1
"458",3,"Matching","Celebrity","1",504,0.504,1,2
"459",3,"Matching","Celebrity","1",445,0.445,0,2
"460",3,"Matching","Celebrity","1",891,0.891,1,2
"461",3,"Matching","Celebrity","1",560,0.56,1,1
"462",3,"Matching","Celebrity","1",623,0.623,1,1
"463",3,"Matching","Celebrity","1",235,0.235,1,2
"464",3,"Matching","Celebrity","1",445,0.445,1,2
"465",3,"Matching","Celebrity","1",779,0.779,1,2
"466",3,"Matching","Celebrity","1",387,0.387,0,1
"467",3,"Matching","Celebrity","1",752,0.752,1,2
"468",3,"Matching","Celebrity","1",431,0.431,1,2
"469",3,"Matching","Celebrity","1",532,0.532,0,2
"470",3,"Matching","Celebrity","1",409,0.409,1,2
"471",3,"Matching","Celebrity","1",473,0.473,1,2
"472",3,"Matching","Celebrity","1",477,0.477,1,2
"473",3,"Matching","Celebrity","1",497,0.497,0,1
"474",3,"Matching","Celebrity","1",604,0.604,1,2
"475",3,"Matching","Celebrity","1",470,0.47,0,1
"476",3,"Matching","Celebrity","1",407,0.407,1,2
"477",3,"Matching","Celebrity","1",559,0.559,1,2
"478",3,"Matching","Celebrity","1",472,0.472,1,2
"479",3,"Matching","Celebrity","1",525,0.525,1,2
"480",3,"Matching","Celebrity","1",653,0.653,1,2
"481",3,"Matching","Celebrity","1",558,0.558,1,2
"482",3,"Matching","Celebrity","1",368,0.368,1,1
"483",3,"Matching","Celebrity","1",272,0.272,1,1
"484",3,"Matching","Celebrity","1",377,0.377,1,1
"485",3,"Matching","Celebrity","1",323,0.323,0,2
"486",3,"Matching","Celebrity","1",415,0.415,0,1
"487",3,"Matching","Celebrity","1",674,0.674,1,1
"488",3,"Matching","Celebrity","1",403,0.403,0,1
"489",3,"Nonmatching","Self","1",750,0.75,1,2
"490",3,"Nonmatching","Self","1",527,0.527,1,2
"491",3,"Nonmatching","Self","1",596,0.596,1,1
"492",3,"Nonmatching","Self","1",557,0.557,1,2
