"","Subject","Gender","Age","Handedness","First_Language","Matching","Origin_Identity","Phase","Shape","Label","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Response","RT_sec","ACC","RT_ms","English_Identity","Standarlized_Identity"
"110",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","m",1.333,1,1333,"We","Group-Self"
"111",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","m",1.333,1,1333,"We","Group-Self"
"112",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","m",0.867,1,867,"We","Group-Self"
"113",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","m",1.4,1,1400,"We","Group-Self"
"114",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","n",1.433,0,1433,"We","Group-Self"
"115",1,"Female",31,"r","h","Match","You","TRAINING","You","You","Diamond","Triangle","Circle","Star","Top","n",0.617,0,617,"You","Stranger"
"116",1,"Female",31,"r","h","Match","You","TRAINING","You","You","Diamond","Triangle","Circle","Star","Bottom","n",0.5,0,500,"You","Stranger"
"117",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","n",1.083,0,1083,"You","Stranger"
"118",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","n",0.75,0,750,"You","Stranger"
"119",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","n",0.4,0,400,"You","Stranger"
"120",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","n",0.317,0,317,"You","Stranger"
"121",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","n",0.517,0,517,"You","Stranger"
"122",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","n",0.267,0,267,"You","Stranger"
"123",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","m",0.317,1,317,"You","Stranger"
"124",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","n",0.534,0,534,"You","Stranger"
"125",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","m",0.584,1,584,"You","Stranger"
"126",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","n",0.783,0,783,"You","Stranger"
"127",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","n",1.117,0,1117,"You","Stranger"
"128",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","n",1.217,0,1217,"You","Stranger"
"129",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","m",1.217,1,1217,"You","Stranger"
"130",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","m",1.617,1,1617,"You","Stranger"
"131",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","m",1.333,1,1333,"You","Stranger"
"132",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","m",1.267,1,1267,"You","Stranger"
"133",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","m",1.167,1,1167,"You","Stranger"
"134",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","m",1.4,1,1400,"You","Stranger"
"135",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","m",1.317,1,1317,"You","Stranger"
"136",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","m",1.134,1,1134,"You","Stranger"
"137",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","m",1.15,1,1150,"You","Stranger"
"138",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","n",0.7,0,700,"You","Stranger"
"139",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","m",1.15,1,1150,"You","Stranger"
"140",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","m",1.3,1,1300,"You","Stranger"
"141",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","None",NA,3,NA,"You","Stranger"
"142",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","n",0.817,0,817,"You","Stranger"
"143",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","n",1,0,1000,"You","Stranger"
"144",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","m",1.55,1,1550,"You","Stranger"
"145",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","m",1.567,1,1567,"You","Stranger"
"146",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","n",1.367,0,1367,"You","Stranger"
"147",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","m",1.4,1,1400,"You","Stranger"
"148",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","m",1.517,1,1517,"You","Stranger"
"149",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","n",1.033,0,1033,"You","Stranger"
"150",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Top","n",0.95,0,950,"You","Stranger"
"151",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","m",1.25,1,1250,"You","Stranger"
"152",1,"Female",31,"r","h","Match","You","EXPERIMENT","You","You","Diamond","Triangle","Circle","Star","Bottom","m",1.4,1,1400,"You","Stranger"
"153",1,"Female",31,"r","h","Mismatch","Self","TRAINING","We","Self","Diamond","Triangle","Circle","Star","Top","None",NA,3,NA,"Self","Self"
"154",1,"Female",31,"r","h","Mismatch","Self","TRAINING","They","Self","Diamond","Triangle","Circle","Star","Top","None",NA,3,NA,"Self","Self"
"155",1,"Female",31,"r","h","Mismatch","Self","TRAINING","You","Self","Diamond","Triangle","Circle","Star","Bottom","None",NA,3,NA,"Self","Self"
"156",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","We","Self","Diamond","Triangle","Circle","Star","Bottom","n",0.4,1,400,"Self","Self"
"157",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","They","Self","Diamond","Triangle","Circle","Star","Bottom","n",0.35,1,350,"Self","Self"
"158",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","We","Self","Diamond","Triangle","Circle","Star","Top","n",0.434,1,434,"Self","Self"
"159",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","They","Self","Diamond","Triangle","Circle","Star","Bottom","n",0.367,1,367,"Self","Self"
"160",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","You","Self","Diamond","Triangle","Circle","Star","Top","n",0.417,1,417,"Self","Self"
"161",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","They","Self","Diamond","Triangle","Circle","Star","Top","n",0.45,1,450,"Self","Self"
"162",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","They","Self","Diamond","Triangle","Circle","Star","Top","n",0.433,1,433,"Self","Self"
"163",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","You","Self","Diamond","Triangle","Circle","Star","Top","m",0.4,0,400,"Self","Self"
"164",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","You","Self","Diamond","Triangle","Circle","Star","Bottom","m",0.434,0,434,"Self","Self"
"165",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","We","Self","Diamond","Triangle","Circle","Star","Bottom","n",1.2,1,1200,"Self","Self"
"166",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","You","Self","Diamond","Triangle","Circle","Star","Bottom","n",0.917,1,917,"Self","Self"
"167",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","We","Self","Diamond","Triangle","Circle","Star","Top","None",NA,3,NA,"Self","Self"
"168",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","We","Self","Diamond","Triangle","Circle","Star","Bottom","n",1.017,1,1017,"Self","Self"
"169",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","We","Self","Diamond","Triangle","Circle","Star","Bottom","n",1.017,1,1017,"Self","Self"
"170",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","You","Self","Diamond","Triangle","Circle","Star","Top","n",1.217,1,1217,"Self","Self"
"171",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","We","Self","Diamond","Triangle","Circle","Star","Top","n",1.067,1,1067,"Self","Self"
"172",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","They","Self","Diamond","Triangle","Circle","Star","Top","n",0.933,1,933,"Self","Self"
"173",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","They","Self","Diamond","Triangle","Circle","Star","Bottom","n",0.884,1,884,"Self","Self"
"174",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","You","Self","Diamond","Triangle","Circle","Star","Bottom","n",0.817,1,817,"Self","Self"
"175",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","We","Self","Diamond","Triangle","Circle","Star","Top","m",0.567,0,567,"Self","Self"
"176",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","They","Self","Diamond","Triangle","Circle","Star","Bottom","n",0.85,1,850,"Self","Self"
"177",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","You","Self","Diamond","Triangle","Circle","Star","Bottom","n",0.617,1,617,"Self","Self"
"178",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","You","Self","Diamond","Triangle","Circle","Star","Top","m",1.017,0,1017,"Self","Self"
"179",1,"Female",31,"r","h","Mismatch","Self","EXPERIMENT","They","Self","Diamond","Triangle","Circle","Star","Top","n",1.317,1,1317,"Self","Self"
