Shape,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,P1key,P2key,StrangerKey,WeKey,OtherKey,P1Shape,P2Shape,StrangerShape,StrangerTeamShape,corr,PairNumber,P2Age,P1Age
Stranger,5,3,28,2,v,2.067557298,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
We,5,4,29,3,n,3.884398931,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P1,6,0,30,0,m,2.654537516,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P2,6,1,31,1,c,2.464026884,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P2,6,2,32,1,c,1.46554566,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Stranger,6,3,33,2,v,3.578224063,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Other,6,4,34,4,b,4.119107637,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
We,7,0,35,3,n,2.700274896,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P1,7,1,36,0,m,3.467841392,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P2,7,2,37,1,c,2.348728228,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Stranger,7,3,38,2,v,3.466264976,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
We,7,4,39,3,n,2.651135963,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Other,8,0,40,4,b,3.836633489,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P1,8,1,41,0,m,1.83886408,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P2,8,2,42,1,c,1.697021391,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Other,8,3,43,4,b,1.880485329,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Stranger,8,4,44,2,v,4.6486681,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P2,9,0,45,1,c,2.892183496,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Stranger,9,1,46,2,v,3.156386932,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
We,9,2,47,3,n,3.297915365,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
We,9,3,48,3,n,1.289221982,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Other,9,4,49,4,b,2.753359408,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P1,0,0,0,0,c,8.452192513,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
