"","Subject","Gender","Age","Condition","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","LuminanceBackground","LuminanceStrongDark","LuminanceWeakDark","LuminanceWeakLight","LuminanceStrongLight","TextColor","VisualAngle","Color","Contrast"
"145",2,"female",27,"bm",1020,1.02,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"146",2,"female",27,"bm",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"147",2,"female",27,"bm",1090,1.09,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"148",2,"female",27,"bm",813,0.813,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"149",2,"female",27,"bm",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"150",2,"female",27,"bm",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"151",2,"female",27,"bm",558,0.558,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"152",2,"female",27,"bm",579,0.579,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"153",2,"female",27,"bm",692,0.692,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"154",2,"female",27,"bm",359,0.359,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"155",2,"female",27,"bm",370,0.37,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"156",2,"female",27,"bm",554,0.554,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"157",2,"female",27,"bm",626,0.626,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"158",2,"female",27,"bm",354,0.354,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"159",2,"female",27,"bm",488,0.488,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"160",2,"female",27,"bm",643,0.643,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"161",2,"female",27,"bm",487,0.487,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"162",2,"female",27,"bm",508,0.508,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"163",2,"female",27,"bn",479,0.479,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"164",2,"female",27,"bn",1265,1.265,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"165",2,"female",27,"bn",708,0.708,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"166",2,"female",27,"bn",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"167",2,"female",27,"bn",695,0.695,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"168",2,"female",27,"bn",705,0.705,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"169",2,"female",27,"bn",701,0.701,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"170",2,"female",27,"bn",825,0.825,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"171",2,"female",27,"bn",862,0.862,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"172",2,"female",27,"bn",1189,1.189,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"173",2,"female",27,"bn",610,0.61,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"174",2,"female",27,"bn",605,0.605,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"175",2,"female",27,"bn",358,0.358,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"176",2,"female",27,"bn",734,0.734,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"177",2,"female",27,"bn",613,0.613,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"178",2,"female",27,"bn",472,0.472,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"179",2,"female",27,"bn",565,0.565,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"180",2,"female",27,"bn",539,0.539,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"181",2,"female",27,"im",597,0.597,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"182",2,"female",27,"im",419,0.419,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"183",2,"female",27,"im",356,0.356,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"184",2,"female",27,"im",689,0.689,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"185",2,"female",27,"im",532,0.532,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"186",2,"female",27,"im",571,0.571,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"187",2,"female",27,"im",568,0.568,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"188",2,"female",27,"im",677,0.677,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"189",2,"female",27,"im",548,0.548,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"190",2,"female",27,"im",365,0.365,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"191",2,"female",27,"im",591,0.591,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"192",2,"female",27,"im",501,0.501,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"193",2,"female",27,"im",395,0.395,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"194",2,"female",27,"im",638,0.638,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"195",2,"female",27,"im",526,0.526,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
