"","Subject","Gender","Age","Handedness","Matching","Identity","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","VisualAngle","Color","Contrast"
"194",2,"female",20,"right","comp","Mutter",516,0.516,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"195",2,"female",20,"right","comp","Mutter",774,0.774,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"196",2,"female",20,"right","comp","Mutter",769,0.769,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"197",2,"female",20,"right","comp","Mutter",676,0.676,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"198",2,"female",20,"right","comp","Mutter",607,0.607,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"199",2,"female",20,"right","comp","Mutter",749,0.749,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"200",2,"female",20,"right","comp","Mutter",641,0.641,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"201",2,"female",20,"right","comp","Mutter",408,0.408,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"202",2,"female",20,"right","comp","Mutter",479,0.479,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"203",2,"female",20,"right","comp","Mutter",727,0.727,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"204",2,"female",20,"right","comp","Mutter",482,0.482,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"205",2,"female",20,"right","comp","Mutter",498,0.498,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"206",2,"female",20,"right","comp","Mutter",498,0.498,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"207",2,"female",20,"right","comp","Mutter",547,0.547,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"208",2,"female",20,"right","comp","Mutter",604,0.604,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"209",2,"female",20,"right","comp","Mutter",718,0.718,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"210",2,"female",20,"right","comp","Mutter",594,0.594,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"211",2,"female",20,"right","comp","Mutter",545,0.545,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"212",2,"female",20,"right","comp","Mutter",1218,1.218,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"213",2,"female",20,"right","comp","Mutter",645,0.645,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"214",2,"female",20,"right","comp","Mutter",721,0.721,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"215",2,"female",20,"right","comp","Mutter",498,0.498,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"216",2,"female",20,"right","comp","Mutter",445,0.445,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"217",2,"female",20,"right","incomp","Bekannter",138,0.138,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"218",2,"female",20,"right","incomp","Bekannter",6531,6.531,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"219",2,"female",20,"right","incomp","Bekannter",1690,1.69,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"220",2,"female",20,"right","incomp","Bekannter",845,0.845,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"221",2,"female",20,"right","incomp","Bekannter",847,0.847,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"222",2,"female",20,"right","incomp","Bekannter",656,0.656,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"223",2,"female",20,"right","incomp","Bekannter",835,0.835,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"224",2,"female",20,"right","incomp","Bekannter",686,0.686,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"225",2,"female",20,"right","incomp","Bekannter",967,0.967,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"226",2,"female",20,"right","incomp","Bekannter",428,0.428,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"227",2,"female",20,"right","incomp","Bekannter",596,0.596,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"228",2,"female",20,"right","incomp","Bekannter",574,0.574,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"229",2,"female",20,"right","incomp","Bekannter",704,0.704,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"230",2,"female",20,"right","incomp","Bekannter",603,0.603,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"231",2,"female",20,"right","incomp","Bekannter",1033,1.033,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
