Subject,Cohens_d_RT,deta_RT,Cohens_d_ACC,deta_ACC,Condition
18,-0.476379767,-71.98723404,0.25062404,0.092765957,Self-Familiar
19,-0.18352811,-21.3421803,0.48967734,0.161219566,Self-Familiar
20,-0.249710875,-41.00601926,-0.04711463,-0.015783842,Self-Familiar
21,-0.317635226,-34.98969697,0.186205128,0.040707071,Self-Familiar
22,-0.473755816,-71.92978723,0.25062404,0.092765957,Self-Familiar
23,-0.246183977,-33.94061856,0.249316185,0.097113402,Self-Familiar
24,-0.42669451,-46.48873299,0.142243229,0.043367347,Self-Familiar
25,-0.179415267,-20.79864005,0.48967734,0.161219566,Self-Familiar
26,-0.240911019,-39.54373997,-0.04711463,-0.015783842,Self-Familiar
1,NA,NA,NA,NA,Self-Mother
2,NA,NA,NA,NA,Self-Mother
3,NA,NA,NA,NA,Self-Mother
5,NA,NA,NA,NA,Self-Mother
6,NA,NA,NA,NA,Self-Mother
7,NA,NA,NA,NA,Self-Mother
8,NA,NA,NA,NA,Self-Mother
9,NA,NA,NA,NA,Self-Mother
10,NA,NA,NA,NA,Self-Mother
11,NA,NA,NA,NA,Self-Mother
12,NA,NA,NA,NA,Self-Mother
13,NA,NA,NA,NA,Self-Mother
14,NA,NA,NA,NA,Self-Mother
15,NA,NA,NA,NA,Self-Mother
16,NA,NA,NA,NA,Self-Mother
17,NA,NA,NA,NA,Self-Mother
18,NA,NA,NA,NA,Self-Mother
19,NA,NA,NA,NA,Self-Mother
20,NA,NA,NA,NA,Self-Mother
21,NA,NA,NA,NA,Self-Mother
22,NA,NA,NA,NA,Self-Mother
23,NA,NA,NA,NA,Self-Mother
24,NA,NA,NA,NA,Self-Mother
25,NA,NA,NA,NA,Self-Mother
26,NA,NA,NA,NA,Self-Mother
1,-0.152323703,-17.33333333,0,0,Self-Mother
2,0.285082425,50.33333333,0.11080592,0.041666667,Self-Mother
3,-0.400513165,-140.0416667,0.281133197,0.0625,Self-Mother
4,-1.051664358,-252.6875,0.170964487,0.041666667,Self-Mother
5,0.172120219,72.9375,-0.117024095,-0.041666667,Self-Mother
6,-0.312833674,-226.875,0.155703135,0.0625,Self-Mother
7,-0.409238548,-155.8333333,-0.204124145,-0.020833333,Self-Mother
8,0.14478444,34.27083333,-0.272565325,-0.104166667,Self-Mother
9,-0.097318632,-18.64583333,0,0,Self-Mother
10,-0.169888073,-28.08333333,0.66208414,0.270833333,Self-Mother
11,0.219125871,65.875,0.39847683,0.1875,Self-Mother
12,-0.436825287,-135.8125,-0.204124145,-0.020833333,Self-Mother
13,-1.105630411,-164.5208333,0.807946643,0.25,Self-Mother
14,0.093817179,93.3125,-0.404648298,-0.104166667,Self-Mother
15,0.118106428,39.45833333,0,0,Self-Mother
16,-0.342226731,-107.4166667,0.207461546,0.041666667,Self-Mother
