"Subject","Age","Gender","Handedness","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
48742438,21,"Mujer","Diestro",3,109,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,490,0.49,1
48742438,21,"Mujer","Diestro",3,110,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,791,0.791,1
48742438,21,"Mujer","Diestro",3,111,"circulo","tu","Matching","Self","Self","Self","Self",5,427,0.427,1
48742438,21,"Mujer","Diestro",3,112,"circulo","tu","Matching","Self","Self","Self","Self",5,453,0.453,1
48742438,21,"Mujer","Diestro",3,113,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,547,0.547,1
48742438,21,"Mujer","Diestro",3,114,"triangulo","tu","Nonmatching","Self","Friend","Friend","Close",1,449,0.449,1
48742438,21,"Mujer","Diestro",3,115,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,937,0.937,1
48742438,21,"Mujer","Diestro",3,116,"circulo","tu","Matching","Self","Self","Self","Self",5,399,0.399,1
48742438,21,"Mujer","Diestro",3,117,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,827,0.827,1
48742438,21,"Mujer","Diestro",3,118,"triangulo","tu","Nonmatching","Self","Friend","Friend","Close",1,491,0.491,1
48742438,21,"Mujer","Diestro",3,119,"cuadrado","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",NA,0,0,0
48742438,21,"Mujer","Diestro",3,120,"circulo","tu","Matching","Self","Self","Self","Self",5,371,0.371,1
48742438,21,"Mujer","Diestro",3,121,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,604,0.604,1
48742438,21,"Mujer","Diestro",3,122,"triangulo","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,568,0.568,1
48742438,21,"Mujer","Diestro",3,123,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,424,0.424,1
48742438,21,"Mujer","Diestro",3,124,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,371,0.371,1
48742438,21,"Mujer","Diestro",3,125,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,735,0.735,1
48742438,21,"Mujer","Diestro",3,126,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,454,0.454,1
48742438,21,"Mujer","Diestro",3,127,"triangulo","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,490,0.49,1
48742438,21,"Mujer","Diestro",3,128,"circulo","tu","Matching","Self","Self","Self","Self",5,361,0.361,1
48742438,21,"Mujer","Diestro",3,129,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,447,0.447,1
48742438,21,"Mujer","Diestro",3,130,"cuadrado","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,697,0.697,1
48742438,21,"Mujer","Diestro",3,131,"triangulo","tu","Nonmatching","Self","Friend","Friend","Close",1,532,0.532,1
48742438,21,"Mujer","Diestro",3,132,"cuadrado","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,482,0.482,1
48742438,21,"Mujer","Diestro",3,133,"cuadrado","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,411,0.411,1
48742438,21,"Mujer","Diestro",3,134,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,617,0.617,1
48742438,21,"Mujer","Diestro",3,135,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,541,0.541,1
48742438,21,"Mujer","Diestro",3,136,"triangulo","extrano","Nonmatching","Stranger","Friend","Friend","Close",5,420,0.42,0
48742438,21,"Mujer","Diestro",3,137,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,263,0.263,1
48742438,21,"Mujer","Diestro",3,138,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,419,0.419,1
48742438,21,"Mujer","Diestro",3,139,"triangulo","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,632,0.632,1
48742438,21,"Mujer","Diestro",3,140,"cuadrado","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,554,0.554,1
48742438,21,"Mujer","Diestro",3,141,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,485,0.485,1
48742438,21,"Mujer","Diestro",3,142,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,504,0.504,1
48742438,21,"Mujer","Diestro",3,143,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,744,0.744,1
48742438,21,"Mujer","Diestro",3,144,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,552,0.552,1
48742438,21,"Mujer","Diestro",4,145,"triangulo","tu","Nonmatching","Self","Friend","Friend","Close",1,457,0.457,1
48742438,21,"Mujer","Diestro",4,146,"cuadrado","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",1,558,0.558,1
48742438,21,"Mujer","Diestro",4,147,"circulo","tu","Matching","Self","Self","Self","Self",5,358,0.358,1
48742438,21,"Mujer","Diestro",4,148,"circulo","tu","Matching","Self","Self","Self","Self",5,299,0.299,1
48742438,21,"Mujer","Diestro",4,149,"cuadrado","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",1,726,0.726,1
48742438,21,"Mujer","Diestro",4,150,"cuadrado","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",1,502,0.502,1
48742438,21,"Mujer","Diestro",4,151,"circulo","tu","Matching","Self","Self","Self","Self",5,362,0.362,1
