"","Subject","Shape","Label","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC","Phase"
"164",1,"Stranger","Stranger","Matching","Stranger","1",617,0.617,1,1
"165",1,"Stranger","Stranger","Matching","Stranger","1",600,0.6,1,1
"166",1,"Stranger","Stranger","Matching","Stranger","1",650,0.65,1,1
"167",1,"Stranger","Stranger","Matching","Stranger","1",734,0.734,0,1
"168",1,"Stranger","Stranger","Matching","Stranger","1",917,0.917,1,1
"169",1,"Stranger","Stranger","Matching","Stranger","1",900,0.9,1,1
"170",1,"Stranger","Stranger","Matching","Stranger","1",667,0.667,1,1
"171",1,"Stranger","Stranger","Matching","Stranger","1",617,0.617,1,1
"172",1,"Stranger","Stranger","Matching","Stranger","1",517,0.517,1,1
"173",1,"Stranger","Stranger","Matching","Stranger","1",817,0.817,1,1
"174",1,"Stranger","Stranger","Matching","Stranger","1",1250,1.25,1,1
"175",1,"Stranger","Stranger","Matching","Stranger","1",734,0.734,1,1
"176",1,"Stranger","Stranger","Matching","Stranger","1",750,0.75,1,1
"177",1,"Stranger","Stranger","Matching","Stranger","1",567,0.567,1,1
"178",1,"Stranger","Stranger","Matching","Stranger","1",934,0.934,1,1
"179",1,"Stranger","Stranger","Matching","Stranger","1",750,0.75,1,1
"180",1,"Stranger","Stranger","Matching","Stranger","1",600,0.6,1,1
"181",1,"Stranger","Stranger","Matching","Stranger","1",867,0.867,0,2
"182",1,"Stranger","Stranger","Matching","Stranger","1",783,0.783,1,2
"183",1,"Stranger","Stranger","Matching","Stranger","1",717,0.717,1,2
"184",1,"Stranger","Stranger","Matching","Stranger","1",1017,1.017,1,2
"185",1,"Stranger","Stranger","Matching","Stranger","1",817,0.817,1,2
"186",1,"Stranger","Stranger","Matching","Stranger","1",884,0.884,1,2
"187",1,"Stranger","Stranger","Matching","Stranger","1",984,0.984,1,2
"188",1,"Stranger","Stranger","Matching","Stranger","1",867,0.867,1,2
"189",1,"Stranger","Stranger","Matching","Stranger","1",617,0.617,1,2
"190",1,"Stranger","Stranger","Matching","Stranger","1",667,0.667,1,2
"191",1,"Stranger","Stranger","Matching","Stranger","1",950,0.95,1,2
"192",1,"Stranger","Stranger","Matching","Stranger","1",600,0.6,1,2
"193",1,"Stranger","Stranger","Matching","Stranger","1",867,0.867,1,2
"194",1,"Stranger","Stranger","Matching","Stranger","1",717,0.717,1,2
"195",1,"Stranger","Stranger","Matching","Stranger","1",733,0.733,1,2
"196",1,"Stranger","Stranger","Matching","Stranger","1",600,0.6,1,2
"197",1,"Stranger","Stranger","Matching","Stranger","1",800,0.8,1,2
"198",1,"Stranger","Stranger","Matching","Stranger","1",617,0.617,1,2
"199",1,"Stranger","Stranger","Matching","Stranger","1",750,0.75,1,2
"200",1,"Stranger","Stranger","Matching","Stranger","1",600,0.6,1,2
"201",1,"Stranger","Stranger","Matching","Stranger","2",834,0.834,1,1
"202",1,"Stranger","Stranger","Matching","Stranger","2",1217,1.217,1,1
"203",1,"Stranger","Stranger","Matching","Stranger","2",917,0.917,1,1
"204",1,"Stranger","Stranger","Matching","Stranger","2",784,0.784,1,1
"205",1,"Stranger","Stranger","Matching","Stranger","2",667,0.667,1,1
"206",1,"Stranger","Stranger","Matching","Stranger","2",833,0.833,1,1
"207",1,"Stranger","Stranger","Matching","Stranger","2",1450,1.45,1,1
"208",1,"Stranger","Stranger","Matching","Stranger","2",684,0.684,1,1
"209",1,"Stranger","Stranger","Matching","Stranger","2",900,0.9,1,1
"210",1,"Stranger","Stranger","Matching","Stranger","2",784,0.784,1,1
"211",1,"Stranger","Stranger","Matching","Stranger","2",617,0.617,1,1
