"Subject","Gender","Age","Handedness","First_Lanugage","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",701,0.701,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",906,0.906,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","m",831,0.831,0
1,"female",36,"right","Hebrew","triangle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",814,0.814,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",950,0.95,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",792,0.792,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",657,0.657,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",720,0.72,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",972,0.972,1
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",734,0.734,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","m",810,0.81,0
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",858,0.858,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","m",704,0.704,0
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",1444,1.444,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","z",803,0.803,0
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",1235,1.235,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1258,1.258,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",1392,1.392,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",929,0.929,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1044,1.044,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",979,0.979,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",1060,1.06,1
1,"female",36,"right","Hebrew","triangle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",818,0.818,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1194,1.194,1
1,"female",36,"right","Hebrew","triangle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",946,0.946,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",901,0.901,1
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",1050,1.05,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",825,0.825,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",1376,1.376,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",1185,1.185,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",1707,1.707,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1198,1.198,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1671,1.671,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",1052,1.052,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",859,0.859,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",945,0.945,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","m",756,0.756,0
1,"female",36,"right","Hebrew","triangle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1686,1.686,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",955,0.955,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1086,1.086,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1035,1.035,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",715,0.715,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",998,0.998,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",711,0.711,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",755,0.755,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",958,0.958,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",881,0.881,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",742,0.742,1
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",1009,1.009,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1633,1.633,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",1048,1.048,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",647,0.647,1
1,"female",36,"right","Hebrew","triangle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",870,0.87,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",1036,1.036,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",1100,1.1,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",952,0.952,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1691,1.691,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",799,0.799,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1208,1.208,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",1120,1.12,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","z",1100,1.1,0
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1055,1.055,1
1,"female",36,"right","Hebrew","triangle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",862,0.862,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",996,0.996,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",757,0.757,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1119,1.119,1
1,"female",36,"right","Hebrew","triangle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1419,1.419,1
