"","Subject","Gender","Age","Handedness","First_Lanugage","Shape","Word","Matching","Identity","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","Color","VisualAngle","Contrast"
"7353",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",1515,1.515,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7354",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",714,0.714,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7355",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",928,0.928,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7356",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",727,0.727,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7357",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",795,0.795,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7358",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",773,0.773,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7359",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",810,0.81,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7360",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",803,0.803,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7361",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",1077,1.077,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7362",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",811,0.811,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7363",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",720,0.72,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7364",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",879,0.879,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7365",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",1289,1.289,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7366",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",1088,1.088,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7367",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",829,0.829,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7368",8507,"female",20,"right","Hebrew","triangle.bmp","Stranger","Matching","Stranger","m",917,0.917,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
