"","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
"2022",6505,"Nonmatching","Self",873,0.873,1
"2023",6505,"Nonmatching","Self",1373,1.373,1
"2024",6505,"Nonmatching","Self",1455,1.455,1
"2025",6505,"Nonmatching","Self",1380,1.38,1
"2026",6505,"Nonmatching","Self",1379,1.379,1
"2027",6505,"Nonmatching","Self",1154,1.154,1
"2028",6505,"Nonmatching","Self",1096,1.096,1
"2029",6505,"Nonmatching","Self",1291,1.291,1
"2030",6505,"Nonmatching","Self",1424,1.424,1
"2031",6505,"Nonmatching","Self",1191,1.191,1
"2032",6505,"Nonmatching","Self",992,0.992,1
"2033",6505,"Nonmatching","Self",1347,1.347,1
"2034",6505,"Nonmatching","Self",1206,1.206,1
"2035",6505,"Nonmatching","Self",1104,1.104,1
"2036",6505,"Nonmatching","Self",966,0.966,1
"2037",6505,"Nonmatching","Self",889,0.889,1
"2038",6505,"Nonmatching","Self",918,0.918,1
"2039",6505,"Nonmatching","Self",1498,1.498,1
"2040",6505,"Nonmatching","Self",886,0.886,1
"2041",6505,"Nonmatching","Self",911,0.911,1
"2042",6505,"Nonmatching","Self",1296,1.296,1
"2043",6505,"Nonmatching","Friend",1286,1.286,1
"2044",6505,"Nonmatching","Friend",1295,1.295,1
"2045",6505,"Nonmatching","Friend",1175,1.175,1
"2046",6505,"Nonmatching","Friend",1120,1.12,1
"2047",6505,"Nonmatching","Friend",1490,1.49,1
"2048",6505,"Nonmatching","Friend",1000,1,1
"2049",6505,"Nonmatching","Friend",868,0.868,1
"2050",6505,"Nonmatching","Friend",1169,1.169,1
"2051",6505,"Nonmatching","Friend",1138,1.138,1
"2052",6505,"Nonmatching","Friend",994,0.994,1
"2053",6505,"Nonmatching","Friend",1444,1.444,1
"2054",6505,"Nonmatching","Friend",1182,1.182,1
"2055",6505,"Nonmatching","Friend",918,0.918,1
"2056",6505,"Nonmatching","Friend",1080,1.08,1
"2057",6505,"Nonmatching","Friend",1486,1.486,1
"2058",6505,"Nonmatching","Friend",1051,1.051,1
"2059",6505,"Nonmatching","Friend",1319,1.319,1
"2060",6505,"Nonmatching","Friend",1200,1.2,1
"2061",6505,"Nonmatching","Friend",1402,1.402,1
"2062",6505,"Nonmatching","Friend",888,0.888,1
"2063",6505,"Nonmatching","Stranger",1227,1.227,1
"2064",6505,"Nonmatching","Stranger",1350,1.35,1
"2065",6505,"Nonmatching","Stranger",1207,1.207,1
"2066",6505,"Nonmatching","Stranger",1359,1.359,1
"2067",6505,"Nonmatching","Stranger",1320,1.32,1
"2068",6505,"Nonmatching","Stranger",1213,1.213,1
"2069",6505,"Nonmatching","Stranger",1356,1.356,1
"2070",6505,"Nonmatching","Stranger",1430,1.43,1
"2071",6505,"Nonmatching","Stranger",1455,1.455,1
"2072",6505,"Nonmatching","Stranger",1376,1.376,1
"2073",6505,"Nonmatching","Stranger",1260,1.26,1
"2074",6505,"Nonmatching","Stranger",952,0.952,1
"2075",6505,"Nonmatching","Stranger",1463,1.463,1
