"","Subject","Gender","Age","Handedness","First_Lanugage","Shape","Identity","Matching","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","LuminanceBackground","LuminanceStrongDark","LuminanceWeakDark","LuminanceWeakLight","LuminanceStrongLight","TextColor","Color","VisualAngle","Contrast"
"76",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",1049,1.049,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"77",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",658,0.658,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"78",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",762,0.762,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"79",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",1242,1.242,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"80",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",676,0.676,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"81",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",1471,1.471,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"82",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",776,0.776,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"83",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",1036,1.036,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"84",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",1513,1.513,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"85",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",1176,1.176,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"86",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",645,0.645,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"87",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",899,0.899,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"88",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",998,0.998,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"89",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",619,0.619,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"90",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",762,0.762,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"91",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",696,0.696,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"92",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",680,0.68,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"93",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",1273,1.273,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"94",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",711,0.711,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"95",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",742,0.742,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"96",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",932,0.932,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"97",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",738,0.738,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"98",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",859,0.859,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"99",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",596,0.596,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"100",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",568,0.568,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"101",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",757,0.757,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"102",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",676,0.676,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"103",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",804,0.804,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"104",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",870,0.87,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"105",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",1351,1.351,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"106",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",747,0.747,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"107",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",967,0.967,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"108",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",759,0.759,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"109",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",676,0.676,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"110",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",760,0.76,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"111",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",809,0.809,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"112",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",738,0.738,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"113",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",3162,3.162,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"114",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",1887,1.887,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
