"Subject","Stim","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
1,1,"Matching","Self","Self","Self",1,704,0.704,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,575,0.575,1
1,1,"Matching","Stranger","Stranger","Stranger",1,970,0.97,1
1,0,"Nonmatching","Friend","Friend","Close",0,755,0.755,1
1,1,"Matching","Self","Self","Self",1,602,0.602,1
1,1,"Matching","Friend","Friend","Close",1,800,0.8,1
1,1,"Matching","Friend","Friend","Close",1,765,0.765,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,753,0.753,1
1,0,"Nonmatching","Self","Self","Self",0,916,0.916,1
1,1,"Matching","Self","Self","Self",1,638,0.638,1
1,1,"Matching","Stranger","Stranger","Stranger",1,826,0.826,1
1,0,"Nonmatching","Self","Self","Self",0,835,0.835,1
1,0,"Nonmatching","Friend","Friend","Close",0,782,0.782,1
1,1,"Matching","Stranger","Stranger","Stranger",1,623,0.623,1
1,0,"Nonmatching","Friend","Friend","Close",1,733,0.733,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,749,0.749,1
1,1,"Matching","Stranger","Stranger","Stranger",1,935,0.935,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,699,0.699,1
1,0,"Nonmatching","Self","Self","Self",0,802,0.802,1
1,1,"Matching","Friend","Friend","Close",0,982,0.982,0
1,1,"Matching","Friend","Friend","Close",1,764,0.764,1
1,1,"Matching","Self","Self","Self",1,730,0.73,1
1,0,"Nonmatching","Self","Self","Self",0,694,0.694,1
1,1,"Matching","Stranger","Stranger","Stranger",0,637,0.637,0
1,0,"Nonmatching","Self","Self","Self",0,1067,1.067,1
1,1,"Matching","Self","Self","Self",1,845,0.845,1
1,1,"Matching","Stranger","Stranger","Stranger",1,860,0.86,1
1,0,"Nonmatching","Friend","Friend","Close",1,624,0.624,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,651,0.651,1
1,0,"Nonmatching","Friend","Friend","Close",0,820,0.82,1
1,0,"Nonmatching","Self","Self","Self",1,951,0.951,0
1,1,"Matching","Self","Self","Self",1,752,0.752,1
1,1,"Matching","Friend","Friend","Close",0,591,0.591,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,621,0.621,1
1,1,"Matching","Friend","Friend","Close",0,1037,1.037,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,801,0.801,1
1,1,"Matching","Self","Self","Self",1,677,0.677,1
1,1,"Matching","Stranger","Stranger","Stranger",1,615,0.615,1
1,1,"Matching","Stranger","Stranger","Stranger",1,1017,1.017,1
1,0,"Nonmatching","Self","Self","Self",0,698,0.698,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,896,0.896,1
1,0,"Nonmatching","Self","Self","Self",0,827,0.827,1
1,0,"Nonmatching","Friend","Friend","Close",0,737,0.737,1
1,1,"Matching","Friend","Friend","Close",1,737,0.737,1
1,1,"Matching","Self","Self","Self",1,929,0.929,1
