"","Subject","Age","Gender","Handedness","Shape","Label","Matching","Shape1","Shape2","Identity1","Identity2","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"65",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",1697,1.697,1,"15.6-in",NA,NA,"white","black","50cm",NA
"66",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",1019,1.019,1,"15.6-in",NA,NA,"white","black","50cm",NA
"67",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",791,0.791,1,"15.6-in",NA,NA,"white","black","50cm",NA
"68",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",933,0.933,1,"15.6-in",NA,NA,"white","black","50cm",NA
"69",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",1173,1.173,1,"15.6-in",NA,NA,"white","black","50cm",NA
"70",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","d",865,0.865,0,"15.6-in",NA,NA,"white","black","50cm",NA
"71",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",769,0.769,1,"15.6-in",NA,NA,"white","black","50cm",NA
"72",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",887,0.887,1,"15.6-in",NA,NA,"white","black","50cm",NA
"73",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",1027,1.027,1,"15.6-in",NA,NA,"white","black","50cm",NA
"74",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",707,0.707,1,"15.6-in",NA,NA,"white","black","50cm",NA
"75",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","d",571,0.571,0,"15.6-in",NA,NA,"white","black","50cm",NA
"76",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",947,0.947,1,"15.6-in",NA,NA,"white","black","50cm",NA
"77",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",678,0.678,1,"15.6-in",NA,NA,"white","black","50cm",NA
"78",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",774,0.774,1,"15.6-in",NA,NA,"white","black","50cm",NA
"79",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",1068,1.068,1,"15.6-in",NA,NA,"white","black","50cm",NA
"80",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",701,0.701,1,"15.6-in",NA,NA,"white","black","50cm",NA
"81",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",655,0.655,1,"15.6-in",NA,NA,"white","black","50cm",NA
"82",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",1039,1.039,1,"15.6-in",NA,NA,"white","black","50cm",NA
"83",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",850,0.85,1,"15.6-in",NA,NA,"white","black","50cm",NA
"84",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",757,0.757,1,"15.6-in",NA,NA,"white","black","50cm",NA
"85",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",620,0.62,1,"15.6-in",NA,NA,"white","black","50cm",NA
"86",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",1008,1.008,1,"15.6-in",NA,NA,"white","black","50cm",NA
"87",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",825,0.825,1,"15.6-in",NA,NA,"white","black","50cm",NA
"88",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",867,0.867,1,"15.6-in",NA,NA,"white","black","50cm",NA
"89",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",740,0.74,1,"15.6-in",NA,NA,"white","black","50cm",NA
"90",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",722,0.722,1,"15.6-in",NA,NA,"white","black","50cm",NA
"91",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",637,0.637,1,"15.6-in",NA,NA,"white","black","50cm",NA
