"","Subject","Age","Gender","Handedness","Shape","Label","Origin_Identity","English_Identity","Standardized_Idnetity","Matching","Response","RT_ms","RT_sec","ACC"
"81",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","k",712,0.712,0
"82",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",664,0.664,1
"83",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",627,0.627,1
"84",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",668,0.668,1
"85",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",644,0.644,1
"86",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",758,0.758,1
"87",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",698,0.698,1
"88",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",536,0.536,1
"89",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",739,0.739,1
"90",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",546,0.546,1
"91",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",672,0.672,1
"92",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",514,0.514,1
"93",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",653,0.653,1
"94",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",911,0.911,1
"95",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",728,0.728,1
"96",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","k",574,0.574,0
"97",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",824,0.824,1
"98",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",639,0.639,1
"99",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",897,0.897,1
"100",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",673,0.673,1
"101",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",481,0.481,1
"102",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",892,0.892,1
"103",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",628,0.628,1
"104",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",899,0.899,1
"105",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","k",837,0.837,0
"106",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",613,0.613,1
"107",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",653,0.653,1
"108",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",684,0.684,1
"109",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",622,0.622,1
"110",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","k",555,0.555,0
"111",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",478,0.478,1
"112",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",751,0.751,1
"113",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",561,0.561,1
"114",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",851,0.851,1
"115",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",718,0.718,1
"116",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",527,0.527,1
"117",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","k",1050,1.05,0
"118",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",366,0.366,1
"119",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","k",958,0.958,0
"120",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",746,0.746,1
"121",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",545,0.545,1
"122",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",730,0.73,1
"123",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",416,0.416,1
"124",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",731,0.731,1
"125",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",756,0.756,1
"126",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",424,0.424,1
"127",1,25,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",542,0.542,1
"128",1,25,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",627,0.627,1
"129",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",312,0.312,0
"130",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",429,0.429,1
"131",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",654,0.654,1
"132",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",475,0.475,0
"133",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",811,0.811,1
"134",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",701,0.701,1
"135",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",763,0.763,0
"136",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",679,0.679,1
"137",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",644,0.644,0
"138",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",708,0.708,1
"139",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1001,1.001,1
"140",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",760,0.76,1
"141",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",946,0.946,1
"142",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",794,0.794,1
"143",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",490,0.49,1
"144",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1051,1.051,1
"145",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",1018,1.018,0
"146",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",588,0.588,1
"147",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1773,1.773,1
"148",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",692,0.692,1
"149",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",564,0.564,1
"150",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1268,1.268,1
"151",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",702,0.702,1
"152",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1312,1.312,1
"153",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",1459,1.459,1
"154",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",818,0.818,1
"155",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",906,0.906,1
"156",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1290,1.29,1
"157",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1094,1.094,1
"158",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",741,0.741,1
"159",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1815,1.815,1
"160",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",484,0.484,1
"161",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",731,0.731,1
"162",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",920,0.92,1
"163",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",904,0.904,1
"164",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",983,0.983,1
"165",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",897,0.897,1
"166",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",592,0.592,1
"167",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",973,0.973,1
"168",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",411,0.411,1
"169",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",756,0.756,1
"170",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",555,0.555,1
"171",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",577,0.577,0
"172",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",506,0.506,1
"173",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",532,0.532,1
"174",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",876,0.876,0
"175",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",585,0.585,1
"176",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",673,0.673,0
