Shape,Colour,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,selfkey,strangerkey,selfStimuli,strangerStimuli,rt,corr,4. Handedness,3. Age,2. Gender (M/F),6. Stimuli Type(Self = Positive/Self = Negative),1. Participant Number,5. First Lanugage
Self,Strong,0,0,0,0,w,w,o,LIGHT,DARK,16.41099566,1,R,23,M,Self = Positive,15,Ukrainian
Stranger,Strong,0,1,1,2,o,w,o,LIGHT,DARK,3.790319212,1,R,23,M,Self = Positive,15,Ukrainian
Stranger,Strong,0,2,2,2,o,w,o,LIGHT,DARK,11.11318637,1,R,23,M,Self = Positive,15,Ukrainian
Stranger,Light,0,3,3,3,o,w,o,LIGHT,DARK,2.616298272,1,R,23,M,Self = Positive,15,Ukrainian
Stranger,Light,1,0,4,3,o,w,o,LIGHT,DARK,2.514848499,1,R,23,M,Self = Positive,15,Ukrainian
Self,Light,1,1,5,1,w,w,o,LIGHT,DARK,2.161399627,1,R,23,M,Self = Positive,15,Ukrainian
Self,Light,1,2,6,1,w,w,o,LIGHT,DARK,6.606084365,1,R,23,M,Self = Positive,15,Ukrainian
Self,Strong,1,3,7,0,w,w,o,LIGHT,DARK,1.081683621,1,R,23,M,Self = Positive,15,Ukrainian
Stranger,Strong,0,0,0,2,o,w,o,DARK,LIGHT,7.426853688,1,Right,23,M,Self = Negative,16,Azerbaijani
Self,Strong,0,1,1,0,w,w,o,DARK,LIGHT,5.109433639,1,Right,23,M,Self = Negative,16,Azerbaijani
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,4.684515618,1,Right,23,M,Self = Negative,16,Azerbaijani
Self,Light,0,3,3,1,w,w,o,DARK,LIGHT,2.00454011,1,Right,23,M,Self = Negative,16,Azerbaijani
Stranger,Light,1,0,4,3,o,w,o,DARK,LIGHT,4.415476171,1,Right,23,M,Self = Negative,16,Azerbaijani
Stranger,Strong,1,1,5,2,o,w,o,DARK,LIGHT,4.073949715,1,Right,23,M,Self = Negative,16,Azerbaijani
Stranger,Light,1,2,6,3,o,w,o,DARK,LIGHT,2.066588814,1,Right,23,M,Self = Negative,16,Azerbaijani
Self,Light,1,3,7,1,w,w,o,DARK,LIGHT,1.267208401,1,Right,23,M,Self = Negative,16,Azerbaijani
Stranger,Strong,0,0,0,2,o,w,o,LIGHT,DARK,17.75298285,1,right,26,F,Self = Positive,17,hungarian
Stranger,Light,0,1,1,3,o,w,o,LIGHT,DARK,5.838623154,1,right,26,F,Self = Positive,17,hungarian
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,3.7524941,1,right,26,F,Self = Positive,17,hungarian
Self,Light,0,3,3,1,w,w,o,LIGHT,DARK,2.75778471,1,right,26,F,Self = Positive,17,hungarian
Self,Strong,1,0,4,0,w,w,o,LIGHT,DARK,3.23485202,1,right,26,F,Self = Positive,17,hungarian
Stranger,Light,1,1,5,3,o,w,o,LIGHT,DARK,2.492746088,1,right,26,F,Self = Positive,17,hungarian
Self,Light,1,2,6,1,w,w,o,LIGHT,DARK,2.756552169,1,right,26,F,Self = Positive,17,hungarian
Stranger,Strong,1,3,7,2,o,w,o,LIGHT,DARK,2.729723274,1,right,26,F,Self = Positive,17,hungarian
Self,Light,0,0,0,1,w,w,o,DARK,LIGHT,8.800803244,1,R,29,M,Self = Negative,18,English
Stranger,Light,0,1,1,3,o,w,o,DARK,LIGHT,1.620440051,1,R,29,M,Self = Negative,18,English
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,2.230915942,1,R,29,M,Self = Negative,18,English
Stranger,Light,0,3,3,3,o,w,o,DARK,LIGHT,1.960854773,1,R,29,M,Self = Negative,18,English
Self,Light,1,0,4,1,w,w,o,DARK,LIGHT,1.766039816,1,R,29,M,Self = Negative,18,English
Stranger,Strong,1,1,5,2,o,w,o,DARK,LIGHT,1.698578511,1,R,29,M,Self = Negative,18,English
Self,Strong,1,2,6,0,w,w,o,DARK,LIGHT,1.881747492,1,R,29,M,Self = Negative,18,English
Stranger,Strong,1,3,7,2,o,w,o,DARK,LIGHT,1.561736423,1,R,29,M,Self = Negative,18,English
Stranger,Light,0,0,0,3,o,w,o,LIGHT,DARK,15.85110293,1,right,28,M,Self = Positive,19,Turkish
Self,Light,0,1,1,1,w,w,o,LIGHT,DARK,4.868803835,1,right,28,M,Self = Positive,19,Turkish
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,5.733109012,1,right,28,M,Self = Positive,19,Turkish
Self,Light,0,3,3,1,w,w,o,LIGHT,DARK,3.179054852,1,right,28,M,Self = Positive,19,Turkish
Self,Strong,1,0,4,0,w,w,o,LIGHT,DARK,1.639756445,1,right,28,M,Self = Positive,19,Turkish
Stranger,Light,1,1,5,3,o,w,o,LIGHT,DARK,2.641456815,1,right,28,M,Self = Positive,19,Turkish
Stranger,Strong,1,2,6,2,o,w,o,LIGHT,DARK,2.811287741,1,right,28,M,Self = Positive,19,Turkish
