participant,Matching,rt,corr
15,Matching,1118.6289,1
15,Matching,653.3267,1
15,Matching,750.8029,1
15,Matching,555.996,1
15,Matching,521.3099,1
15,Matching,600.3615,1
15,Matching,580.3186,1
15,Matching,784.7118,1
15,Matching,836.8863,1
15,Matching,582.8062,1
15,Matching,547.369,1
15,Matching,585.6023,1
15,Matching,829.6988,1
15,Matching,568.0196,1
16,Nonmatching,1148.2072,1
16,Nonmatching,705.9214,1
16,Nonmatching,1625.4772,1
16,Nonmatching,611.5769,1
16,Nonmatching,654.6745,1
16,Nonmatching,528.2689,1
16,Nonmatching,1622.657,1
16,Nonmatching,1169.5095,1
16,Nonmatching,870.0904,1
16,Nonmatching,1566.6707,1
16,Nonmatching,1732.0713,1
16,Nonmatching,1698.2862,0
16,Nonmatching,1137.9508,1
16,Nonmatching,600.0488,1
16,Nonmatching,636.1346,1
16,Nonmatching,973.3266,1
16,Nonmatching,689.9483,0
16,Nonmatching,1306.0758,1
16,Nonmatching,1225.39,1
16,Nonmatching,652.2822999,0
16,Matching,929.4954001,1
16,Matching,712.2395999,1
16,Matching,1319.4185,1
16,Matching,950.1266001,1
16,Matching,635.9741,1
16,Matching,821.9076,1
16,Matching,688.5756,1
16,Matching,688.5555,1
16,Matching,1312.7777,1
16,Matching,648.0355,1
16,Matching,673.9429,1
16,Matching,802.62,1
16,Matching,773.8658,1
16,Matching,634.7196,1
16,Matching,701.394,1
16,Matching,1436.7577,1
16,Matching,614.6731001,1
16,Matching,1178.1519,1
16,Matching,654.5154001,1
16,Matching,760.1245,1
17,Matching,1506.2764,1
17,Matching,1377.1328,1
17,Matching,557.7724,1
17,Matching,595.0961,1
17,Matching,806.6907,1
17,Matching,610.5747,0
17,Matching,773.6063,1
17,Matching,818.2799999,1
17,Matching,541.0154,1
17,Matching,835.0297,0
17,Matching,660.9835,1
17,Matching,798.2932,1
17,Matching,658.3617,1
17,Matching,523.5638,1
17,Matching,722.2027,1
17,Matching,545.1042,1
17,Matching,583.0785,1
17,Matching,611.7456,1
17,Matching,759.161,1
17,Matching,516.3007,1
17,Nonmatching,630.8311,1
17,Nonmatching,761.7123,1
17,Nonmatching,998.9799,1
17,Nonmatching,738.8498,1
17,Nonmatching,577.0592,1
17,Nonmatching,869.72,1
17,Nonmatching,750.4076,1
17,Nonmatching,891.6282,1
17,Nonmatching,555.3956,1
17,Nonmatching,713.021,1
17,Nonmatching,760.3861,1
17,Nonmatching,813.6148,1
17,Nonmatching,1288.7999,1
17,Nonmatching,832.135,0
17,Nonmatching,819.0311,1
17,Nonmatching,797.3679,1
17,Nonmatching,825.6328,1
17,Nonmatching,684.2717,1
17,Nonmatching,956.797,1
17,Nonmatching,602.1646,1
18,Matching,732.3186,1
18,Matching,554.9739,1
18,Matching,703.4704,1
18,Matching,711.2063,1
18,Matching,782.3308,1
18,Matching,635.0783,1
18,Matching,772.8792,1
18,Matching,617.7452,1
18,Matching,557.0782,1
18,Matching,778.53,1
18,Matching,559.0248,1
18,Matching,564.2588,1
18,Matching,537.4821,1
18,Matching,647.6466,1
18,Matching,464.9733,1
18,Matching,538.2593,1
18,Matching,544.4298,1
18,Matching,534.3059,1
18,Matching,740.9996,1
18,Matching,554.8032,1
18,Nonmatching,1101.0103,1
18,Nonmatching,876.3221,1
18,Nonmatching,764.9013,1
18,Nonmatching,642.4049,1
18,Nonmatching,1068.171,1
18,Nonmatching,637.5467,1
18,Nonmatching,751.5545,1
18,Nonmatching,476.9653,1
18,Nonmatching,981.4722,1
18,Nonmatching,554.0749001,1
18,Nonmatching,695.6213,1
18,Nonmatching,623.4376,1
18,Nonmatching,546.4639,1
18,Nonmatching,536.1172,1
18,Nonmatching,886.0207,1
18,Nonmatching,758.2941,1
18,Nonmatching,563.672,1
18,Nonmatching,448.8516,0
18,Nonmatching,834.7787,1
18,Nonmatching,708.8616,0
19,Matching,1592.9517,1
19,Matching,1356.0053,1
19,Matching,833.5629,1
19,Matching,948.1538,1
19,Matching,866.2969,1
19,Matching,811.5529,1
19,Matching,847.0181,1
19,Matching,672.7223,1
19,Matching,889.3808,1
19,Matching,713.8702,1
19,Matching,768.7444,1
19,Matching,725.5716,1
19,Matching,1196.1508,1
19,Matching,823.2401,1
19,Matching,682.055,1
19,Matching,770.6476,1
19,Matching,583.4263,1
19,Matching,740.1085999,1
19,Matching,617.9919,1
19,Matching,788.533,1
19,Nonmatching,1004.5768,1
19,Nonmatching,919.9899,1
19,Nonmatching,1030.5749,1
19,Nonmatching,913.5343,1
19,Nonmatching,816.7038,1
19,Nonmatching,1555.8407,1
19,Nonmatching,1545.4145,1
19,Nonmatching,1279.5683,0
19,Nonmatching,1223.9806,1
19,Nonmatching,698.6149,1
19,Nonmatching,986.7501,1
19,Nonmatching,1662.7528,1
19,Nonmatching,776.0495,1
19,Nonmatching,932.7221,1
19,Nonmatching,1131.3225,1
19,Nonmatching,714.1147,1
19,Nonmatching,1329.4264,1
19,Nonmatching,736.0259,1
19,Nonmatching,797.9261,1
19,Nonmatching,769.8839,1
1,Matching,964.8688,1
1,Matching,649.3702,1
1,Matching,651.3827,1
1,Matching,548.7208001,1
1,Matching,858.8842,1
1,Matching,628.1156001,1
1,Matching,743.029,1
1,Matching,540.8278999,1
1,Matching,666.7018001,1
1,Matching,555.889,1
1,Matching,577.6138999,1
1,Matching,886.1811,1
1,Matching,662.1883,1
1,Matching,567.3447,1
1,Matching,556.4932,1
1,Matching,546.2016,1
1,Matching,511.453,1
1,Matching,622.54,1
1,Matching,553.2695,1
1,Matching,574.7645,1
1,Nonmatching,1290.6717,1
1,Nonmatching,842.7991,1
1,Nonmatching,884.6693999,1
1,Nonmatching,749.1901,1
1,Nonmatching,1787.2609,1
1,Nonmatching,823.1224001,1
1,Nonmatching,609.9916,1
1,Nonmatching,813.323,0
1,Nonmatching,2384.6498,1
1,Nonmatching,861.2884999,1
1,Nonmatching,582.416,1
1,Nonmatching,723.2553,1
1,Nonmatching,705.1223,1
1,Nonmatching,760.6757,1
1,Nonmatching,1101.9443,1
1,Nonmatching,925.0739,0
1,Nonmatching,1467.9418,1
1,Nonmatching,1109.3217,1
1,Nonmatching,740.5849999,1
1,Nonmatching,1106.3738,1
20,Matching,854.2412,1
20,Matching,600.1102,1
20,Matching,579.9173,1
20,Matching,640.2492999,1
20,Matching,577.9384,1
20,Matching,526.4501,1
20,Matching,668.7903,1
20,Matching,701.6712,1
20,Matching,572.8899001,1
20,Matching,657.7327,1
20,Matching,619.0642,1
20,Matching,709.8219,1
20,Matching,653.1114001,1
20,Matching,726.3303,1
20,Matching,972.7956001,1
20,Matching,657.7425,1
20,Matching,538.8637,1
20,Matching,704.8127999,1
20,Matching,592.4093,1
20,Matching,620.1694,1
20,Nonmatching,759.1052999,1
20,Nonmatching,924.3101,1
20,Nonmatching,963.0994999,1
20,Nonmatching,655.4769999,1
20,Nonmatching,776.9376,1
20,Nonmatching,564.9146,1
20,Nonmatching,554.152,1
20,Nonmatching,584.0392,0
20,Nonmatching,732.2033,1
20,Nonmatching,1418.923,1
20,Nonmatching,629.537,1
20,Nonmatching,952.2315001,1
20,Nonmatching,1021.3867,1
20,Nonmatching,736.1998999,1
20,Nonmatching,830.3507,1
20,Nonmatching,817.1684,1
20,Nonmatching,804.0680999,1
20,Nonmatching,615.3823,1
20,Nonmatching,586.9704001,1
20,Nonmatching,678.9415,1
21,Nonmatching,1652.4199,0
21,Nonmatching,1125.992,1
21,Nonmatching,1708.6439,1
21,Nonmatching,1627.3107,1
21,Nonmatching,1485.907,1
21,Nonmatching,1693.1932,1
21,Nonmatching,893.2634,1
21,Nonmatching,1245.2,1
21,Nonmatching,1151.2014,1
21,Nonmatching,1293.3807,1
21,Nonmatching,676.8754,1
21,Nonmatching,845.9708999,0
21,Nonmatching,968.0332,1
21,Nonmatching,828.799,1
21,Nonmatching,1415.7939,0
21,Nonmatching,1138.88,1
21,Nonmatching,1545.2602,1
21,Nonmatching,991.2536001,1
21,Nonmatching,651.2209999,1
21,Nonmatching,629.2009001,1
21,Matching,815.6437001,1
21,Matching,1034.2815,1
21,Matching,613.2287,1
21,Matching,872.3473999,1
21,Matching,729.2356,1
21,Matching,1559.8187,1
21,Matching,1277.0967,1
21,Matching,1148.9059,1
21,Matching,635.1086,1
21,Matching,805.0211,1
21,Matching,944.32,1
21,Matching,1134.3897,1
21,Matching,1125.1264,1
21,Matching,892.017,1
21,Matching,803.6211999,1
21,Matching,990.9516,1
21,Matching,1875.1224,1
21,Matching,1171.5661,1
21,Matching,832.3472,1
21,Matching,1043.0947,1
22,Nonmatching,651.2338999,1
22,Nonmatching,845.3015001,1
22,Nonmatching,623.4347001,1
22,Nonmatching,657.0484,1
22,Nonmatching,530.0222,1
22,Nonmatching,632.7133998,0
