Source,Subject,Matching,Comparison,Cohens_d_RT,Cohens_d_ACC
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_50,Matching,Self vs Close,-0.11198386305702161,0.5133521357855587
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_50,Nonmatching,Self vs Stranger,0.13659324203624598,0.15245321651804755
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_50,Nonmatching,Self vs Close,-0.09857567786219794,0.09093642985181129
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_51,Matching,Self vs Stranger,0.7353122250671816,-0.10533466055481785
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_51,Matching,Self vs Close,0.5654910226927133,-0.25652589478119675
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_51,Nonmatching,Self vs Stranger,0.012771870430557709,-0.259808072836509
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_51,Nonmatching,Self vs Close,-0.20227429050632117,-0.10622227680531773
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_52,Matching,Self vs Stranger,0.9985186207868291,0.3214702406631534
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_52,Matching,Self vs Close,1.181495821776211,0.3681414622949469
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_52,Nonmatching,Self vs Stranger,0.023374852262621166,0.18142801139607015
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_52,Nonmatching,Self vs Close,-0.1744606799502735,0.3076825731591269
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_53,Matching,Self vs Stranger,0.18743695055041623,0
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_53,Matching,Self vs Close,-0.10280156525899944,-0.15114050241549828
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_53,Nonmatching,Self vs Stranger,0.0172077562071458,0.10244823016910846
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_53,Nonmatching,Self vs Close,-0.08452020804288175,-0.1878922986947954
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_54,Matching,Self vs Stranger,0.5854604507569492,0.48979622269517353
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_54,Matching,Self vs Close,0.6610484773763057,0.8498237231580311
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_54,Nonmatching,Self vs Stranger,-0.1805621451611846,-0.023099520242198763
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_54,Nonmatching,Self vs Close,-0.07309144418141485,0.11375610742576293
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_55,Matching,Self vs Stranger,1.9473995058997862,0.8901595193337514
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_55,Matching,Self vs Close,1.1181335020054517,0.7402011152423451
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_55,Nonmatching,Self vs Stranger,-0.31428477160489965,0.06316452337949961
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_55,Nonmatching,Self vs Close,-0.7201304098166134,0.12604233847128268
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_56,Matching,Self vs Stranger,1.7358369346402727,-0.10533466055481785
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_56,Matching,Self vs Close,1.239398753489397,-0.25875653414936717
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_56,Nonmatching,Self vs Stranger,0.09066633409228929,NA
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_56,Nonmatching,Self vs Close,-0.16103135006648572,NA
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_57,Matching,Self vs Stranger,1.709845784852821,0.9300574628128642
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_57,Matching,Self vs Close,1.2068405841783962,0.19173055495645458
