"","Subject","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC","Phase"
"230",1,"Matching","Stranger","2",800,0.8,1,2
"231",1,"Matching","Stranger","2",883,0.883,1,2
"232",1,"Matching","Stranger","2",1017,1.017,1,2
"233",1,"Matching","Stranger","2",1283,1.283,1,2
"234",1,"Matching","Stranger","2",817,0.817,1,2
"235",1,"Matching","Stranger","2",884,0.884,1,2
"236",1,"Matching","Stranger","2",867,0.867,1,2
"237",1,"Matching","Stranger","2",717,0.717,1,2
"238",1,"Matching","Stranger","2",734,0.734,1,2
"239",1,"Matching","Stranger","2",733,0.733,1,2
"240",1,"Matching","Stranger","2",667,0.667,1,2
"241",1,"Nonmatching","Self","1",933,0.933,1,1
"242",1,"Nonmatching","Self","1",1050,1.05,1,1
"243",1,"Nonmatching","Self","1",683,0.683,1,1
"244",1,"Nonmatching","Self","1",634,0.634,1,1
"245",1,"Nonmatching","Self","1",834,0.834,1,1
"246",1,"Nonmatching","Self","1",1067,1.067,1,1
"247",1,"Nonmatching","Self","1",634,0.634,1,1
"248",1,"Nonmatching","Self","1",783,0.783,1,1
"249",1,"Nonmatching","Self","1",1150,1.15,1,1
"250",1,"Nonmatching","Self","1",833,0.833,1,1
"251",1,"Nonmatching","Self","1",700,0.7,1,1
"252",1,"Nonmatching","Self","1",1050,1.05,1,1
"253",1,"Nonmatching","Self","1",850,0.85,1,1
"254",1,"Nonmatching","Self","1",1133,1.133,1,1
"255",1,"Nonmatching","Self","1",833,0.833,1,1
"256",1,"Nonmatching","Self","1",1067,1.067,1,1
"257",1,"Nonmatching","Self","1",1367,1.367,1,1
"258",1,"Nonmatching","Self","1",983,0.983,1,1
"259",1,"Nonmatching","Self","1",734,0.734,1,1
"260",1,"Nonmatching","Self","1",867,0.867,1,2
"261",1,"Nonmatching","Self","1",917,0.917,1,2
"262",1,"Nonmatching","Self","1",1000,1,1,2
"263",1,"Nonmatching","Self","1",867,0.867,1,2
"264",1,"Nonmatching","Self","1",1083,1.083,1,2
"265",1,"Nonmatching","Self","1",1017,1.017,1,2
"266",1,"Nonmatching","Self","1",850,0.85,1,2
"267",1,"Nonmatching","Self","1",1150,1.15,1,2
"268",1,"Nonmatching","Self","1",900,0.9,1,2
"269",1,"Nonmatching","Self","1",1050,1.05,1,2
"270",1,"Nonmatching","Self","1",967,0.967,1,2
"271",1,"Nonmatching","Self","1",967,0.967,1,2
"272",1,"Nonmatching","Self","1",767,0.767,1,2
"273",1,"Nonmatching","Self","1",1050,1.05,1,2
"274",1,"Nonmatching","Self","1",1300,1.3,1,2
"275",1,"Nonmatching","Self","1",833,0.833,1,2
"276",1,"Nonmatching","Self","1",884,0.884,1,2
