Shape,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,selfkey,strangerkey,selfStimuli,strangerStimuli,rt,corr,6. Stimuli Type (SN/SP),4. Handedness,7. Experiment Type (T/NT),3. Age,5. First Language,2. Gender (M/F),1. Participant Number
Stranger,0,1,1,1,o,w,o,HAPPY,SAD,3.301956915,1,SP,Right,T,18,Hungarian,F,18
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,2.509205426,1,SP,Right,T,18,Hungarian,F,18
Self,1,1,3,0,w,w,o,HAPPY,SAD,1.47635685,1,SP,Right,T,18,Hungarian,F,18
Stranger,0,0,0,1,o,w,o,SAD,HAPPY,8.0119711,1,SN,Right,T,37,Hungarian,M,19
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,1.807014323,1,SN,Right,T,37,Hungarian,M,19
Self,1,0,2,0,w,w,o,SAD,HAPPY,1.266188502,1,SN,Right,T,37,Hungarian,M,19
Self,1,1,3,0,w,w,o,SAD,HAPPY,1.618677253,1,SN,Right,T,37,Hungarian,M,19
Self,0,0,0,0,w,w,o,SAD,HAPPY,7.061335033,1,SN,Right,T,18,Hungarian,F,20
Self,0,1,1,0,w,w,o,SAD,HAPPY,2.215016678,1,SN,Right,T,18,Hungarian,F,20
Stranger,1,0,2,1,o,w,o,SAD,HAPPY,2.8899172,1,SN,Right,T,18,Hungarian,F,20
Stranger,1,1,3,1,o,w,o,SAD,HAPPY,0.977980282,1,SN,Right,T,18,Hungarian,F,20
Self,0,0,0,0,w,w,o,HAPPY,SAD,5.884075016,1,SP,Right,T,21,Hungarian,M,21
Self,0,1,1,0,w,w,o,HAPPY,SAD,1.980345501,1,SP,Right,T,21,Hungarian,M,21
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,1.352492759,1,SP,Right,T,21,Hungarian,M,21
Stranger,1,1,3,1,o,w,o,HAPPY,SAD,0.429923603,1,SP,Right,T,21,Hungarian,M,21
Self,0,0,0,0,w,w,o,HAPPY,SAD,18.27065521,1,SP,Right,T,31,Hindi,M,22
Stranger,0,1,1,1,o,w,o,HAPPY,SAD,2.318485864,1,SP,Right,T,31,Hindi,M,22
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,0.845109886,1,SP,Right,T,31,Hindi,M,22
Self,1,1,3,0,w,w,o,HAPPY,SAD,0.567202286,1,SP,Right,T,31,Hindi,M,22
Stranger,0,0,0,1,o,w,o,SAD,HAPPY,9.987930412,1,SN,Right,T,25,Hungarian,M,23
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,2.168100157,1,SN,Right,T,25,Hungarian,M,23
Self,1,0,2,0,w,w,o,SAD,HAPPY,2.348747601,1,SN,Right,T,25,Hungarian,M,23
Self,1,1,3,0,w,w,o,SAD,HAPPY,0.561993432,1,SN,Right,T,25,Hungarian,M,23
Stranger,0,0,0,1,o,w,o,SAD,HAPPY,8.480076843,1,SN,Right,T,23,English,M,24
Self,0,1,1,0,w,w,o,SAD,HAPPY,2.376611605,1,SN,Right,T,23,English,M,24
Self,1,0,2,0,w,w,o,SAD,HAPPY,3.077376758,1,SN,Right,T,23,English,M,24
Stranger,1,1,3,1,o,w,o,SAD,HAPPY,2.022196192,1,SN,Right,T,23,English,M,24
Stranger,0,0,0,1,o,w,o,HAPPY,SAD,2.546173109,1,SP,Right,T,19,Azerbaijani,M,25
Stranger,0,1,1,1,o,w,o,HAPPY,SAD,1.080311667,1,SP,Right,T,19,Azerbaijani,M,25
Self,1,0,2,0,w,w,o,HAPPY,SAD,2.184989323,1,SP,Right,T,19,Azerbaijani,M,25
Self,1,1,3,0,w,w,o,HAPPY,SAD,0.524870339,1,SP,Right,T,19,Azerbaijani,M,25
Stranger,0,0,0,1,o,w,o,HAPPY,SAD,6.820234128,1,SP,Right,T,19,Azerbaijani,M,26
Self,0,1,1,0,w,w,o,HAPPY,SAD,2.079061879,1,SP,Right,T,19,Azerbaijani,M,26
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,1.543688891,1,SP,Right,T,19,Azerbaijani,M,26
Self,1,1,3,0,w,w,o,HAPPY,SAD,0.861616643,1,SP,Right,T,19,Azerbaijani,M,26
Stranger,0,0,0,1,w,w,o,SAD,HAPPY,7.992308594,0,SN,Right,T,24,Azerbaijani,M,27
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,3.634913265,1,SN,Right,T,24,Azerbaijani,M,27
Self,1,0,2,0,w,w,o,SAD,HAPPY,1.036361849,1,SN,Right,T,24,Azerbaijani,M,27
Self,1,1,3,0,w,w,o,SAD,HAPPY,2.030533088,1,SN,Right,T,24,Azerbaijani,M,27
Self,0,0,0,0,w,w,o,SAD,HAPPY,3.997172103,1,SN,Right,T,31,Azerbaijani,M,28
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,1.736511727,1,SN,Right,T,31,Azerbaijani,M,28
Self,1,0,2,0,w,w,o,SAD,HAPPY,1.326554356,1,SN,Right,T,31,Azerbaijani,M,28
Stranger,1,1,3,1,o,w,o,SAD,HAPPY,0.733043082,1,SN,Right,T,31,Azerbaijani,M,28
Stranger,0,0,0,1,o,w,o,HAPPY,SAD,7.605085126,1,SP,Right,T,22,Kyrgyz,F,29
Self,0,1,1,0,w,w,o,HAPPY,SAD,3.200820701,1,SP,Right,T,22,Kyrgyz,F,29
Self,1,0,2,0,w,w,o,HAPPY,SAD,2.555043988,1,SP,Right,T,22,Kyrgyz,F,29
Stranger,1,1,3,1,o,w,o,HAPPY,SAD,1.632446043,1,SP,Right,T,22,Kyrgyz,F,29
Stranger,0,0,0,1,w,w,o,HAPPY,SAD,4.289964184,0,SP,Left,T,23,Georgian,F,30
Self,0,1,1,0,w,w,o,HAPPY,SAD,1.161998493,1,SP,Left,T,23,Georgian,F,30
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,3.111155372,1,SP,Left,T,23,Georgian,F,30
Self,1,1,3,0,w,w,o,HAPPY,SAD,0.99839161,1,SP,Left,T,23,Georgian,F,30
Stranger,0,0,0,1,o,w,o,SAD,HAPPY,16.10155368,1,SN,Left,T,24,Hungarian,M,31
Self,0,1,1,0,w,w,o,SAD,HAPPY,0.957707516,1,SN,Left,T,24,Hungarian,M,31
Stranger,1,0,2,1,w,w,o,SAD,HAPPY,6.739242608,0,SN,Left,T,24,Hungarian,M,31
Self,1,1,3,0,w,w,o,SAD,HAPPY,13.74575555,1,SN,Left,T,24,Hungarian,M,31
Self,0,0,0,0,w,w,o,SAD,HAPPY,5.051883254,1,SN,Right,T,22,Hungarian,F,32
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,2.749474922,1,SN,Right,T,22,Hungarian,F,32
Self,1,0,2,0,w,w,o,SAD,HAPPY,1.274944373,1,SN,Right,T,22,Hungarian,F,32
Stranger,1,1,3,1,o,w,o,SAD,HAPPY,1.171700969,1,SN,Right,T,22,Hungarian,F,32
Self,0,0,0,0,w,w,o,HAPPY,SAD,18.79357655,1,SP,Right,T,31,Spanish,M,33
Stranger,0,1,1,1,o,w,o,HAPPY,SAD,2.110286036,1,SP,Right,T,31,Spanish,M,33
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,2.637505093,1,SP,Right,T,31,Spanish,M,33
Self,1,1,3,0,w,w,o,HAPPY,SAD,3.551285291,1,SP,Right,T,31,Spanish,M,33
Stranger,0,0,0,1,o,w,o,HAPPY,SAD,11.20651326,1,SP,Right,T,26,Turkish,M,34
Self,0,1,1,0,w,w,o,HAPPY,SAD,4.322460003,1,SP,Right,T,26,Turkish,M,34
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,3.294727583,1,SP,Right,T,26,Turkish,M,34
Self,1,1,3,0,w,w,o,HAPPY,SAD,2.182902111,1,SP,Right,T,26,Turkish,M,34
Self,0,0,0,0,w,w,o,SAD,HAPPY,14.23027926,1,SN,Right,T,28,Hindi,F,35
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,2.320799947,1,SN,Right,T,28,Hindi,F,35
Stranger,1,0,2,1,o,w,o,SAD,HAPPY,1.615385192,1,SN,Right,T,28,Hindi,F,35
Self,1,1,3,0,w,w,o,SAD,HAPPY,0.793958708,1,SN,Right,T,28,Hindi,F,35
Stranger,0,0,0,1,o,w,o,SAD,HAPPY,5.328790551,1,SN,Left,T,28,English,M,36
Self,0,1,1,0,w,w,o,SAD,HAPPY,1.927031895,1,SN,Left,T,28,English,M,36
Stranger,1,0,2,1,o,w,o,SAD,HAPPY,3.141862314,1,SN,Left,T,28,English,M,36
Self,1,1,3,0,w,w,o,SAD,HAPPY,1.044078539,1,SN,Left,T,28,English,M,36
Self,0,0,0,0,w,w,o,HAPPY,SAD,23.87434484,1,SP,Right,T,18,Hungarian,F,37
Self,0,1,1,0,w,w,o,HAPPY,SAD,10.90031923,1,SP,Right,T,18,Hungarian,F,37
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,7.038218193,1,SP,Right,T,18,Hungarian,F,37
Stranger,1,1,3,1,o,w,o,HAPPY,SAD,3.312608273,1,SP,Right,T,18,Hungarian,F,37
Stranger,0,0,0,1,o,w,o,HAPPY,SAD,4.574572596,1,SP,Right,T,23,Hungarian,M,38
Self,0,1,1,0,w,w,o,HAPPY,SAD,2.819164316,1,SP,Right,T,23,Hungarian,M,38
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,1.685652563,1,SP,Right,T,23,Hungarian,M,38
Self,1,1,3,0,w,w,o,HAPPY,SAD,1.093559019,1,SP,Right,T,23,Hungarian,M,38
Stranger,0,0,0,1,o,w,o,SAD,HAPPY,13.65882392,1,SN,Right,T,23,Russian,F,39
Self,0,1,1,0,w,w,o,SAD,HAPPY,3.925037387,1,SN,Right,T,23,Russian,F,39
Self,1,0,2,0,w,w,o,SAD,HAPPY,2.995906759,1,SN,Right,T,23,Russian,F,39
Stranger,1,1,3,1,o,w,o,SAD,HAPPY,1.799364458,1,SN,Right,T,23,Russian,F,39
Self,0,0,0,0,w,w,o,SAD,HAPPY,7.057059939,1,SN,Right,T,22,Hungarian,F,40
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,2.506407898,1,SN,Right,T,22,Hungarian,F,40
Stranger,1,0,2,1,o,w,o,SAD,HAPPY,2.761627861,1,SN,Right,T,22,Hungarian,F,40
Self,1,1,3,0,w,w,o,SAD,HAPPY,1.662866645,1,SN,Right,T,22,Hungarian,F,40
Stranger,0,0,0,1,o,w,o,HAPPY,SAD,5.240464896,1,SP,Right,T,24,Hungarian,F,41
Stranger,0,1,1,1,o,w,o,HAPPY,SAD,2.242806429,1,SP,Right,T,24,Hungarian,F,41
Self,1,0,2,0,w,w,o,HAPPY,SAD,1.908963677,1,SP,Right,T,24,Hungarian,F,41
Self,1,1,3,0,w,w,o,HAPPY,SAD,0.692349571,1,SP,Right,T,24,Hungarian,F,41
Self,0,0,0,0,w,w,o,HAPPY,SAD,25.49549461,1,SP,Right,T,27,Hungarian,F,42
Stranger,0,1,1,1,o,w,o,HAPPY,SAD,3.791765628,1,SP,Right,T,27,Hungarian,F,42
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,2.091616633,1,SP,Right,T,27,Hungarian,F,42
Self,1,1,3,0,w,w,o,HAPPY,SAD,1.675545842,1,SP,Right,T,27,Hungarian,F,42
Stranger,0,0,0,1,w,w,o,SAD,HAPPY,15.81081116,0,SN,Left,T,22,Russian,M,43
Self,0,1,1,0,w,w,o,SAD,HAPPY,4.8710933,1,SN,Left,T,22,Russian,M,43
Stranger,1,0,2,1,o,w,o,SAD,HAPPY,2.880010154,1,SN,Left,T,22,Russian,M,43
Self,1,1,3,0,w,w,o,SAD,HAPPY,2.840226202,1,SN,Left,T,22,Russian,M,43
Stranger,0,0,0,1,o,w,o,SAD,HAPPY,11.07552599,1,SN,Right,T,23,Hungarian,M,44
Self,0,1,1,0,w,w,o,SAD,HAPPY,0.820841736,1,SN,Right,T,23,Hungarian,M,44
Self,1,0,2,0,w,w,o,SAD,HAPPY,0.783565131,1,SN,Right,T,23,Hungarian,M,44
Stranger,1,1,3,1,o,w,o,SAD,HAPPY,0.49160546,1,SN,Right,T,23,Hungarian,M,44
Stranger,0,0,0,1,o,w,o,HAPPY,SAD,10.89970778,1,SP,Right,T,30,Turkish,F,45
Self,0,1,1,0,w,w,o,HAPPY,SAD,2.715356664,1,SP,Right,T,30,Turkish,F,45
Self,1,0,2,0,w,w,o,HAPPY,SAD,2.033973181,1,SP,Right,T,30,Turkish,F,45
Stranger,1,1,3,1,o,w,o,HAPPY,SAD,1.579875705,1,SP,Right,T,30,Turkish,F,45
Self,0,0,0,0,w,w,o,HAPPY,SAD,9.813715675,1,SP,Right,T,23,Hungarian,F,46
Self,0,1,1,0,w,w,o,HAPPY,SAD,3.994829361,1,SP,Right,T,23,Hungarian,F,46
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,2.98305616,1,SP,Right,T,23,Hungarian,F,46
Stranger,1,1,3,1,o,w,o,HAPPY,SAD,3.099282419,1,SP,Right,T,23,Hungarian,F,46
Stranger,0,0,0,1,o,w,o,SAD,HAPPY,8.652951562,1,SN,Right,T,31,Russian,F,47
Self,0,1,1,0,w,w,o,SAD,HAPPY,1.334860509,1,SN,Right,T,31,Russian,F,47
Stranger,1,0,2,1,o,w,o,SAD,HAPPY,1.180567849,1,SN,Right,T,31,Russian,F,47
Self,1,1,3,0,w,w,o,SAD,HAPPY,0.584513687,1,SN,Right,T,31,Russian,F,47
Self,0,0,0,0,w,w,o,SAD,HAPPY,9.218214213,1,SN,Right,T,25,Hungarian,F,48
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,5.869405154,1,SN,Right,T,25,Hungarian,F,48
Stranger,1,0,2,1,o,w,o,SAD,HAPPY,1.246243125,1,SN,Right,T,25,Hungarian,F,48
Self,1,1,3,0,w,w,o,SAD,HAPPY,1.351670538,1,SN,Right,T,25,Hungarian,F,48
Stranger,0,0,0,1,o,w,o,HAPPY,SAD,17.2883587,1,SP,Right,T,24,Kazakh,M,49
Self,0,1,1,0,w,w,o,HAPPY,SAD,3.025033577,1,SP,Right,T,24,Kazakh,M,49
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,2.939542392,1,SP,Right,T,24,Kazakh,M,49
Self,1,1,3,0,w,w,o,HAPPY,SAD,1.265467245,1,SP,Right,T,24,Kazakh,M,49
Self,0,0,0,0,w,w,o,HAPPY,SAD,10.59440551,1,SP,Right,T,19,Azerbaijani,M,50
Stranger,0,1,1,1,o,w,o,HAPPY,SAD,4.118120883,1,SP,Right,T,19,Azerbaijani,M,50
