"Subject","Gender","Shape","Label1","Label2","Label3","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Response","RT_ms","RT_sec","ACC"
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","z",799,0.799,1
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","z",985,0.985,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Matching","m",747,0.747,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Matching","m",651,0.651,1
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","z",1299,1.299,1
3018,2,"You","none","Milan","You","Self","Self","Self","Matching","m",745,0.745,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Nonmatching","z",958,0.958,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Matching","m",595,0.595,1
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","m",697,0.697,0
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","z",913,0.913,1
3018,2,"none","none","Milan","You","None","None","NonPerson","Matching","m",951,0.951,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Nonmatching","z",754,0.754,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Nonmatching","z",1049,1.049,1
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","z",826,0.826,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Matching","m",651,0.651,1
3018,2,"none","none","Milan","You","None","None","NonPerson","Nonmatching","z",662,0.662,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Nonmatching","z",910,0.91,1
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","z",860,0.86,1
3018,2,"none","none","Milan","You","None","None","NonPerson","Nonmatching","z",973,0.973,1
3018,2,"You","none","Milan","You","Self","Self","Self","Matching","m",898,0.898,1
3018,2,"none","none","Milan","You","None","None","NonPerson","Nonmatching","z",1064,1.064,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Nonmatching","z",848,0.848,1
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","z",1250,1.25,1
3018,2,"none","none","Milan","You","None","None","NonPerson","Nonmatching","z",930,0.93,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Matching","m",679,0.679,1
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","z",1240,1.24,1
3018,2,"You","none","Milan","You","Self","Self","Self","Matching","m",1104,1.104,1
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","z",678,0.678,1
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","z",744,0.744,1
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","z",621,0.621,1
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","z",1040,1.04,1
3018,2,"You","none","Milan","You","Self","Self","Self","Matching","z",1024,1.024,0
3018,2,"You","none","Milan","You","Self","Self","Self","Matching","m",578,0.578,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Nonmatching","z",768,0.768,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Matching","m",796,0.796,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Nonmatching","z",928,0.928,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Nonmatching","z",910,0.91,1
3018,2,"none","none","Milan","You","None","None","NonPerson","Matching","m",804,0.804,1
3018,2,"none","none","Milan","You","None","None","NonPerson","Matching","m",983,0.983,1
3018,2,"You","none","Milan","You","Self","Self","Self","Matching","z",842,0.842,0
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Matching","m",764,0.764,1
3018,2,"none","none","Milan","You","None","None","NonPerson","Nonmatching","z",744,0.744,1
3018,2,"none","none","Milan","You","None","None","NonPerson","Matching","m",902,0.902,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Matching","m",580,0.58,1
3018,2,"You","none","Milan","You","Self","Self","Self","Matching","m",570,0.57,1
3018,2,"You","none","Milan","You","Self","Self","Self","Matching","m",518,0.518,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Matching","m",597,0.597,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Nonmatching","z",859,0.859,1
3018,2,"none","none","Milan","You","None","None","NonPerson","Matching","m",619,0.619,1
3018,2,"You","none","Milan","You","Self","Self","Self","Nonmatching","z",839,0.839,1
3018,2,"none","none","Milan","You","None","None","NonPerson","Matching","m",680,0.68,1
3018,2,"none","none","Milan","You","None","None","NonPerson","Nonmatching","z",768,0.768,1
3018,2,"You","none","Milan","You","Self","Self","Self","Matching","m",620,0.62,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Nonmatching","z",646,0.646,1
3018,2,"none","none","Milan","You","None","None","NonPerson","Matching","m",419,0.419,1
3018,2,"Milan","none","Milan","You","Friend","Friend","Close","Nonmatching","z",637,0.637,1
