"Subject","Age","Gender","Session","Shape","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","Phase","RT_ms","RT_sec","ACC"
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",912,0.912,1
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",818,0.818,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",0,"post",860,0.86,0
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",1,"post",711,0.711,0
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",1057,1.057,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",586,0.586,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",1,"post",644,0.644,0
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",798,0.798,1
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",1032,1.032,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",890,0.89,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",0,"post",757,0.757,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",703,0.703,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",729,0.729,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",739,0.739,1
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",685,0.685,1
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",919,0.919,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",817,0.817,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",804,0.804,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",1,"post",726,0.726,0
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",1,"post",704,0.704,0
12,27,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",746,0.746,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",636,0.636,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",886,0.886,1
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",624,0.624,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",747,0.747,1
12,27,"male","post","self","Matching","Self","Self","Self",1,"post",724,0.724,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",0,"post",822,0.822,1
12,27,"male","post","self","Nonmatching","Self","Self","Self",0,"post",938,0.938,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",692,0.692,1
12,27,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",918,0.918,1
12,27,"male","post","friend","Matching","Friend","Friend","Close",1,"post",889,0.889,1
12,27,"male","post","stranger","Matching","Stranger","Stranger","Stranger",0,"post",739,0.739,0
