"","Subject","Gender","Shape","Label1","Label2","Label3","Identity","Matching","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"28",1002,2,"You","You","none","Masha","Self","Matching","m",624,0.624,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"29",1002,2,"You","You","none","Masha","Self","Matching","m",497,0.497,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"30",1002,2,"You","You","none","Masha","Self","Matching","m",567,0.567,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"31",1002,2,"You","You","none","Masha","Self","Matching","m",607,0.607,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"32",1002,2,"You","You","none","Masha","Self","Matching","m",534,0.534,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"33",1002,2,"You","You","none","Masha","Self","Matching","m",524,0.524,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"34",1002,2,"You","You","none","Masha","Self","Matching","m",577,0.577,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"35",1002,2,"You","You","none","Masha","Self","Matching","m",569,0.569,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"36",1002,2,"You","You","none","Masha","Self","Matching","m",572,0.572,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"37",1002,2,"You","You","none","Masha","Self","Matching","m",574,0.574,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"38",1002,2,"You","You","none","Masha","Self","Matching","m",596,0.596,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"39",1002,2,"You","You","none","Masha","Self","Matching","m",741,0.741,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"40",1002,2,"You","You","none","Masha","Self","Matching","m",618,0.618,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"41",1002,2,"You","You","none","Masha","Self","Matching","m",552,0.552,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"42",1002,2,"You","You","none","Masha","Self","Matching","m",636,0.636,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"43",1002,2,"You","You","none","Masha","Self","Matching","m",495,0.495,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"44",1002,2,"You","You","none","Masha","Self","Matching","m",701,0.701,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"45",1002,2,"You","You","none","Masha","Self","Matching","m",600,0.6,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"46",1002,2,"You","You","none","Masha","Self","Matching","m",576,0.576,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"47",1002,2,"You","You","none","Masha","Self","Matching","m",705,0.705,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"48",1002,2,"You","You","none","Masha","Self","Matching","m",628,0.628,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"49",1002,2,"You","You","none","Masha","Self","Matching","m",576,0.576,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"50",1002,2,"You","You","none","Masha","Self","Matching","m",490,0.49,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"51",1002,2,"You","You","none","Masha","Self","Matching","m",577,0.577,1,"21.5-inch",NA,NA,"white","grey",NA,NA
