"","Subject","Age_Participant1","Age_Participant2","StrangerShape","P1Shape","P2Shape","Shape","Matching","Identity","ShapeLoc","Response","RT_ms","RT_sec","ACC","Phase"
"142",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",700.130714,0.700130714,1,1
"143",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",683.516074,0.683516074,1,1
"144",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",916.799282,0.916799282,1,1
"145",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",900.128977,0.900128977,1,1
"146",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",850.457184,0.850457184,1,1
"147",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",666.829188,0.666829188,1,1
"148",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",616.855382,0.616855382,1,1
"149",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",633.47397,0.63347397,1,1
"150",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",683.469094,0.683469094,1,1
"151",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",650.192439,0.650192439,1,1
"152",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",500.448676,0.500448676,1,1
"153",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",600.143624,0.600143624,1,1
"154",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",633.509501,0.633509501,1,1
"155",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",1050.147512,1.050147512,1,1
"156",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",700.137426,0.700137426,1,1
"157",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",550.144157,0.550144157,1,1
"158",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","o",833.471443,0.833471443,0,1
"159",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",650.127694,0.650127694,1,1
"160",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",616.900782,0.616900782,1,1
"161",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",850.06437,0.85006437,1,1
"162",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",633.498447,0.633498447,1,1
"163",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",516.966593,0.516966593,1,1
"164",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",633.511475,0.633511475,1,1
"165",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",816.78811,0.81678811,1,1
"166",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",1250.1363,1.2501363,1,1
"167",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",666.810633,0.666810633,1,1
"168",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",633.478313,0.633478313,1,1
"169",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",550.196269,0.550196269,1,1
"170",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",716.767068,0.716767068,1,1
"171",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",600.078089,0.600078089,1,1
"172",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",733.54594,0.73354594,1,1
"173",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",750.13255,0.75013255,1,1
"174",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",566.799065,0.566799065,1,1
"175",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",566.893814,0.566893814,1,1
"176",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",583.5353,0.5835353,1,1
"177",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",933.892405,0.933892405,1,1
"178",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",583.502138,0.583502138,1,1
"179",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",750.130181,0.750130181,1,1
"180",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",600.129411,0.600129411,1,1
"181",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Top","w",733.594104,0.733594104,1,2
"182",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",683.50581,0.68350581,1,2
"183",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Top","o",866.798631,0.866798631,0,2
"184",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",1066.847427,1.066847427,1,2
"185",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",583.455948,0.583455948,1,2
"186",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Top","w",783.458553,0.783458553,1,2
