"X","Subject","Matching","Identity","Group","RT_ms","RT_sec","ACC"
288,2,"Nonmatching","Friend",2,601,0.601,1
289,2,"Nonmatching","Friend",2,600,0.6,1
290,2,"Nonmatching","Friend",2,710,0.71,1
291,2,"Nonmatching","Friend",2,700,0.7,1
292,2,"Nonmatching","Friend",2,594,0.594,1
293,2,"Nonmatching","Friend",2,431,0.431,0
294,2,"Nonmatching","Friend",2,648,0.648,1
295,2,"Nonmatching","Stranger",2,604,0.604,1
296,2,"Nonmatching","Stranger",2,575,0.575,1
297,2,"Nonmatching","Stranger",2,574,0.574,1
298,2,"Nonmatching","Stranger",2,669,0.669,1
299,2,"Nonmatching","Stranger",2,484,0.484,1
300,2,"Nonmatching","Stranger",2,642,0.642,1
301,2,"Nonmatching","Stranger",2,436,0.436,0
302,2,"Nonmatching","Stranger",2,683,0.683,1
303,2,"Nonmatching","Stranger",2,734,0.734,1
304,2,"Nonmatching","Stranger",2,515,0.515,1
305,2,"Nonmatching","Stranger",2,604,0.604,1
306,2,"Nonmatching","Stranger",2,488,0.488,1
307,2,"Nonmatching","Stranger",2,543,0.543,1
308,2,"Nonmatching","Stranger",2,765,0.765,1
309,2,"Nonmatching","Stranger",2,662,0.662,1
310,2,"Nonmatching","Stranger",2,670,0.67,1
311,2,"Nonmatching","Stranger",2,734,0.734,1
312,2,"Nonmatching","Stranger",2,505,0.505,0
313,2,"Nonmatching","Stranger",2,575,0.575,1
314,2,"Nonmatching","Stranger",2,483,0.483,1
315,2,"Nonmatching","Stranger",2,558,0.558,1
316,2,"Nonmatching","Stranger",2,538,0.538,0
317,2,"Nonmatching","Stranger",2,543,0.543,1
318,2,"Nonmatching","Stranger",2,538,0.538,1
319,2,"Nonmatching","Stranger",2,559,0.559,1
320,2,"Nonmatching","Stranger",2,674,0.674,1
321,2,"Nonmatching","Stranger",2,510,0.51,1
322,2,"Nonmatching","Stranger",2,338,0.338,0
323,2,"Nonmatching","Stranger",2,660,0.66,1
324,2,"Nonmatching","Stranger",2,640,0.64,1
325,2,"Nonmatching","Stranger",2,671,0.671,1
326,2,"Nonmatching","Stranger",2,561,0.561,1
327,2,"Nonmatching","Stranger",2,632,0.632,1
328,2,"Nonmatching","Stranger",2,495,0.495,1
