"X","Subject","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC"
63,1,"Matching","Self",1,567,0.567,1
64,1,"Matching","Self",1,500,0.5,1
65,1,"Matching","Self",1,383,0.383,1
66,1,"Matching","Self",1,533,0.533,1
67,1,"Matching","Self",1,717,0.717,1
68,1,"Matching","Self",1,517,0.517,1
69,1,"Matching","Self",1,534,0.534,1
70,1,"Matching","Self",1,417,0.417,1
71,1,"Matching","Self",1,400,0.4,1
72,1,"Matching","Self",1,450,0.45,1
73,1,"Matching","Self",1,367,0.367,1
74,1,"Matching","Self",1,700,0.7,1
75,1,"Matching","Self",1,400,0.4,1
76,1,"Matching","Self",1,367,0.367,1
77,1,"Matching","Self",1,683,0.683,1
78,1,"Matching","Self",1,550,0.55,1
79,1,"Matching","Self",1,450,0.45,1
80,1,"Matching","Self",1,534,0.534,1
81,1,"Matching","Self",1,583,0.583,1
82,1,"Matching","Self",1,583,0.583,1
83,1,"Matching","Self",1,667,0.667,1
84,1,"Matching","Self",1,617,0.617,1
85,1,"Matching","Self",1,500,0.5,1
86,1,"Matching","Self",1,450,0.45,1
87,1,"Matching","Self",1,600,0.6,1
88,1,"Matching","Self",1,517,0.517,1
89,1,"Matching","Self",1,433,0.433,1
90,1,"Matching","Self",1,384,0.384,1
91,1,"Matching","Self",1,467,0.467,1
92,1,"Matching","Self",1,500,0.5,1
93,1,"Matching","Self",1,533,0.533,1
94,1,"Matching","Self",1,401,0.401,1
95,1,"Matching","Self",1,550,0.55,1
96,1,"Matching","Self",1,534,0.534,1
97,1,"Matching","Self",2,550,0.55,1
98,1,"Matching","Self",2,317,0.317,1
99,1,"Matching","Self",2,284,0.284,1
100,1,"Matching","Self",2,350,0.35,1
101,1,"Matching","Self",2,417,0.417,1
102,1,"Matching","Self",2,367,0.367,1
103,1,"Matching","Self",2,467,0.467,1
104,1,"Matching","Self",2,417,0.417,1
105,1,"Matching","Self",2,350,0.35,1
106,1,"Matching","Self",2,633,0.633,1
107,1,"Matching","Self",2,500,0.5,0
108,1,"Matching","Self",2,700,0.7,1
109,1,"Matching","Self",2,417,0.417,1
110,1,"Matching","Self",2,350,0.35,1
111,1,"Matching","Self",2,533,0.533,1
112,1,"Matching","Self",2,384,0.384,1
113,1,"Matching","Self",2,517,0.517,1
114,1,"Matching","Self",2,350,0.35,1
115,1,"Matching","Self",2,383,0.383,1
116,1,"Matching","Self",2,417,0.417,1
117,1,"Matching","Self",2,400,0.4,1
118,1,"Matching","Self",2,500,0.5,1
119,1,"Matching","Self",2,433,0.433,1
120,1,"Matching","Self",2,433,0.433,1
121,1,"Matching","Self",2,517,0.517,1
122,1,"Matching","Self",2,400,0.4,1
123,1,"Matching","Self",2,450,0.45,1
124,1,"Matching","Self",2,467,0.467,1
125,1,"Matching","Self",2,550,0.55,1
126,1,"Matching","Self",2,500,0.5,1
127,1,"Matching","Self",2,500,0.5,1
128,1,"Matching","Self",2,434,0.434,1
129,1,"Matching","Self",2,617,0.617,1
130,1,"Matching","Self",2,567,0.567,1
131,1,"Matching","Self",2,367,0.367,1
132,1,"Matching","Self",2,533,0.533,1
133,1,"Matching","Self",2,750,0.75,1
134,1,"Matching","Self",2,367,0.367,1
135,1,"Matching","Self",2,617,0.617,1
136,1,"Matching","Self",2,400,0.4,0
137,1,"Matching","Self",2,350,0.35,1
138,1,"Matching","Self",2,467,0.467,1
139,1,"Matching","Self",2,467,0.467,1
140,1,"Matching","Self",2,534,0.534,1
141,1,"Matching","Self",2,484,0.484,1
142,1,"Matching","Self",2,433,0.433,1
143,1,"Matching","Self",2,500,0.5,1
144,1,"Matching","Self",2,583,0.583,1
145,1,"Matching","Self",2,650,0.65,1
146,1,"Matching","Self",2,583,0.583,1
147,1,"Matching","Self",2,533,0.533,1
148,1,"Matching","Self",2,617,0.617,1
149,1,"Matching","Self",2,533,0.533,1
150,1,"Matching","Self",2,617,0.617,1
151,1,"Matching","Self",2,534,0.534,1
152,1,"Matching","Self",2,467,0.467,1
153,1,"Matching","Self",2,384,0.384,1
154,1,"Matching","Self",2,334,0.334,1
155,1,"Matching","Self",2,734,0.734,1
156,1,"Matching","Self",2,600,0.6,1
157,1,"Matching","Self",2,517,0.517,1
158,1,"Matching","Self",2,417,0.417,1
159,1,"Matching","Self",2,367,0.367,1
160,1,"Matching","Self",2,534,0.534,1
161,1,"Matching","Self",2,517,0.517,1
162,1,"Matching","Self",2,533,0.533,0
163,1,"Matching","Self",2,384,0.384,1
164,1,"Matching","Self",2,367,0.367,1
165,1,"Matching","Self",2,633,0.633,0
166,1,"Matching","Self",2,517,0.517,1
167,1,"Matching","Self",2,384,0.384,1
168,1,"Matching","Self",2,450,0.45,1
169,1,"Matching","Self",2,567,0.567,1
170,1,"Matching","Self",2,484,0.484,1
171,1,"Matching","Self",2,450,0.45,1
172,1,"Matching","Self",2,433,0.433,1
173,1,"Matching","Self",2,583,0.583,1
174,1,"Matching","Self",2,500,0.5,1
175,1,"Matching","Self",2,550,0.55,1
176,1,"Matching","Self",2,633,0.633,1
177,1,"Matching","Self",2,583,0.583,1
178,1,"Matching","Self",2,567,0.567,1
179,1,"Matching","Self",2,567,0.567,1
180,1,"Matching","Self",2,550,0.55,1
181,1,"Matching","Self",2,600,0.6,1
182,1,"Matching","Self",2,533,0.533,1
183,1,"Matching","Self",2,517,0.517,1
184,1,"Matching","Self",2,550,0.55,1
185,1,"Matching","Self",2,417,0.417,1
186,1,"Matching","Self",2,350,0.35,1
187,1,"Matching","Self",2,534,0.534,1
188,1,"Matching","Self",2,467,0.467,1
189,1,"Matching","Self",2,567,0.567,1
190,1,"Matching","Self",2,333,0.333,1
191,1,"Matching","Self",2,417,0.417,1
192,1,"Matching","Self",2,567,0.567,1
193,1,"Matching","Stranger",1,384,0.384,0
194,1,"Matching","Stranger",1,350,0.35,0
195,1,"Matching","Stranger",1,550,0.55,0
196,1,"Matching","Stranger",1,667,0.667,1
197,1,"Matching","Stranger",1,400,0.4,1
198,1,"Matching","Stranger",1,700,0.7,1
199,1,"Matching","Stranger",1,384,0.384,1
200,1,"Matching","Stranger",1,434,0.434,0
