"X","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
241,9605,"Nonmatching","Stranger",1442,1.442,1
242,9605,"Nonmatching","Stranger",1188,1.188,1
243,9605,"Nonmatching","Stranger",1080,1.08,1
244,9605,"Nonmatching","Stranger",869,0.869,1
245,9605,"Nonmatching","Stranger",1001,1.001,1
246,9605,"Nonmatching","Stranger",1154,1.154,1
247,9605,"Nonmatching","Stranger",1209,1.209,1
248,9605,"Nonmatching","Stranger",1160,1.16,1
249,9605,"Nonmatching","Stranger",739,0.739,1
250,9605,"Nonmatching","Stranger",853,0.853,1
251,9605,"Nonmatching","Stranger",1144,1.144,1
252,9605,"Nonmatching","Stranger",1300,1.3,1
253,9605,"Nonmatching","Stranger",1031,1.031,1
254,9605,"Nonmatching","Stranger",1033,1.033,1
255,9605,"Nonmatching","Stranger",937,0.937,1
256,9605,"Nonmatching","Stranger",900,0.9,1
257,9605,"Nonmatching","Stranger",1043,1.043,1
258,9605,"Nonmatching","Stranger",628,0.628,1
259,9605,"Nonmatching","Stranger",947,0.947,1
260,9605,"Nonmatching","Stranger",852,0.852,1
261,9605,"Nonmatching","Stranger",1271,1.271,1
262,9605,"Nonmatching","Stranger",1215,1.215,1
263,9605,"Nonmatching","Stranger",1106,1.106,1
264,9605,"Nonmatching","Stranger",618,0.618,1
265,9605,"Nonmatching","Stranger",692,0.692,1
266,9605,"Nonmatching","Stranger",1032,1.032,1
267,9605,"Nonmatching","Stranger",933,0.933,1
268,9612,"Matching","Self",836,0.836,0
269,9612,"Matching","Self",1169,1.169,1
270,9612,"Matching","Self",647,0.647,1
271,9612,"Matching","Self",681,0.681,1
272,9612,"Matching","Self",1175,1.175,1
273,9612,"Matching","Self",681,0.681,1
274,9612,"Matching","Self",1113,1.113,1
275,9612,"Matching","Self",615,0.615,1
276,9612,"Matching","Self",559,0.559,1
277,9612,"Matching","Self",905,0.905,1
278,9612,"Matching","Self",584,0.584,1
279,9612,"Matching","Self",740,0.74,1
280,9612,"Matching","Self",658,0.658,1
281,9612,"Matching","Self",793,0.793,1
282,9612,"Matching","Self",726,0.726,1
283,9612,"Matching","Self",1029,1.029,1
284,9612,"Matching","Self",1046,1.046,1
285,9612,"Matching","Self",706,0.706,1
286,9612,"Matching","Self",921,0.921,1
287,9612,"Matching","Self",741,0.741,1
288,9612,"Matching","Self",612,0.612,1
289,9612,"Matching","Self",601,0.601,1
290,9612,"Matching","Self",836,0.836,1
291,9612,"Matching","Self",548,0.548,1
292,9612,"Matching","Self",725,0.725,1
293,9612,"Matching","Self",906,0.906,1
294,9612,"Matching","Self",613,0.613,1
295,9612,"Matching","Self",599,0.599,1
296,9612,"Matching","Self",389,0.389,1
297,9612,"Matching","Self",937,0.937,1
298,9612,"Matching","Self",616,0.616,1
299,9612,"Matching","Self",666,0.666,1
300,9612,"Matching","Self",647,0.647,1
301,9612,"Matching","Self",512,0.512,1
302,9612,"Matching","Self",652,0.652,1
303,9612,"Matching","Self",579,0.579,1
304,9612,"Matching","Self",672,0.672,1
305,9612,"Matching","Self",681,0.681,1
306,9612,"Matching","Self",689,0.689,1
307,9612,"Matching","Self",738,0.738,1
308,9612,"Matching","Self",665,0.665,1
309,9612,"Matching","Self",665,0.665,1
310,9612,"Matching","Self",1141,1.141,1
311,9612,"Matching","Self",632,0.632,1
312,9612,"Matching","Self",658,0.658,1
313,9612,"Matching","Self",696,0.696,1
314,9612,"Matching","Self",1250,1.25,1
315,9612,"Matching","Self",758,0.758,1
316,9612,"Matching","Self",761,0.761,1
317,9612,"Matching","Self",618,0.618,1
318,9612,"Matching","Self",753,0.753,1
319,9612,"Matching","Self",532,0.532,1
320,9612,"Matching","Self",966,0.966,1
321,9612,"Matching","Self",662,0.662,1
322,9612,"Matching","Self",839,0.839,1
323,9612,"Matching","Self",756,0.756,1
324,9612,"Matching","Self",440,0.44,1
325,9612,"Matching","Self",710,0.71,1
326,9612,"Matching","Self",961,0.961,1
327,9612,"Matching","Self",766,0.766,1
328,9612,"Matching","Father",1109,1.109,1
329,9612,"Matching","Father",764,0.764,1
330,9612,"Matching","Father",889,0.889,1
331,9612,"Matching","Father",713,0.713,1
332,9612,"Matching","Father",626,0.626,1
333,9612,"Matching","Father",588,0.588,1
334,9612,"Matching","Father",755,0.755,1
335,9612,"Matching","Father",593,0.593,1
336,9612,"Matching","Father",583,0.583,1
337,9612,"Matching","Father",825,0.825,1
338,9612,"Matching","Father",759,0.759,1
339,9612,"Matching","Father",643,0.643,1
340,9612,"Matching","Father",647,0.647,1
341,9612,"Matching","Father",1096,1.096,1
342,9612,"Matching","Father",655,0.655,1
343,9612,"Matching","Father",1122,1.122,1
344,9612,"Matching","Father",663,0.663,1
345,9612,"Matching","Father",1251,1.251,1
346,9612,"Matching","Father",719,0.719,1
347,9612,"Matching","Father",680,0.68,1
348,9612,"Matching","Father",850,0.85,1
349,9612,"Matching","Father",472,0.472,1
350,9612,"Matching","Father",633,0.633,1
351,9612,"Matching","Father",629,0.629,1
